accuracy_ 67042,accuracy_ 67243,accuracy_ 67708,accuracy_ 68851,accuracy_ 68926,accuracy_ 69016,accuracy_ 69100,accuracy_ 69139,accuracy_ 69169,accuracy_ 69241,accuracy_ 69247,accuracy_ 69637,accuracy_ 69670,accuracy_ 69739,accuracy_ 69745,accuracy_ 69859,accuracy_ 70552
7.333333333,22.88888889,1.222222222,5.888888889,18.77777778,39.88888889,2.222222222,5.222222222,2,3.777777778,0.666666667,2.333333333,3.666666667,5.111111111,1.333333333,21.88888889,5.666666667
3.222222222,5.222222222,2.555555556,10.11111111,7,14.33333333,6.333333333,6.666666667,4,6.666666667,6.777777778,4.777777778,6.555555556,7.777777778,4.444444444,15.44444444,13.11111111
3.333333333,19.55555556,8,8.333333333,1.555555556,13.22222222,9.111111111,10.77777778,19.11111111,13.33333333,12.66666667,8.111111111,2.555555556,14,14.77777778,28.22222222,12.88888889
1.222222222,5.888888889,10.11111111,0.111111111,10.88888889,22.66666667,24.44444444,2,2,1.111111111,5,1.333333333,35.11111111,28.77777778,25.22222222,31.66666667,43.66666667
4.111111111,15.66666667,7.777777778,11.44444444,1.444444444,14.88888889,0.666666667,23.33333333,10.66666667,9.111111111,1.444444444,3.222222222,17.44444444,6.777777778,1.333333333,13.66666667,9.222222222
5.888888889,22.11111111,7.666666667,11.66666667,6,0.888888889,14.66666667,4.333333333,3.555555556,54.22222222,28.66666667,4.777777778,63.11111111,13,11.88888889,12.22222222,2.666666667
11.44444444,22.66666667,11.33333333,3.555555556,13.22222222,11.33333333,22,6.888888889,1.333333333,9.777777778,13.88888889,2.555555556,26.88888889,1.222222222,1.111111111,21.55555556,1.666666667
6.666666667,30.66666667,9.333333333,18.88888889,19,14.22222222,6.666666667,1,12.66666667,19.55555556,13.55555556,8.555555556,14,5.333333333,6.666666667,14.55555556,4.222222222
0.333333333,17.33333333,4.777777778,11.11111111,33.22222222,11.66666667,36.22222222,3,11.66666667,4.222222222,3.222222222,4,5.111111111,18.33333333,8.777777778,24.44444444,9.888888889
0.111111111,14.55555556,19.77777778,3.222222222,56.11111111,23.55555556,11.77777778,13.22222222,10.11111111,0.222222222,2.777777778,0.222222222,11.88888889,2,10.33333333,13.11111111,2.666666667
20.55555556,1.333333333,2.777777778,5.666666667,39.44444444,2,11.11111111,3,4.888888889,2.333333333,9.222222222,1.666666667,0.222222222,11.66666667,7.777777778,23.22222222,11.66666667
9.555555556,26.77777778,19.66666667,3,10.66666667,12.66666667,5.888888889,11.66666667,22.44444444,6.333333333,8,2.777777778,13.66666667,9.333333333,52.11111111,0.111111111,0.444444444
29,19.88888889,1.555555556,2.777777778,11.44444444,7.333333333,12.33333333,1.666666667,22.77777778,3.777777778,13.88888889,5.777777778,24.33333333,5.111111111,0.444444444,7.777777778,14.66666667
10,1.666666667,15.66666667,0.444444444,9.111111111,28.55555556,35.55555556,8,5.333333333,11.77777778,9.333333333,5.333333333,21.66666667,12.44444444,2.777777778,22.55555556,2.333333333
46.77777778,25.88888889,9.333333333,12.33333333,8.222222222,6.333333333,11.66666667,2.666666667,6.222222222,20.66666667,17,1.888888889,1.555555556,0.777777778,6.666666667,7.444444444,11.22222222
4.111111111,10.66666667,1.888888889,0.111111111,4.444444444,4.222222222,3.444444444,10.66666667,1.111111111,2.777777778,13.11111111,10.66666667,18.66666667,8.666666667,0.333333333,21.11111111,2.444444444
3.111111111,7,19.44444444,0.444444444,19.88888889,6,9.888888889,1.111111111,14.22222222,5.888888889,8.222222222,11.77777778,22.11111111,25.66666667,10.55555556,4.444444444,19.44444444
12.55555556,16.33333333,0.666666667,1.777777778,17.22222222,3.666666667,8.444444444,8.333333333,3.333333333,3.444444444,4.222222222,13.77777778,13.77777778,7,7.111111111,22.66666667,6.333333333
7.555555556,12.22222222,5.333333333,11.88888889,7.333333333,28.44444444,12.77777778,0.666666667,5.888888889,1.777777778,17,4.444444444,8.666666667,2.333333333,1.333333333,14,1.333333333
56.55555556,6.222222222,7.444444444,13.22222222,1.111111111,69.44444444,9.555555556,5,4.444444444,15.44444444,6,1.444444444,3.777777778,66.55555556,18.77777778,30.22222222,3.111111111
10.44444444,18.66666667,8.888888889,7.888888889,7.333333333,13.66666667,11.22222222,10.44444444,4.555555556,7.555555556,5.444444444,3.888888889,20.11111111,10.77777778,5.111111111,19.22222222,8
17.44444444,7.333333333,31.66666667,1,3.555555556,7.222222222,1,2.444444444,3.777777778,16.33333333,14.11111111,6.222222222,14.77777778,88.55555556,13.44444444,17.77777778,3.222222222
4.333333333,3.777777778,18.11111111,4.222222222,16,5.777777778,26.33333333,6.333333333,9,11.66666667,16.33333333,2,13.55555556,10.66666667,6.666666667,20.55555556,1.111111111
1.555555556,5.888888889,0.888888889,6,5.555555556,2,4.111111111,0.222222222,10.11111111,6.888888889,33.66666667,5.111111111,7.666666667,8.333333333,2.333333333,6.111111111,2.777777778
8.555555556,10.22222222,6.888888889,19.66666667,5.333333333,25.11111111,2.666666667,9.666666667,4.111111111,15.77777778,16.33333333,5.222222222,3.444444444,14.11111111,6.222222222,11.33333333,5
1.888888889,0.777777778,8.777777778,9.444444444,15.88888889,33.33333333,17,1.555555556,3.222222222,5.888888889,13.88888889,2.555555556,5,15.88888889,9.333333333,9.333333333,13.11111111
0.111111111,14.44444444,24.55555556,0.888888889,1,14.33333333,21,5,2.444444444,6.555555556,4.333333333,4.555555556,6.888888889,4.444444444,19.11111111,0.333333333,5.111111111
5.777777778,4.777777778,21.77777778,6.777777778,4.555555556,24.77777778,1,2.777777778,2.111111111,13.22222222,8.666666667,4.777777778,0.444444444,11.11111111,13.44444444,11.77777778,5.222222222
18.88888889,13.44444444,0.222222222,15.22222222,12,23.33333333,24.66666667,4.333333333,13.55555556,11.33333333,2,8.666666667,4.333333333,3,23,15.77777778,5.222222222
5.333333333,10.66666667,19.88888889,2.111111111,10.11111111,15.55555556,9.111111111,12.11111111,4.555555556,4.777777778,5.111111111,1.555555556,7.444444444,0.333333333,22.44444444,7,1.555555556
2.333333333,3.888888889,7.222222222,3.666666667,0.1,3,3.444444444,0.333333333,3.888888889,11.11111111,26.22222222,7.333333333,3.777777778,3.666666667,11.11111111,0.555555556,8.111111111
15.22222222,2,9.555555556,8.333333333,2.666666667,5.777777778,1.666666667,7.666666667,8,6.555555556,4.777777778,0.1,18.11111111,65,29.22222222,1.222222222,1.666666667
3.777777778,4.222222222,7.777777778,1.444444444,39.22222222,12.33333333,0.555555556,24.44444444,6.222222222,16.77777778,4,1.888888889,13.88888889,0.888888889,6.555555556,1.111111111,7.777777778
5,1.333333333,1,3.555555556,11.33333333,6.444444444,14.11111111,12.11111111,20.55555556,14.77777778,81.44444444,9.444444444,3.111111111,0.111111111,5,20.88888889,74
68.33333333,15.77777778,14.66666667,12,0.555555556,22.77777778,4.333333333,7.222222222,19,6,1.222222222,5.666666667,9,7.555555556,6.333333333,1.333333333,4
8.222222222,7.111111111,7,20.22222222,6.333333333,9.333333333,0.444444444,1.666666667,0.222222222,1.888888889,4.888888889,6.333333333,0.111111111,14.44444444,13.55555556,20.11111111,4.444444444
4.333333333,9,1.555555556,17,10.44444444,15.33333333,23.77777778,2.666666667,5,4.444444444,43.88888889,10.11111111,6,2.111111111,13.88888889,5.111111111,3.333333333
1.555555556,6.111111111,3.333333333,9.444444444,14.33333333,9,20.11111111,1.444444444,9.111111111,13.44444444,68.44444444,1.333333333,1,12.66666667,5.222222222,76.22222222,10.33333333
1.444444444,2.222222222,7.777777778,4.222222222,4.333333333,18.55555556,4.111111111,2.555555556,6,4.444444444,9,13.88888889,1,31,2.888888889,4.666666667,0.222222222
5.888888889,14.55555556,9.666666667,5.222222222,17.44444444,72.22222222,0.222222222,18.11111111,5.888888889,19.88888889,7.222222222,2.777777778,0.888888889,21.77777778,11.33333333,0.111111111,6.555555556
1.888888889,18.22222222,17.55555556,5.333333333,2,0.222222222,4.444444444,8.333333333,0.333333333,2.222222222,8,6.444444444,8.333333333,20.66666667,21.88888889,19.11111111,0.666666667
3.222222222,20.55555556,0.555555556,28.55555556,3.555555556,12.11111111,18.11111111,8.111111111,5.111111111,11.22222222,11.88888889,6.444444444,5.222222222,8.444444444,5.222222222,11.55555556,6.222222222
12.44444444,0.333333333,19.66666667,8.444444444,16.77777778,29.44444444,10.66666667,13,8.666666667,5.222222222,4,6.111111111,3.777777778,2.666666667,6.666666667,12.33333333,1.333333333
9.888888889,25.66666667,19.44444444,2.888888889,0.222222222,8.555555556,21.55555556,4.333333333,6.888888889,10.77777778,2.666666667,0.888888889,4.888888889,20.55555556,13.11111111,6.777777778,3.444444444
9.222222222,0.333333333,26.22222222,1.777777778,13.66666667,21.66666667,31.44444444,7.333333333,1.333333333,0.222222222,7.666666667,9.888888889,10.22222222,10.66666667,11.66666667,9.222222222,1.111111111
6.222222222,5.555555556,16.88888889,1.888888889,20.55555556,22.33333333,15.55555556,10.33333333,0.777777778,5,3.888888889,3.111111111,8.444444444,1.555555556,11.77777778,4.111111111,1.777777778
16.33333333,6.777777778,19.11111111,5.666666667,2.777777778,15,4.666666667,4.555555556,11,11.66666667,1.555555556,6.555555556,19.11111111,17.77777778,24.55555556,3.444444444,7.555555556
18.44444444,6.888888889,19.77777778,0.111111111,6.111111111,8.444444444,4.222222222,5.111111111,6.555555556,3.222222222,2.444444444,10.77777778,5.333333333,6,1.333333333,24.11111111,13.77777778
9,10.44444444,0.888888889,2,12.66666667,13.11111111,19.44444444,1.222222222,3,1.888888889,6.666666667,5.666666667,23,6.888888889,18.44444444,1.777777778,1.555555556
5,11.11111111,0.888888889,9.888888889,11.22222222,62.77777778,23.33333333,11.66666667,10.88888889,14.33333333,71.11111111,2,19.22222222,6.444444444,4,7.333333333,8.333333333
5.777777778,11.33333333,7.444444444,7.777777778,3.777777778,16.88888889,21.33333333,11.22222222,3,6.333333333,0.777777778,2.666666667,71.33333333,2.111111111,12,3.333333333,3.777777778
9.111111111,0.666666667,13,10.55555556,7.444444444,7.111111111,7,2.111111111,4.333333333,12.11111111,2.888888889,10.33333333,1.111111111,7.666666667,14.55555556,5.777777778,2.111111111
7.111111111,15,6.111111111,6.777777778,11.77777778,10.88888889,7.555555556,0.777777778,2.666666667,17.77777778,7.333333333,3.222222222,15.77777778,9.222222222,19.33333333,9.444444444,14.33333333
17.55555556,16.66666667,14.55555556,22.55555556,12.11111111,28.22222222,8.111111111,11.11111111,16,5.111111111,20.11111111,0.444444444,27.77777778,2.444444444,1.222222222,10.55555556,7.777777778
2.444444444,11.33333333,25.33333333,6.555555556,12.11111111,42.44444444,12.11111111,2,5.333333333,6.555555556,6.222222222,1.111111111,4.555555556,18,27.55555556,24.55555556,2.111111111
5.777777778,16,3.222222222,14.77777778,3.777777778,20,9.777777778,0.1,5.444444444,3.333333333,6.333333333,3.222222222,5.555555556,17.44444444,12.44444444,12.11111111,1.333333333
5.444444444,11.55555556,5.333333333,7.555555556,18.44444444,83,8.222222222,3.444444444,4.333333333,10,14.88888889,0.222222222,5.555555556,19.77777778,5.555555556,16,0.777777778
1,3.666666667,9.777777778,7,4.555555556,1.333333333,29.88888889,6.666666667,5.222222222,9,20,2.888888889,11.22222222,7.222222222,1.777777778,10.77777778,12
5.888888889,12.22222222,1.888888889,3.555555556,23.22222222,5.333333333,9.111111111,20,4,6.111111111,4.222222222,12.11111111,3.111111111,20.55555556,4.111111111,9.555555556,3.666666667
3.777777778,1.333333333,11.88888889,4,5.555555556,11.55555556,29,1.888888889,4.777777778,10.77777778,14.44444444,2.555555556,0.777777778,4.222222222,11.11111111,82.55555556,8.888888889
3.333333333,1.777777778,12.88888889,10.33333333,5.888888889,9.222222222,11.55555556,8.888888889,2.222222222,5.555555556,47.22222222,3.111111111,1.777777778,8,21.11111111,20.88888889,4.222222222
7.111111111,12,2,3.111111111,7.444444444,7.666666667,22.55555556,18.11111111,7.222222222,12.11111111,11.55555556,1.555555556,27.11111111,27.55555556,9.555555556,11,4.777777778
2,10.66666667,9.333333333,15,27.11111111,23,17.88888889,2.111111111,8.555555556,11.88888889,10.11111111,8.555555556,0.222222222,6.444444444,2.888888889,11.88888889,26
2.666666667,10.44444444,5.333333333,10.22222222,12.44444444,25.22222222,4.333333333,7.333333333,7,13.77777778,14.55555556,6.777777778,7.666666667,12.66666667,7.222222222,31,5.222222222
0.777777778,6,9.666666667,39,5.222222222,18.11111111,3.111111111,10.11111111,10.55555556,2.666666667,8.666666667,3.777777778,4.444444444,13.88888889,14.33333333,2.444444444,13.88888889
13.44444444,22.33333333,11.66666667,7.444444444,2.333333333,27.77777778,7.555555556,12.66666667,4.444444444,14.33333333,66.66666667,6.111111111,10.22222222,13.11111111,14.66666667,0.111111111,14.55555556
2.333333333,10.22222222,6.444444444,6.222222222,4,14.33333333,23.77777778,2.444444444,0.888888889,11.22222222,4.222222222,13.77777778,8.777777778,9.444444444,18.55555556,14.77777778,15.77777778
7.888888889,7,22.66666667,8.777777778,1.888888889,2.666666667,6.444444444,89.11111111,14.55555556,15.77777778,4.111111111,2.888888889,3.222222222,1.222222222,0.888888889,0.666666667,2.444444444
15.22222222,0.222222222,2.555555556,16.33333333,20.88888889,3.333333333,11.22222222,3.444444444,32.88888889,5.222222222,12.55555556,0.666666667,35.77777778,5.111111111,18,21.66666667,2.222222222
5.555555556,11,0.555555556,5.111111111,25.11111111,22.33333333,6.333333333,2.222222222,19.11111111,4.666666667,6.777777778,2,8.888888889,2.888888889,4.222222222,8.111111111,6.444444444
5.222222222,9.666666667,1,19.66666667,0.1,3.777777778,20.33333333,9.222222222,17,13.33333333,7,2.222222222,85.66666667,0.111111111,17.55555556,4.222222222,0.555555556
1.333333333,3.888888889,1.444444444,13.66666667,22.11111111,11.77777778,20.77777778,8.555555556,3.888888889,1.333333333,6.222222222,0.888888889,32.88888889,12,22.22222222,9.777777778,5.111111111
0.555555556,16.33333333,4.444444444,22.22222222,10.11111111,17.55555556,10.33333333,11.33333333,1.555555556,15.33333333,0.777777778,3.666666667,16.88888889,5.444444444,17.33333333,19.22222222,14.55555556
17.66666667,4.555555556,4.222222222,6.666666667,0.777777778,3.111111111,15.66666667,1,4.111111111,1.777777778,9.777777778,5.555555556,14.22222222,7.111111111,10.33333333,13.88888889,7
13.22222222,6.444444444,13.11111111,7,3.777777778,0.888888889,19.66666667,1.777777778,10.55555556,11.55555556,5.444444444,3.666666667,28.11111111,3.777777778,14.22222222,6,6.444444444
20.33333333,6.333333333,5.666666667,16,3.666666667,1.444444444,21.66666667,2.444444444,7.444444444,0.333333333,9.333333333,2.222222222,8.222222222,5.555555556,10.11111111,0.888888889,18
48.77777778,1.555555556,12.88888889,13.11111111,7.888888889,15.77777778,20,3,8.555555556,1.888888889,2.777777778,3,83.11111111,3.444444444,24.55555556,13.22222222,3.555555556
11.77777778,17.22222222,18.55555556,11.77777778,7.111111111,14.44444444,24.33333333,0.111111111,10.88888889,5.777777778,7,2.111111111,75,55.66666667,13,3.555555556,0.1
11.44444444,17.66666667,16.33333333,4.777777778,3,9.666666667,18.88888889,6.666666667,0.777777778,4.111111111,8.222222222,1.888888889,46.11111111,4.444444444,12.88888889,21,5.444444444
38.33333333,1.444444444,13,8.111111111,0.777777778,15.88888889,27,0.444444444,9.777777778,4.888888889,9.222222222,5.777777778,6.666666667,1.111111111,5.333333333,1,11.66666667
11.66666667,5.666666667,2.777777778,1.333333333,5.333333333,1,10.33333333,1,34.11111111,23.88888889,16.55555556,8.222222222,8.222222222,1.333333333,17.77777778,10.88888889,2.666666667
4.888888889,15.22222222,11,21.11111111,15.55555556,1.111111111,8.111111111,8.111111111,10.11111111,1.777777778,20.66666667,2.888888889,1.888888889,47.77777778,4.111111111,15.33333333,8.222222222
3,2.333333333,8.555555556,6.555555556,1.888888889,15.33333333,7.111111111,22.88888889,4.888888889,13.66666667,14.33333333,5.777777778,1.222222222,6.222222222,0.222222222,0.222222222,5.555555556
2.333333333,19,12.11111111,4.222222222,1,22.66666667,3.222222222,14.44444444,1.666666667,16.44444444,0.333333333,0.888888889,2.333333333,89.11111111,14,3.777777778,14.55555556
8.111111111,1.777777778,10.55555556,6.555555556,3.444444444,37.55555556,20.55555556,0.444444444,9.666666667,4,17,2.444444444,8.333333333,6.111111111,19.22222222,9.777777778,11.55555556
