"","ID","coeff (Intercept)","coeff trial","Std. Error (Intercept)","Std. Error trial","P-value (Intercept)","P-value trial","R-squared"
"1","accuracy_.67042","12.2799917238144","-0.0219602113942046","1.72037297388349","0.0164856224008148","2.3157194763849e-11","0.184536062975089","0.0098703915653855"
"2","accuracy_.67243","14.3196910134378","-0.0217508999525356","1.54126812596634","0.0147693347482296","5.39648605252669e-17","0.14259612969001","0.0120379587321684"
"3","accuracy_.67708","12.4389144075964","-0.0212478094270327","1.45022784085941","0.013896933364158","4.63878690142846e-15","0.128050300174264","0.0129629494557942"
"4","accuracy_.68851","13.3448520590433","-0.0384268490233762","1.13916704133095","0.0109161664243322","7.29491897233234e-24","0.000547666304425136","0.0650850655804021"
"5","accuracy_.68926","13.6893509897829","-0.039232989588332","1.3405408116089","0.0128458479460878","1.46228097596364e-19","0.0026038066822908","0.0497937824425768"
"6","accuracy_.69016","13.2363680251986","0.0121961926145025","2.15969232188052","0.0206954379433726","5.54794568670448e-09","0.556395234256851","0.00194729961804592"
"7","accuracy_.69100","10.2175184498465","0.0272602149325741","1.55537188231002","0.0149044852098124","5.38311254777006e-10","0.0690738961736224","0.0184466912826315"
"8","accuracy_.69139","5.807272915072","0.0201222145641522","1.81635881019619","0.0174054149558592","0.00164237357200432","0.24919394933899","0.00745270610517762"
"9","accuracy_.69169","7.44654114083222","-0.000752995349158927","1.03885308606963","0.00995489929617138","1.95345943726879e-11","0.939789917327918","3.2142295077073e-05"
"10","accuracy_.69241","10.2190047592392","-0.00781589052652238","1.35755156148062","0.0130088549238752","2.48379398404836e-12","0.548728744103197","0.00202385294763845"
"11","accuracy_.69247","36.8439340642973","-0.184865788036373","2.71810710881118","0.0260464958012449","3.24502883737853e-29","2.90977619459136e-11","0.220579959372285"
"12","accuracy_.69637","8.9278453687648","-0.0345215844574379","1.01657772733902","0.00974144374993212","1.3073631340914e-15","0.000503854602823922","0.0659032235499544"
"13","accuracy_.69670","8.55005172768083","0.0479634145092359","2.28277384561117","0.0218748772600459","0.000242990227878442","0.0296313876174295","0.0262987237405967"
"14","accuracy_.69739","9.98319194433477","0.0137659712881364","2.21032546491573","0.0211806344035104","1.1410419038654e-05","0.516574062068005","0.00236748036525046"
"15","accuracy_.69745","16.9934333402488","-0.0385680513694157","1.94666728590363","0.0186541071631596","1.81291357147598e-15","0.0401304491129362","0.023452008766009"
"16","accuracy_.69859","40.3154286503004","-0.195921113248746","3.30405060843435","0.0316613499227871","2.82066311476754e-25","4.07718491636003e-09","0.177036963267221"
"17","accuracy_.70552","9.36965376930831","-0.0106127761126763","1.26034127531511","0.01207732897251","4.26276292414461e-12","0.380729438611757","0.00431932901405236"
