"","ID","t-value","p-value","Std error"
"t","accuracyBP.csv","2.03833821941322","0.05478098574652","2.86125255382871"
"t1","accuracyBT.csv","2.25316209702847","0.0301699879426358","2.32677116288589"
"t2","accuracyN.csv","2.17902296943092","0.0391571127492347","2.71500092733145"
"t3","accuracyTP.csv","1.50665394325046","0.148670650046266","3.62062335527987"
"t4","accuracyTT.csv","1.12161146780873","0.270771639998179","2.26815777343586"
