"","ID","t-value","p-value","Std error"
"t","accuracyBP.csv","2.67134609372047","0.0167241977313004","2.10966364535852"
"t1","accuracyBT.csv","3.9600648466367","0.000839374507939217","1.56484101024147"
"t2","accuracyN.csv","1.83259023439277","0.0844385913353178","1.85812074849968"
"t3","accuracyTP.csv","2.43907665225268","0.0298185564214891","1.29152739263556"
"t4","accuracyTT.csv","1.01467484543923","0.324485422939093","1.56425539889746"
