accuracy_ 66961,accuracy_ 67072,accuracy_ 67120,accuracy_ 67360,accuracy_ 67378,accuracy_ 67567,accuracy_ 67672,accuracy_ 67684,accuracy_ 67765,accuracy_ 68812,accuracy_ 68818,accuracy_ 68932,accuracy_ 68977,accuracy_ 69094,accuracy_ 69298,accuracy_ 69478,accuracy_ 69592,accuracy_ 69610,accuracy_ 69622,accuracy_ 69844
3.555555556,2.777777778,1,27.77777778,3.444444444,69.44444444,8.777777778,5.666666667,18.77777778,10.44444444,7.333333333,18.55555556,7,18.77777778,4.111111111,10.55555556,5.222222222,1.111111111,4,22
6.666666667,5.888888889,9.555555556,10.44444444,8.333333333,4.333333333,7.888888889,9.111111111,23.44444444,12,11.33333333,5.777777778,4.111111111,13.33333333,29.55555556,3.555555556,10.77777778,13.22222222,0.555555556,12.55555556
14.11111111,24.66666667,1.888888889,5.333333333,17.66666667,3.888888889,14.88888889,26.55555556,7.777777778,1.666666667,4.222222222,12,1.888888889,17.55555556,4.888888889,1.888888889,3.333333333,5.555555556,15.33333333,2.666666667
2.555555556,0.333333333,6.333333333,6,0.222222222,36.55555556,6.888888889,24.22222222,16.77777778,9,27,14.77777778,4.222222222,10.88888889,4.555555556,12.77777778,0.1,8.555555556,15.11111111,14.33333333
15.77777778,13.66666667,23.11111111,15.11111111,2.111111111,0.888888889,22.11111111,0.444444444,29.33333333,11.88888889,2.222222222,17.55555556,4.444444444,24.66666667,17.33333333,7.555555556,4.777777778,37.11111111,1.888888889,1.222222222
9.111111111,2.333333333,12.33333333,16.77777778,18.77777778,7.444444444,19.66666667,17.22222222,79.55555556,8.222222222,85.22222222,14.66666667,17.22222222,32.44444444,2.111111111,14.22222222,3.111111111,8.222222222,13.33333333,6.888888889
8.777777778,14,4.777777778,58.88888889,17.11111111,59,22.22222222,7.777777778,1.777777778,5.888888889,89.77777778,5.222222222,9.444444444,13.11111111,1.333333333,16.22222222,6,14.33333333,1.222222222,6.888888889
9.444444444,9.666666667,13.22222222,19.88888889,3.222222222,8.888888889,13.22222222,22.55555556,17.44444444,3.888888889,77.77777778,9.333333333,18.11111111,1,6.777777778,10.44444444,8.555555556,10.44444444,4.555555556,25.22222222
9.333333333,2.555555556,2.888888889,13,2.222222222,13.44444444,30.66666667,1.222222222,4.777777778,11.44444444,27.77777778,6.333333333,9.444444444,13.66666667,2.555555556,16.66666667,14,2.111111111,6.444444444,6
8.333333333,10.88888889,0.222222222,2,10.11111111,23,13.33333333,3.666666667,16.66666667,18.77777778,83.11111111,11.77777778,15.44444444,9.111111111,12.66666667,0.888888889,12.11111111,6.666666667,2.444444444,13.77777778
0.888888889,18.44444444,0.1,6,8.555555556,6.555555556,50.22222222,50.77777778,18.55555556,27.77777778,36,15.33333333,5.888888889,5.444444444,13.55555556,11.11111111,2.444444444,22.55555556,10,7.333333333
14.44444444,6.333333333,7,4.777777778,5.333333333,15,12.55555556,3.111111111,16.88888889,23.77777778,6.555555556,7.333333333,6.666666667,8.888888889,8.888888889,5.111111111,1.777777778,3.666666667,11,2.555555556
8.777777778,15.88888889,0.1,28.88888889,3,8.111111111,27.33333333,28.44444444,7.777777778,5.444444444,36.22222222,1.444444444,19.11111111,10.11111111,1.666666667,4.222222222,4,7,7.222222222,17.66666667
9.111111111,11.44444444,0.333333333,17.22222222,11,5.666666667,11.11111111,1.333333333,14.55555556,1,8.777777778,14.22222222,12.22222222,3.666666667,0.555555556,8.888888889,0.777777778,5.444444444,18.88888889,5.555555556
3.222222222,10.44444444,5.777777778,4,16.77777778,18.77777778,8.333333333,6.333333333,8.444444444,22.22222222,14.11111111,5.333333333,5.777777778,5.333333333,12.22222222,0.555555556,7.666666667,19.88888889,0.666666667,4.777777778
3.888888889,19.88888889,2.888888889,8.555555556,6.888888889,15.11111111,11.88888889,14.77777778,2,54.33333333,19.44444444,9.555555556,5,7.111111111,8,7.555555556,2.555555556,8.888888889,14,5.777777778
6.666666667,5.888888889,0.222222222,6.111111111,1.444444444,27,2.222222222,13.33333333,3.444444444,76.11111111,0.555555556,13.44444444,16.55555556,7.555555556,8.444444444,0.222222222,8.333333333,6.333333333,9.111111111,0.444444444
11.11111111,7.666666667,3.333333333,8.777777778,10,11.33333333,0.444444444,9.777777778,1.555555556,19.88888889,60.77777778,0.333333333,8.666666667,13.77777778,10.66666667,9.888888889,8,6.111111111,11.22222222,9
14.33333333,11.66666667,0.111111111,23.88888889,8.333333333,4.333333333,1.666666667,6.333333333,8.666666667,35.88888889,6.777777778,7.333333333,5.888888889,27.55555556,19.77777778,5.444444444,12.22222222,14.22222222,21.88888889,8.111111111
8.111111111,2.555555556,6.222222222,10.22222222,17.55555556,7.111111111,14.11111111,4.555555556,6.333333333,5.777777778,13.33333333,1.111111111,3.222222222,25.44444444,19.55555556,10.11111111,5.333333333,5.111111111,0.777777778,17
2,18.33333333,3.555555556,14.44444444,12.55555556,11.22222222,6.111111111,6.444444444,0.666666667,22.11111111,62.33333333,2.888888889,0.444444444,7.666666667,1.444444444,9.888888889,12,6,5.666666667,1.888888889
2.666666667,1.444444444,7.555555556,35.11111111,20.11111111,8.222222222,16.77777778,20.22222222,12.66666667,4.111111111,8.444444444,5,6.111111111,12.88888889,14,11.33333333,3.666666667,0.888888889,9.666666667,15.22222222
5.777777778,8.444444444,14,22.77777778,8,13.77777778,15.66666667,12,6.666666667,6.555555556,9.777777778,16.55555556,2.222222222,2.333333333,9.888888889,4.222222222,0.555555556,5.888888889,12.11111111,3.222222222
9,0.1,6.444444444,70,4.555555556,30.33333333,68.66666667,31.66666667,2.555555556,4.222222222,12.77777778,4.333333333,7,8.555555556,18.44444444,2.444444444,1,2,3.777777778,33.77777778
8.333333333,4,3.333333333,1.111111111,13.44444444,18,0.444444444,5.777777778,3.333333333,3.111111111,88.55555556,0.666666667,0.777777778,5.666666667,14.11111111,10.55555556,40.77777778,15.55555556,4.777777778,0.888888889
17.55555556,6.666666667,9.222222222,6.555555556,22.33333333,0.333333333,86.66666667,0.444444444,12.77777778,34.88888889,84.11111111,68.88888889,75,22.33333333,79.88888889,10.11111111,45.66666667,18.44444444,22,20.33333333
2,1.666666667,5.888888889,1.333333333,11.33333333,61.22222222,6.777777778,11.55555556,8.333333333,18,80.66666667,10.44444444,5.222222222,7.555555556,11.77777778,9.888888889,0.555555556,5.444444444,1,9.333333333
17.88888889,1.777777778,10.55555556,21.66666667,4.444444444,12.44444444,5.444444444,1,4.666666667,19.88888889,18.77777778,5.777777778,11.22222222,14.55555556,9,1.333333333,5.222222222,10.55555556,5.222222222,7.111111111
3.555555556,9.333333333,1,28.44444444,0.333333333,18.66666667,8.111111111,6.666666667,0.444444444,1.555555556,16,7.333333333,4.111111111,8.444444444,14.66666667,8.555555556,14.44444444,12.77777778,5.444444444,4.222222222
0.555555556,32.55555556,7.222222222,13.66666667,7.666666667,67.22222222,1.444444444,6.111111111,1.444444444,13.88888889,7.777777778,4.333333333,11.55555556,6.666666667,12.11111111,9.888888889,52.33333333,7,11,14.77777778
12.55555556,21.44444444,3.555555556,15.44444444,66.77777778,20,9.333333333,3.333333333,58.77777778,14,5.333333333,5,11,8,9.666666667,9.888888889,9.666666667,3.222222222,4.333333333,1.111111111
11.11111111,12,5,14.88888889,6.222222222,7.111111111,3.222222222,70.55555556,9.777777778,8.666666667,50,3.111111111,6.777777778,8.111111111,11.77777778,9.666666667,12.22222222,13.33333333,21.77777778,9.666666667
11.44444444,3,2.888888889,12,5.333333333,10.44444444,3.222222222,22.11111111,12.77777778,83.55555556,7.777777778,0.555555556,0.888888889,4.777777778,12.22222222,9.222222222,0.777777778,25.66666667,28.11111111,7.555555556
9.555555556,7,3.444444444,44.77777778,0.1,2.111111111,2.222222222,18.77777778,1.333333333,16.77777778,10.11111111,1.777777778,21.33333333,3.777777778,4.444444444,8.888888889,3,1,8.333333333,13.44444444
10.66666667,4.444444444,12.22222222,3.444444444,23.66666667,8.666666667,27.11111111,7.333333333,5.333333333,15.77777778,8.222222222,7.888888889,23.77777778,5.666666667,6.444444444,11.22222222,7.333333333,19,4.333333333,5.111111111
1.222222222,12.77777778,10.33333333,17.22222222,3.555555556,6.444444444,10,6.555555556,4.888888889,20,29.22222222,0.444444444,17.22222222,7.555555556,1.888888889,7.111111111,8.222222222,10.22222222,7.666666667,6.888888889
7.666666667,10,10,22,1.333333333,4.555555556,1.333333333,5,4.111111111,3.444444444,3.111111111,6.888888889,20.88888889,1.555555556,6.666666667,2.777777778,5.888888889,0.666666667,0.444444444,9.666666667
3.333333333,10.22222222,1.888888889,16,22.44444444,14.66666667,22.55555556,8.222222222,0.444444444,8.222222222,8.555555556,5.444444444,16.33333333,9.444444444,2,12.55555556,7.333333333,16.44444444,5.777777778,2.666666667
2.333333333,7.555555556,6.444444444,10.44444444,5.222222222,8.555555556,0.333333333,28.44444444,12.22222222,1,1.666666667,7.111111111,16.22222222,14.55555556,12.11111111,1.555555556,5.888888889,7.555555556,14.44444444,8.888888889
7.666666667,4.666666667,8.666666667,0.888888889,6.111111111,0.444444444,6.888888889,8.222222222,6.111111111,11.22222222,32.88888889,32.33333333,88.55555556,7.555555556,6,11.44444444,0.888888889,0.1,5,6.222222222
25.77777778,7.111111111,10,46.66666667,41,17.77777778,1,11.11111111,17.22222222,3.111111111,16.33333333,8,4.666666667,10.11111111,8.555555556,6.444444444,10.55555556,80.55555556,3,8.666666667
12.66666667,21,3.888888889,16.55555556,72.66666667,6.666666667,2.111111111,54.77777778,1.777777778,11,9,1.666666667,8.333333333,4.777777778,0.111111111,5.777777778,8,1.444444444,16,2.111111111
9.111111111,2.888888889,1.666666667,21.22222222,55.66666667,18.22222222,8.777777778,0.555555556,0.777777778,6.111111111,18.88888889,14.55555556,14.33333333,4.777777778,2,4,9.777777778,0.222222222,12.33333333,8.666666667
5.111111111,16.66666667,2.444444444,12.88888889,57.11111111,31.55555556,20.11111111,12,1.555555556,4.666666667,21,11.66666667,6.111111111,26.44444444,8.222222222,6.555555556,5.777777778,9.333333333,0.888888889,22.44444444
31.11111111,27.22222222,2.333333333,21.66666667,45.88888889,0.333333333,11.66666667,2.444444444,4.333333333,6.222222222,19.55555556,7.333333333,0.666666667,11.11111111,22,8,1.444444444,3.333333333,3.111111111,1.333333333
18,12.55555556,3.555555556,8.555555556,24.88888889,21.22222222,11.44444444,27,16.22222222,4.666666667,0.1,1.222222222,0.444444444,7.555555556,7.222222222,1.888888889,4.666666667,7.333333333,9.444444444,9.111111111
3.888888889,0.888888889,7.777777778,15.11111111,66,8.888888889,6.666666667,5.666666667,11.55555556,5.666666667,1,32.22222222,19.55555556,2,4.444444444,8.333333333,1.444444444,15.77777778,14.88888889,5
19,9.555555556,5.111111111,10.11111111,32.22222222,8.888888889,0.222222222,6,17.22222222,11.88888889,23.88888889,6.666666667,13,10.22222222,15.33333333,0.222222222,7.111111111,4.222222222,7,6.111111111
16.44444444,2.555555556,5.222222222,12.88888889,52.11111111,9.111111111,13.22222222,22.77777778,0.777777778,14.33333333,2.888888889,37.55555556,6.444444444,19.66666667,11,4.666666667,12.77777778,9.888888889,6,18
6.333333333,16.22222222,5.888888889,5.333333333,79.44444444,7.666666667,3,2.666666667,17.33333333,3.222222222,11.22222222,7.888888889,4.222222222,0.888888889,6.111111111,5.444444444,8.555555556,1.666666667,2.444444444,5.333333333
12.77777778,6.444444444,5.888888889,11.11111111,20.88888889,23.66666667,2.444444444,21.33333333,14.77777778,35.77777778,3.555555556,20.33333333,2.333333333,11.55555556,8.555555556,1.555555556,4.444444444,0.222222222,0.555555556,42.22222222
4.888888889,15.55555556,6.333333333,17,22.22222222,11,1.444444444,0.777777778,10.77777778,23.33333333,74.77777778,4.888888889,15.55555556,32.44444444,8.333333333,8.333333333,10.66666667,3.444444444,26,8.333333333
13.66666667,12.11111111,2.666666667,4.777777778,25,14.44444444,5.555555556,33.88888889,0.888888889,20.77777778,27,11.66666667,8.555555556,9.888888889,3.666666667,12.11111111,1.666666667,6.666666667,13.11111111,9.555555556
14,3.222222222,14.33333333,2.888888889,70.55555556,12,25.44444444,0.1,8.444444444,1.888888889,25,4.111111111,1.333333333,14.22222222,3.333333333,1.444444444,4.777777778,11.66666667,19.11111111,0.777777778
14.55555556,10,1,2.555555556,61.11111111,15.44444444,11.44444444,16.77777778,0.111111111,6.888888889,26.22222222,10.44444444,1.888888889,42.33333333,4.555555556,4.777777778,2.555555556,15.44444444,17.22222222,10.77777778
11,4.333333333,5.333333333,43.88888889,37.88888889,17.55555556,5,6.777777778,17.77777778,26.88888889,2,2.222222222,5.777777778,9.111111111,18.44444444,7.555555556,1.666666667,9.777777778,77.22222222,15
6.666666667,21.77777778,13.11111111,29.33333333,36,4.333333333,7,4,9,4.111111111,17.66666667,4.888888889,6.888888889,3.777777778,3.333333333,9.888888889,16.55555556,3,2.444444444,25
7.777777778,17.11111111,3.444444444,26,44.33333333,14.44444444,10.88888889,13.77777778,12.66666667,7.111111111,0.222222222,2.888888889,9.666666667,9,4.111111111,9.888888889,3.888888889,6.888888889,9.333333333,0.555555556
2.888888889,7.777777778,5.111111111,29,37,85.55555556,1.111111111,5.555555556,25.88888889,29.77777778,33.66666667,18.55555556,0.1,28.66666667,7.888888889,12.44444444,36.44444444,6.555555556,3,3
7.444444444,18.66666667,13.33333333,13.66666667,6.333333333,17.88888889,1.777777778,32.88888889,12.44444444,8,33.77777778,6,1.555555556,7.555555556,16.11111111,5,3.666666667,8,13.66666667,18.88888889
5.444444444,20.55555556,1.888888889,3,5.222222222,10.44444444,4.444444444,7.666666667,9.222222222,8.555555556,53.44444444,1.777777778,6.888888889,12.44444444,11.77777778,12.44444444,8.222222222,8.333333333,6.777777778,2.444444444
6.222222222,2,5.222222222,3.444444444,2.444444444,1.333333333,33.66666667,20.88888889,2.666666667,2.666666667,17.22222222,14.55555556,6.555555556,2.111111111,0.222222222,1.222222222,8.777777778,4.555555556,7.222222222,23.77777778
7.333333333,12.88888889,17.44444444,20,10.44444444,16.11111111,13.55555556,28.88888889,4.333333333,7.555555556,59.44444444,7.333333333,7.222222222,20.77777778,15.11111111,20.77777778,6.111111111,2.111111111,15.11111111,7.555555556
4,6.555555556,29.66666667,13,68.33333333,14.88888889,10.22222222,4.555555556,10.33333333,17,49.22222222,6.111111111,3.666666667,6.444444444,3.888888889,1.333333333,2.444444444,9.333333333,26.77777778,5.666666667
15.33333333,0.888888889,0.777777778,31.66666667,0.444444444,11.55555556,9.777777778,11.44444444,2.777777778,11.88888889,77,9.777777778,11.55555556,9.555555556,0.444444444,3.888888889,5.444444444,2.555555556,0.555555556,19.11111111
10.88888889,11.55555556,14.22222222,2.222222222,24.77777778,3.111111111,13.11111111,14.55555556,2.555555556,2.888888889,18.77777778,9.222222222,19.44444444,10.88888889,3.444444444,1.777777778,12.77777778,15.55555556,13.22222222,15
17.33333333,18.11111111,6.444444444,10.11111111,16.77777778,3.888888889,4.111111111,1.111111111,15.55555556,4.666666667,76.11111111,18.44444444,20.66666667,6.333333333,8.222222222,3.777777778,1.777777778,10.22222222,0.333333333,1.444444444
10.11111111,19.55555556,7,14.55555556,33.11111111,23.66666667,5.444444444,4.555555556,1.111111111,4.333333333,65.22222222,19.22222222,16.22222222,9.222222222,5.111111111,21.44444444,4.222222222,3.666666667,1.333333333,15
6.777777778,25,8,4,14.33333333,5.333333333,7.777777778,36.77777778,6.444444444,1.666666667,1.333333333,2,3.666666667,6.222222222,13.88888889,10.55555556,1.666666667,37.44444444,6.333333333,15.88888889
17.88888889,0.1,12.44444444,7.666666667,45,32,8.888888889,2.777777778,6.888888889,7,87.22222222,11.88888889,2,7.666666667,3.777777778,4.333333333,7.333333333,3.111111111,5.555555556,9.111111111
25.22222222,6.888888889,5,77.33333333,4.888888889,10,5.333333333,12.44444444,41,80.11111111,10.22222222,1.333333333,4.444444444,7.555555556,9,6,14,1.111111111,18.11111111,14.22222222
3.111111111,8.888888889,17.44444444,9.666666667,4.555555556,2.666666667,0.888888889,13.33333333,11,4.666666667,1.444444444,13.55555556,14.33333333,2.777777778,10,3.111111111,10.11111111,15.55555556,5,10.22222222
8.444444444,8.888888889,13.22222222,59.33333333,1.444444444,2.555555556,1.555555556,30.88888889,7.777777778,3,48.33333333,11.88888889,21.44444444,13.33333333,11.33333333,4.111111111,0.1,5.111111111,8.333333333,10.11111111
4,10.66666667,15.77777778,8.111111111,11.22222222,6.111111111,10.66666667,9.777777778,4.666666667,17,7.333333333,10.11111111,13.22222222,2.888888889,7.111111111,1.222222222,16.33333333,3,16.22222222,7.111111111
14,4.111111111,13,0.222222222,1,28.44444444,1.888888889,4.888888889,19.22222222,6.111111111,9.888888889,2.111111111,2,0.666666667,6,1.333333333,4.666666667,1.444444444,6.111111111,8.111111111
12.88888889,11.66666667,4.888888889,2.111111111,44.44444444,9.888888889,1.666666667,0.888888889,0.111111111,3.777777778,5.555555556,4.222222222,5.777777778,4.666666667,10.44444444,23.77777778,18.22222222,24.66666667,5.333333333,28.44444444
6.888888889,29.11111111,0.1,75.88888889,82.22222222,11.33333333,8,23.11111111,7,1.777777778,0.888888889,6.444444444,9.888888889,12.88888889,4.666666667,8.333333333,15.11111111,5.666666667,4.666666667,18.44444444
5.111111111,15.11111111,13.44444444,9.666666667,7.555555556,21,1,10.33333333,10.33333333,8.777777778,70.44444444,1.444444444,0.333333333,3.444444444,1.222222222,4.222222222,78.77777778,3.777777778,7.111111111,1.666666667
10,6.666666667,3.666666667,1.444444444,12.66666667,1.222222222,0.888888889,31.77777778,11.55555556,2.444444444,30.33333333,2.555555556,0.888888889,13.44444444,10.55555556,6.444444444,1.555555556,6.222222222,26.77777778,20.22222222
3.777777778,14.66666667,7.777777778,2.444444444,0.888888889,2.444444444,11.22222222,11.88888889,3.555555556,19.11111111,47.55555556,6.333333333,1.111111111,8.333333333,19.44444444,11.66666667,16.55555556,17.55555556,2.111111111,20.22222222
15.22222222,2.777777778,2.555555556,85.44444444,2,6.555555556,9.111111111,10.44444444,11.55555556,31.66666667,59.77777778,3.777777778,12.22222222,8.111111111,4.777777778,8.666666667,19.11111111,4.111111111,17.11111111,8.777777778
5.888888889,6.111111111,4.666666667,32.77777778,18.11111111,14.77777778,14.33333333,10.66666667,16.11111111,12.66666667,8,7.777777778,17.88888889,8.777777778,7.333333333,7.888888889,0.333333333,18.77777778,15.33333333,7.777777778
15.22222222,18.44444444,18.55555556,12.88888889,6.444444444,0.333333333,9,19.11111111,53.11111111,6.111111111,5.555555556,9.888888889,14.55555556,0.222222222,2,11.77777778,7.777777778,4.111111111,12.66666667,21.55555556
5.222222222,3.777777778,0.333333333,33.66666667,7.666666667,4,10.11111111,36.44444444,9.888888889,50.11111111,1.222222222,15.88888889,20.55555556,10.33333333,17.44444444,15.44444444,8.444444444,1.555555556,0.111111111,12.88888889
1.111111111,6.666666667,3.444444444,7.777777778,15.22222222,12.33333333,6.777777778,1.111111111,15.33333333,65.11111111,3.666666667,74.33333333,11.66666667,3.888888889,11.66666667,1.333333333,0.333333333,0.555555556,12.33333333,0.333333333
22.33333333,9.111111111,3.111111111,48.88888889,52.66666667,6.777777778,19.44444444,30.22222222,3.555555556,2.444444444,38.33333333,5.888888889,11,4.888888889,2.555555556,1.555555556,7.777777778,25.55555556,5.222222222,21.55555556
4,17,12.44444444,0.222222222,25.77777778,8.777777778,19.33333333,4.222222222,3.444444444,31.66666667,9.222222222,17.44444444,20.55555556,4.666666667,11.55555556,4.444444444,14.55555556,12.66666667,25.88888889,17.11111111
8.222222222,10.11111111,2.111111111,22.77777778,8.333333333,7.888888889,6,5.333333333,2.555555556,0.111111111,30.44444444,9.111111111,17.22222222,3.333333333,4.111111111,2,6.666666667,18.66666667,3.666666667,10.44444444
8.333333333,3.333333333,1.777777778,23.33333333,18.55555556,7.777777778,2.222222222,9.888888889,16.11111111,5.888888889,6.555555556,8.777777778,15,6.111111111,12.44444444,0.1,1.444444444,24.55555556,9.555555556,9.777777778
10.44444444,0.666666667,1.444444444,75,13.33333333,8,1.666666667,7.666666667,14.88888889,21.11111111,8.555555556,5.444444444,15.66666667,15.77777778,16,4.222222222,2,20.22222222,1.222222222,27.22222222
1.111111111,23,3.222222222,9.444444444,20.22222222,4.888888889,17.55555556,16.11111111,10.77777778,3.111111111,15.88888889,10.33333333,4.333333333,15,16.77777778,10.66666667,5.888888889,0.111111111,2.777777778,14
74.11111111,6.333333333,8.777777778,26.11111111,6.333333333,45.88888889,14.22222222,0.444444444,7.111111111,22.66666667,4.111111111,4.777777778,9.555555556,36.66666667,9.666666667,2.666666667,1.111111111,2.777777778,7.666666667,10.88888889
20.77777778,12.11111111,7.222222222,23,4.111111111,7.222222222,10.11111111,34.11111111,32.33333333,7.222222222,11.66666667,5.222222222,7.444444444,14.88888889,16.22222222,11.22222222,3.888888889,20.11111111,1.111111111,20.55555556
5.222222222,6,7.555555556,13.33333333,20.88888889,14.33333333,6.222222222,13.88888889,11.22222222,3.444444444,9.666666667,8.555555556,5,23.55555556,11.11111111,8.444444444,15.88888889,19.77777778,13.33333333,25.88888889
8,2.222222222,0.333333333,8,21.77777778,3.333333333,2.555555556,0.888888889,10.33333333,6.111111111,77.11111111,5.333333333,23.33333333,12,0.444444444,20.22222222,3,5.111111111,7.888888889,7.333333333
0.333333333,5.888888889,12.88888889,16.55555556,7.555555556,33.22222222,7.555555556,16.11111111,1.666666667,21.77777778,3.444444444,4.666666667,4.111111111,8,12,7,11.55555556,5.222222222,5.222222222,11.22222222
13.66666667,0.666666667,0.888888889,17.55555556,1.555555556,13.11111111,12.55555556,11,3.666666667,9.333333333,31.77777778,10.11111111,17.44444444,40.44444444,7.555555556,15.33333333,4.555555556,0.777777778,18.77777778,30.33333333
67.33333333,3.555555556,3.555555556,16,18.44444444,4,10.22222222,21.44444444,52.88888889,3.111111111,34.55555556,8.666666667,2.666666667,27.55555556,5.111111111,5,5.444444444,7.666666667,0.666666667,21.88888889
7.222222222,3.111111111,14.33333333,6.777777778,6.111111111,36.66666667,9.222222222,31.33333333,33.44444444,12.33333333,84,13.77777778,14.44444444,8.111111111,7.444444444,1.222222222,7.222222222,5.333333333,4.555555556,0.555555556
8.111111111,5.222222222,14.44444444,7.444444444,14,16.33333333,2.555555556,11.22222222,40.44444444,17.66666667,3.555555556,12.77777778,11.77777778,9,16.11111111,10.55555556,7.888888889,3.777777778,3.333333333,10.55555556
84.77777778,11.22222222,10.66666667,3.222222222,17.44444444,6.555555556,9,35.77777778,79.11111111,0.777777778,1.333333333,14.55555556,18.11111111,1.888888889,11.66666667,4,58.88888889,10.55555556,12.77777778,9.444444444
