"","ID","t-value","p-value","Std error"
"t","accuracyBP.csv","-1.80471202016129","0.0887555400078606","2.02718069434849"
"t1","accuracyBT.csv","-1.46850710080884","0.160876942456936","1.95041449183985"
"t2","accuracyN.csv","-1.98466758545598","0.0626059220825928","1.55166144010354"
"t3","accuracyTP.csv","-3.19554899128268","0.00535448181243165","1.8490224969831"
"t4","accuracyTT.csv","-4.52421878157161","0.000114055771146029","1.38678374397894"
