"","ID","coeff (Intercept)","coeff trial","Std. Error (Intercept)","Std. Error trial","P-value (Intercept)","P-value trial","R-squared"
"1","accuracy_.67045","18.0589488934187","-0.00686581547786141","2.03648806722116","0.0195148225469897","7.68755840849001e-16","0.725385159502006","0.000694917319500649"
"2","accuracy_.67051","10.8062976761234","-0.00301072392904924","1.95167506870115","0.0187020946737276","1.08957761241193e-07","0.872289158097805","0.000145572097040891"
"3","accuracy_.67174","12.389364783624","-0.00872226280400937","1.80146439024964","0.0172626878921088","9.96153938421491e-11","0.613996510255708","0.00143218480133295"
"4","accuracy_.67258","10.3497206698565","-0.0208092728010546","1.39237601900969","0.0133425632916842","4.28949553969505e-12","0.120626870809467","0.0134809573472273"
"5","accuracy_.67507","8.79422856786698","-0.0103318346636007","0.993634617887751","0.0095215894248201","8.55225207166001e-16","0.279346748052787","0.00657132104402798"
"6","accuracy_.67609","40.0650044831424","-0.0376189022808245","4.48020050288237","0.0429319077268075","4.8162862108077e-16","0.38207741545596","0.00429499389823692"
"7","accuracy_.67630","13.1351679427955","-0.0390899124691956","1.30687010424201","0.0125231954887164","4.15381610474655e-19","0.0021007584722463","0.0518961322665599"
"8","accuracy_.69202","11.4888268155724","0.0139151528467134","1.36651920240558","0.0130947881164789","1.31267728337398e-14","0.289381084901187","0.00630394729152173"
"9","accuracy_.69484","13.3750403474829","-0.0424027376226467","1.22443036695758","0.0117332095959331","1.38345264327657e-21","0.000392351907520569","0.0683570973812264"
"10","accuracy_.69571","8.10327608814581","-0.0116929763493091","1.28838391284418","0.0123460499652512","2.39493983946995e-09","0.344870457983628","0.00501407719636829"
"11","accuracy_.69661","7.34514311311675","0.014710239113627","1.50521007206557","0.0144238053367936","2.34801904170289e-06","0.30917975148232","0.00580937512110088"
"12","accuracy_.69679","12.9347610176219","-0.0232201954091432","1.88559217817934","0.0180688496757911","1.0981467304028e-10","0.200428594868406","0.00919263370486114"
"13","accuracy_.69712","11.321711842152","-0.0379863118771855","1.27411537401253","0.0122093204612653","6.86167594581554e-16","0.00217038566579749","0.0515766926003672"
"14","accuracy_.70516","9.14505827983836","-0.00934448136948462","1.10967461366275","0.0106335526925413","3.60192476047234e-14","0.380708964888877","0.00431969956213304"
