"","coeff (Intercept)","coeff trial","Std. Error (Intercept)","Std. Error trial","P-value (Intercept)","P-value trial","R-squared"
"1",12.1828066599251,-0.0330151669627747,2.40539458536865,0.0379615165668471,1.71622458281993e-06,0.386410655856313,0.00701934995924265
"2",15.910684830227,-0.0375207567965557,2.13192228695345,0.0333418250723971,2.27824868273268e-11,0.262941314855969,0.0115898517838982
"3",12.7366027528048,-0.028379392425702,1.9840389402702,0.0302106773484813,3.483191596843e-09,0.349573896210923,0.00788720868477406
"4",14.7809616897754,-0.0572824633601333,1.48850668439646,0.0208337330572091,2.33516234863738e-17,0.00688421148100437,0.058803619602649
"5",15.7835249044063,-0.0765792317555452,1.79152121957013,0.0265782688585785,1.614742864572e-14,0.00473358945953348,0.0678790925402181
"6",12.6474119376881,0.0528568045449542,3.05651560154498,0.048237394542523,7.00539881497622e-05,0.275642253679929,0.0110969609637823
"7",12.1863022183877,0.031215836805842,2.00776796926836,0.0268020237980441,1.37472850699926e-08,0.246330798782537,0.0105681014301267
"8",6.95714947620568,0.0329133136493655,2.8675644009617,0.0448467710224682,0.016916107236108,0.4645963205978,0.00496245487901278
"9",7.91970431266497,-0.00576755310745888,1.42639756352062,0.0217195518129865,1.94785533052551e-07,0.791080975228557,0.000634866922516924
"10",10.604921898275,-0.00590697698336556,1.78969189118467,0.0263256413763817,3.3182555899104e-08,0.822858932383894,0.000437607446222983
"11",42.3441149576158,-0.35181052540842,3.62071124274489,0.0546515966476695,3.93085734425951e-21,3.12343947417775e-09,0.270069452801769
"12",9.84932027057279,-0.0565173675951274,1.32403048458351,0.0171461089807284,1.18948691683475e-11,0.00126120222103533,0.0765873781505682
"13",10.4201292198696,0.0471237471281327,2.28826014421687,0.0354666017779367,1.37928924789035e-05,0.186728636007735,0.0159380945308358
"14",10.6257894255076,0.0176933427013601,2.7218732218995,0.0421873334179744,0.00016436905831588,0.675749673430112,0.00161112361706612
"15",16.2953387079248,-0.0378448506839844,2.30835959766091,0.0361011854795998,1.69253236022216e-10,0.296840995414788,0.0100727989997209
"16",45.122217393754,-0.382689944008827,3.83303627844889,0.0559076066869269,1.58029966033788e-21,3.84392557036011e-10,0.287708206530245
"17",9.5446907139861,-0.0105787643105482,1.77135065257362,0.0258364305460716,3.78121315874939e-07,0.682963454632538,0.00144317717207973
