"","ID","coeff (Intercept)","coeff trial","Std. Error (Intercept)","Std. Error trial","P-value (Intercept)","P-value trial","R-squared"
"1","accuracy_.67042","1.92959043022363","-0.00114905210144706","0.165445472521466","0.00158539550976344","1.02845674775808e-23","0.469542850467323","0.00294241843526461"
"2","accuracy_.67243","2.15391093325675","-0.000483704556686823","0.16085107085398","0.00154136925952721","9.76561807455796e-29","0.754029127827496","0.000552951140598596"
"3","accuracy_.67708","1.87548482691388","0.000451113658362329","0.165508099937741","0.00158599564238138","9.30021176706729e-23","0.776407188409402","0.000454308249195693"
"4","accuracy_.68851","2.12233441223551","-0.00278339329230628","0.170580599326181","0.00163460330526359","5.65936191774329e-26","0.0903520611094568","0.0160282836645766"
"5","accuracy_.68926","2.24961081180373","-0.0042984704570957","0.164881951900068","0.00157999552480642","1.78950031276096e-29","0.00716383607369693","0.0399211531366805"
"6","accuracy_.69016","2.09110694604998","0.000688887178356687","0.177871999780272","0.00170447377898298","5.52611594019062e-24","0.686577205806837","0.000916847673645045"
"7","accuracy_.69100","1.90029972819911","0.00308988409039445","0.145436774835669","0.0013936604384809","8.61348236515364e-28","0.0278825830408097","0.0268732288447927"
"8","accuracy_.69139","1.17747999763099","0.00166447446437797","0.195615973053101","0.0018745069332505","9.76002704499866e-09","0.375764194947516","0.00441002128492223"
"9","accuracy_.69169","1.47071216435175","0.00124136503268712","0.154611691722677","0.00148157987086808","1.3223409513746e-17","0.4032297350045","0.00392843361406477"
"10","accuracy_.69241","1.76349291860128","0.000699963735318307","0.160965088065575","0.00154246183929106","1.11826991727036e-21","0.650528117847126","0.00115558013871454"
"11","accuracy_.69247","3.31969445838448","-0.00948561561777789","0.15435430712034","0.0014791134607173","2.23898577456293e-51","1.24436474760467e-09","0.187686042941173"
"12","accuracy_.69637","1.71535198810892","-0.00413722803333444","0.147815025979735","0.00141645023518812","1.51586573283877e-23","0.00394296502693276","0.0457366667327703"
"13","accuracy_.69670","1.87963989718345","0.00138530974741085","0.172697387057378","0.0016548876062663","1.79450120212893e-21","0.403657709135164","0.0039213031907664"
"14","accuracy_.69739","1.83780359614675","5.45376321927917e-05","0.171185793090002","0.0016404026267021","4.76096145058339e-21","0.973515274661438","6.20967607717231e-06"
"15","accuracy_.69745","2.22353738211001","-0.000716373229048701","0.163756785509699","0.00156921352082746","2.77576513781881e-29","0.648574541272978","0.00116946282761148"
"16","accuracy_.69859","3.2000435043834","-0.00835166628551051","0.19940207679807","0.0019107875989302","2.00463799232574e-36","2.10025277682764e-05","0.096922872657425"
"17","accuracy_.70552","1.81428769023449","-0.00135393116056818","0.157333091888437","0.00150765792267156","2.46692301835263e-23","0.37037943402896","0.00451028839588943"
