"","ID","coeff (Intercept)","coeff trial","Std. Error (Intercept)","Std. Error trial","P-value (Intercept)","P-value trial","R-squared"
"1","accuracy_.67060","23.9797503272374","-0.0819670931726051","2.84425634889238","0.0272553317744315","1.13678027010347e-14","0.00301659477730909","0.048353908847093"
"2","accuracy_.67276","12.326708049063","0.018624466002496","1.61563495297375","0.0154819612820117","1.37020729798943e-12","0.230582284611602","0.00806453112722863"
"3","accuracy_.67417","22.1851506998814","-0.0407335388735825","3.01731768515549","0.0289137069553516","6.81840201836736e-12","0.160639683527831","0.0110270952525923"
"4","accuracy_.67486","8.50009104073892","-0.0104859660755682","1.49490816681258","0.014325086441189","5.24034783301538e-08","0.465131124355326","0.00300121439694655"
"5","accuracy_.67759","9.67712118041818","-0.0156676646374631","1.60495552279113","0.0153796247212081","9.26297296281646e-09","0.309714428926705","0.00579658628583782"
"6","accuracy_.68965","14.7074694800091","-0.00638497072189264","1.61188603842462","0.0154460369850086","1.54223355076365e-16","0.679831109867864","0.000959062613996876"
"7","accuracy_.68995","13.880991792249","0.00412518448030601","2.38453840590161","0.02285004493601","2.66928392866894e-08","0.856939619711188","0.000183068287209957"
"8","accuracy_.69058","13.1915511413391","0.0239457550717594","2.49397799853463","0.0238987592713522","3.57172720253802e-07","0.317719934511135","0.00560846198226354"
"9","accuracy_.69076","14.567894337796","-0.00761877653009661","1.78305780316743","0.0170863051838637","5.53120347510865e-14","0.656211673103894","0.00111575620976048"
"10","accuracy_.69160","16.883116077194","-0.031980410920621","2.12423284223966","0.020355644421408","2.09563030650539e-13","0.117939189619931","0.013677207464288"
"11","accuracy_.69175","6.91389268242582","0.0136572802289351","1.23236825452727","0.0118092750881959","7.61409726356687e-08","0.249031529037165","0.00745780355699152"
"12","accuracy_.69199","12.5986674941816","-0.0276852966430137","1.42885738307583","0.0136921491092895","1.05171531909796e-15","0.0446753311509655","0.0224529186860913"
"13","accuracy_.69220","10.5126367338023","0.0303419172718592","2.20564743586169","0.0211358067866299","3.88524770193071e-06","0.152879834875967","0.0114453495428272"
"14","accuracy_.69358","10.3034623077218","-0.012493069630075","1.46944062941117","0.0140810415675181","4.70972239176143e-11","0.376154312434535","0.00440283498706592"
"15","accuracy_.69727","21.261601489906","-0.0603021240939885","3.01995816024116","0.0289390095355955","4.01336250471498e-11","0.0386097177354046","0.0238128287120848"
"16","accuracy_.69850","17.1518311612479","0.0568858435251304","3.09010658227573","0.0296112128398967","1.01959382007083e-07","0.0563181077314754","0.0203125091208345"
"17","accuracy_.69853","15.4939926888628","0.00887887486474476","1.83878633676381","0.0176203286635207","1.17010745707629e-14","0.614955094780955","0.00142445516567452"
"18","accuracy_.69862","10.6923401612345","-0.0269196580119222","1.20524575423673","0.0115493713899028","7.50732833986177e-16","0.0208827462003005","0.0296172974231188"
