"","ID","t-value","p-value","Std error"
"t","accuracyBP.csv","2.66591373237776","0.0162052233072658","2.1876928593113"
"t1","accuracyBT.csv","2.51565618723486","0.0226876377218568","2.08398612627421"
"t2","accuracyN.csv","3.51598696503954","0.00247019501443221","1.68261413978677"
"t3","accuracyTP.csv","2.68323888243768","0.0156609096246147","2.03300067353725"
"t4","accuracyTT.csv","1.70792507924514","0.0995315717381651","1.4895218768083"
