consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,presented_this_ori,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,pauseMouse.x,pauseMouse.y,pauseMouse.leftButton,pauseMouse.midButton,pauseMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,pauseMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.348148185,-0.395370397,1,0,0,consent_button1,0.374074112,-0.385185268,1,0,0,consent_button,0.061111139,-0.20925928,1,0,0,0.05648151,-0.376851934,1,0,0,-52.22222222,60,20,75,32.77777778,27.22222222,17.69444444,-47.69444444,0.193518551,-0.328703728,1,0,0,2.5648,submitButton,0.062962991,-0.099074092,0,0,0,0,0,0,44,1,60,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,29.44444444,-35,20,75,34.44444444,69.44444444,55.55555556,-69.44444444,0.212962996,-0.318518599,1,0,0,0.1002,submitButton,-0.136111089,-0.397222249,0,0,0,0,1,1,19,1,35,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,30.55555556,-74,20,75,-43.44444444,30.55555556,24.44444444,-139.5555556,-0.308333316,-0.387037063,1,0,0,1.5286,submitButton,-0.301851834,-0.387963046,0,0,0,0,2,2,58,1,74,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-22.77777778,-19,20,75,-28.77777778,9.777777778,3.911111111,-112.9111111,0.234259293,-0.308333357,1,0,0,0.1965,submitButton,-0.011111085,-0.298148172,0,0,0,0,3,3,3,1,19,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,32.22222222,20,20,75,201.2222222,1.222222222,0.488888889,-69.51111111,0.195370403,-0.285185265,1,0,0,0.7998,submitButton,0.041666694,-0.326851933,0,0,0,0,4,4,4,1,20,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,53.88888889,-31,20,75,-29.11111111,1.888888889,0.755555556,-120.2444444,0.409259298,-0.30462971,1,0,0,0.2835,submitButton,-0.024999974,-0.357407489,0,0,0,0,5,5,15,1,31,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,57.77777778,-24,20,75,-37.22222222,13.22222222,5.288888889,-119.2888889,0.405555594,-0.30462971,1,0,0,0.4492,submitButton,-0.152777756,-0.38333336,0,0,0,0,6,6,8,1,24,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-42.77777778,-62,20,75,-80.77777778,18.77777778,12.20555556,-164.2055556,0.161111142,-0.318518599,1,0,0,0.1162,submitButton,-0.124999977,-0.325000025,0,0,0,0,7,7,46,1,62,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-36.11111111,-36,20,75,-46.11111111,10.11111111,4.044444444,-130.0444444,0.196296329,-0.293518599,1,0,0,0.1825,submitButton,-0.159259181,-0.412037064,0,0,0,0,8,8,20,1,36,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,61.66666667,-64,20,75,96.66666667,19.33333333,12.56666667,-141.4333333,0.225925959,-0.275000023,1,0,0,1.7821,submitButton,-0.094444421,-0.276851932,0,0,0,0,9,9,48,1,64,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,66.11111111,55,20,75,76.11111111,21.11111111,13.72222222,-21.27777778,0.386111149,-0.28703706,1,0,0,0.5997,submitButton,-0.084259179,-0.337963044,0,0,0,0,10,10,39,1,55,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.88888889,73,20,75,85.88888889,12.88888889,5.155555556,-11.84444444,0.37685189,-0.311111135,1,0,0,0.4671,submitButton,-0.178703683,-0.423148176,0,0,0,0,11,11,57,1,73,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,71.11111111,-25,20,75,-31.88888889,6.888888889,2.755555556,-117.7555556,0.395370409,-0.287963043,1,0,0,1.5168,submitButton,-0.153703625,-0.41759262,0,0,0,0,12,12,9,1,25,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-65.55555556,-40,20,75,-193.5555556,26.44444444,17.18888889,-147.1888889,0.381481519,-0.28703706,1,0,0,0.199,submitButton,-0.18611109,-0.458333362,0,0,0,0,13,13,24,1,40,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-70,-33,20,75,-205,8,3.2,-126.2,0.360185222,-0.329629711,1,0,0,1.1829,submitButton,0.275000035,-0.419444472,1,0,0,0,14,14,17,1,33,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,pause_continueButton,,,,,,
,,,,,,,,,,,,,,,,,,,,,,37.77777778,-50,20,75,-25.22222222,24.77777778,16.10555556,-123.8944444,0.392592631,-0.34444447,1,0,0,0.9998,submitButton,0.103703733,-0.499074104,0,0,0,0,15,15,34,1,50,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.88888889,37,20,75,40.88888889,3.888888889,1.555555556,-51.44444444,0.405555594,-0.30462971,1,0,0,0.5331,submitButton,-0.216666647,-0.398148175,0,0,0,0,16,16,21,1,37,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-57.22222222,-58,20,75,-243.2222222,5.222222222,2.088888889,-150.0888889,0.428703743,-0.302777802,1,0,0,2.6828,submitButton,-0.19074072,-0.404629713,0,0,0,0,17,17,42,1,58,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-40.55555556,39,20,75,36.44444444,2.555555556,1.022222222,-52.02222222,0.148148179,-0.30555558,1,0,0,1.0162,submitButton,-0.226851832,-0.39629638,0,0,0,0,18,18,23,1,39,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-26.66666667,-42,20,75,-213.6666667,8.333333333,3.333333333,-135.3333333,0.416666706,-0.296296377,1,0,0,0.7997,submitButton,-0.321296279,-0.384259286,0,0,0,0,19,19,26,1,42,67174,2,180,2022-02-18_21h53.34.595,orientation adjustment 2,2021.2.3,Win32,60.83465142,,,,,,,
