"","ID","coeff (Intercept)","coeff trial","Std. Error (Intercept)","Std. Error trial","P-value (Intercept)","P-value trial","R-squared","BayesFactor","length"
"1","X67060","-0.843783160510226","-0.00978993507142717","0.211708448106258","0.0022123089328134","0.000101332129197342","1.75655409053116e-05","0.107252872877841","1009.686163722","165"
"2","X67267","-1.31061583127658","-0.00867878151687363","0.249427360768892","0.00711151473006767","2.21935108567102e-06","0.227257812967307","0.0250353776249445","0.48938181756888","60"
"3","X67417","-1.2193652916011","-0.0111840448487882","0.308621320546506","0.0087992153720176","0.000213580074446082","0.208792957601894","0.0270988358308335","0.515712640026215","60"
"4","X68965","-1.08899475441555","-0.00782265990561392","0.19213161837346","0.00366703016547766","1.80194516842366e-07","0.0356885152165933","0.0491699923869217","1.5929554125745","90"
"5","X68995","-1.23630615179532","-0.00444895524498451","0.189821633486509","0.00310904616855322","2.74531621009319e-09","0.155465542516873","0.0194928469506353","0.512838001504132","105"
"6","X69160","-1.31876798279425","-0.00410810822931847","0.176180025940928","0.00168826029373826","3.17206059182682e-12","0.0159489934831804","0.0321938786674881","2.46857138698899","180"
"7","X69175","-2.21178274433945","-0.00245629927324506","0.33268507105749","0.00948530576599847","1.13949409049789e-08","0.796584228017631","0.00115486190426339","0.269871510166575","60"
"8","X69850","-2.01365659950604","0.0496726066746864","0.573857297789671","0.0631158878661036","0.00384719578841702","0.44538947363989","0.0454777744321679","0.536161354137993","15"
"9","X69862","-1.97395923095565","-0.00241604498648152","0.181423940181535","0.00189584216917204","4.5208665975193e-21","0.204338573646271","0.00986534622080862","0.355948029405926","165"
"10","X69199","-1.69673051174887","-0.0025440619078333","0.187061227325868","0.00214925370075238","6.72769860775172e-16","0.238431345324594","0.00937834245964954","0.334146058258612","150"
"11","X69220","-1.73075861226701","-0.0176223350189523","0.255003313108945","0.00965432325541892","2.61818335289628e-08","0.074901939226783","0.0719123947525512","1.10734857033531","45"
"12","X69358","-1.0629045280049","-0.0299856300710231","0.263384681041278","0.00750945699431394","0.000161516863973526","0.00018594218021794","0.215627307785328","129.630702280845","60"
"13","X69058","-1.62914623168929","-7.42835471157358e-06","0.172125974534892","0.00164941199648645","1.78890438163713e-17","0.996411672207795","1.13948055243441e-07","0.161559753796693","180"
"14","X69076","-1.49357095479588","-0.00249076035074226","0.253987753514497","0.0041600087272445","5.10826060054958e-08","0.550661326964638","0.00346840060925317","0.242154001819282","105"
"15","X69727","-1.41595944826295","-0.00306418292134916","0.195259355567069","0.00204041936162889","1.57326169884791e-11","0.135098556125614","0.0136469404077216","0.475715488313873","165"
"16","X69853","-2.53676549361525","0.0882927935221876","0.477309249877502","0.0524970183506564","0.000140259559656567","0.116445967866188","0.178705122674182","1.05866772022051","15"
"17","X67486","-1.41949542740028","-0.0554334294630035","0.415533848471058","0.0234064886273665","0.00195951256528714","0.0250088754169339","0.166885185917267","2.59260687422874","30"
"18","X67759","-1.93876586325489","-0.00494321077935515","0.219405501823646","0.00359359374521864","2.83311700797412e-14","0.171941430062928","0.0180391981187646","0.478755183559422","105"
