"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14","lp.15","lp.16","lp.17"
"11",1.394,0.085483871,0.044,0.34084507,0.179831933,0.168085106,0.206185567,0.368831169,0.455813954,0.108256881,0.064788732,0.260465116,0.020618557,0.752631579,1.114563107,0.34893617,0.3109375,0.079069767
"12",0.244,0.341463415,0.08,0.658227848,0.152941176,0.267346939,0.04,0.228571429,0.14,0.240336134,0.056198347,0.114754098,0.357142857,0.289552239,0.205882353,0.401526718,0.144262295,0.031707317
"13",0.393684211,0.330232558,0.07628866,0.686956522,0.098701299,0.13258427,0.004255319,0.083495146,0.196428571,0.063636364,0.155102041,0.112977099,0.541176471,1.25,0.1,0.411214953,0.061702128,0.153731343
"14",2.411764706,0.154545455,0.266666667,0.501204819,0.112676056,0.232876712,0.161290323,0.431578947,0.025,0.581395349,0.448648649,0.116666667,0.034146341,0.219469027,0.435135135,0.325,0.447368421,0.215384615
"15",1.45,0.258823529,1.964705883,0.195744681,0.263157895,0.285714286,0.187096774,0.422641509,0.083018868,0.261538462,0.035616438,0.307692308,0.023404255,0.091262136,0.016923077,0.272340426,0.28,0.08
"16",0.104545455,0.636538462,0.0625,0.497674419,0.133333333,0.2575,0.044897959,,0.234645669,0.235,0.101176471,0.372881356,0.296240602,0.325,0.653846154,,0.06875,0.147368421
"17",0.27394958,0.273684211,0.665116279,0.132142857,0.16,0.074418605,0.002702703,,0.063636364,0.01,0.049056604,0.181679389,0.055172414,0.146153846,0.213333333,,0.04,0.302040816
"18",0.034146341,0.235,0.1025,0.28,0.677272728,0.243636364,0.057142857,,0.061538462,0.010989011,0.475,0.161643836,0.339849624,0.378723404,0.237288136,,0.08,0.04516129
"19",0.030769231,0.263636364,0.216470588,0.319512195,0.2125,0.003076923,0.154,,0.532,0.005263158,0.852727273,0.46,0.358139535,0.194736842,0.390909091,,0.024299065,0.116666667
"20",0.239175258,0.598347107,0.26,0.466666667,0.624390244,0.580487805,0.285714286,,0.1,0.298701299,0.218181818,0.269565217,0.492307692,0.206779661,0.11011236,,0.091803279,0.141860465
"21",0.195744681,0.235,0.541818182,0.210769231,0.46,0.092913386,0.011764706,,0.104201681,0.017391304,0.295652174,0.628571429,0.273684211,0.410344828,0.034042553,,0.309090909,0.232
"22",0.083018868,0.108571429,0.103225806,0.291935484,0.234482759,0.04,0.152941176,,0.1,0.2,0.130232558,0.505,1,0.04375,0.368085106,,0.25,0.134
"23",0.1375,0.485714286,0.119148936,0.131764706,0.175,0.723404255,0.237837838,,0.076635514,0.539534884,0.268292683,0.446153846,0.126717557,1,0.041935484,,0.127835052,0.32
"24",1.723913043,0.5875,0.026446281,0.34893617,0.220895522,0.618348624,0.06744186,,0.098947368,0.015384615,0.055,0.07032967,0.240366973,0.18852459,0.12195122,,0.04375,0.133333333
"25",0.994594594,0.125,0.28372093,0.433898305,0.224137931,1.684,0.092913386,,0.030769231,0.455319149,0.116666667,0.285714286,0.0296875,0.445,0.926315789,,0.013592233,0.206818182
"26",0.303937008,0.232786885,0.022727273,0.467692308,0.45,0.08,0.063636364,,0.138297872,0.120930233,0.0656,0.015384615,0.182857143,0.01,0.165714286,,0.221428571,0.29375
"27",0.387628866,0.053846154,0.49,0.8,0.425531915,0.101492537,0.455813954,,0.009302326,0.210526316,0.166666667,0.185714286,0.288888889,0.436842105,0.118,,0.064,0.016129032
"28",1.536170213,0.371428571,0.26,0.141284404,0.608510638,0.340425532,0.24516129,,0.228571429,0.184615385,0.140909091,0.092857143,0.502362205,0.175,0.228235294,,0.0625,0.046153846
"29",0.188235294,0.609638554,0.337931034,0.27027027,0.164948454,0.28,0.382089552,,0.003278689,0.035051546,0.109589041,0.162025316,0.10625,0.35,0.1,,0.009756098,0.07804878
"30",0.506122449,0.016129032,0.174117647,1,0.38,0.088372093,0.384210526,,0.712195122,0.136842105,0.041121495,0.005405405,0.616326531,0.382857143,0.358139535,,0.024096386,0.059090909
