"","ID","coeff (Intercept)","coeff distance","Std. Error (Intercept)","Std. Error distance","P-value (Intercept)","P-value distance","R-squared"
"1","c_distance_.66961","11.0561170280382","-0.0154272123499344","2.74253571259742","0.0533465317261863","8.21207496842754e-05","0.772773543437031","0.000469611297511649"
"2","c_distance_.67072","8.91923611829636","0.0205651884095552","1.80904352073908","0.0352088619653109","1.87159347100133e-06","0.559898400833833","0.00191297729830823"
"3","c_distance_.67120","8.66769355960579","-0.0227191969700694","2.17186628880903","0.0429512768291747","9.60888917273901e-05","0.597497189476791","0.00156939288591387"
"4","c_distance_.67360","19.1301992024191","-0.0163656001044993","4.1250708539472","0.0825232393801067","6.80552969286207e-06","0.843024894252808","0.000220899832405072"
"5","c_distance_.67378","10.3141885260546","0.129635345382551","4.34136154750156","0.0831599098710282","0.0185736837834206","0.12080374236503","0.0134682112559557"
"6","c_distance_.67567","15.6952851549715","0.0241110923827688","4.11387839926137","0.0845713649228743","0.000187515378657068","0.775900823965329","0.000456424369476742"
"7","c_distance_.67672","9.84305158258213","0.0167707229765773","2.58192935755309","0.0506028564074483","0.00018957376179531","0.740718251610036","0.000616688140260441"
"8","c_distance_.67684","4.21331056557434","0.226447351686347","2.72715078394723","0.0550481286598742","0.124134464517745","5.94480687062845e-05","0.0868137896249877"
"9","c_distance_.67765","4.3356116067371","0.174329748928168","3.28974288331729","0.0625445286997744","0.18922466423743","0.00589223782201942","0.0418206857033082"
"10","c_distance_.68812","20.6473861321132","-0.117828743440688","4.02650985898077","0.0791131013555597","7.59841201021126e-07","0.138159439097596","0.0123085519764013"
"11","c_distance_.68818","27.3723715061539","0.0402608227943391","5.96014291383378","0.119371226583576","8.25707969564296e-06","0.736307653777604","0.000638658244316434"
"12","c_distance_.68932","13.2230078910801","-0.0257967539221561","3.51943550001067","0.069228641317272","0.000232732773645514","0.70986623941223","0.000779470801089767"
"13","c_distance_.68977","4.64259598560684","0.131325963480062","2.4061164772846","0.0498122768220896","0.055259300537697","0.00911907030364028","0.0375813547234747"
"14","c_distance_.69094","8.2408092718166","0.0367038569094745","1.99749804195706","0.0381554156012152","5.67023425390425e-05","0.337376313704464","0.00517176911365563"
"15","c_distance_.69298","4.94587649955505","0.0887175202222627","1.83881806698957","0.0368212155854688","0.00783182809857572","0.0169974851780487","0.0315838146011097"
"16","c_distance_.69478","5.59141084671146","0.0442555377393941","1.39732490372035","0.0282888308903662","9.2219254886673e-05","0.119495681494837","0.0135629641099662"
"17","c_distance_.69592","4.59552010203399","0.112708361977802","3.16184317702707","0.0625762819691848","0.147864959412976","0.0733741611679279","0.0178990059913356"
"18","c_distance_.69610","11.679433587463","-0.0197287867902138","2.93494523003046","0.0605839575601015","0.000100439480585404","0.745076396522012","0.000595397247466448"
"19","c_distance_.69622","5.04570273784364","0.0870620889451445","2.49763174617118","0.0487926235654144","0.0448623576594826","0.0760735978561789","0.017572372070202"
"20","c_distance_.69844","8.92352702397547","0.0403810085341707","2.45679492691639","0.0492350933751791","0.000367370420276388","0.41321773031814","0.00376484112161798"
