"","accuracy_ 67045","accuracy_ 67051","accuracy_ 67174","accuracy_ 67258","accuracy_ 67507","accuracy_ 67609","accuracy_ 67630","accuracy_ 69202","accuracy_ 69484","accuracy_ 69571","accuracy_ 69661","accuracy_ 69679","accuracy_ 69712","accuracy_ 70516"
"141",39.55555556,1.222222222,11.55555556,12.55555556,7.888888889,61.33333333,7.222222222,19.44444444,1.888888889,0.444444444,11.22222222,10.55555556,8.555555556,1.666666667
"142",0.666666667,14.77777778,3.888888889,65.33333333,17.11111111,27.22222222,1.888888889,16.33333333,2.555555556,8.111111111,0.888888889,2.555555556,10.22222222,1.333333333
"143",6.444444444,13.11111111,6.555555556,3.222222222,1.555555556,83,7.222222222,2.222222222,5.777777778,4.111111111,6.111111111,1.888888889,1.444444444,16.88888889
"144",11.88888889,20.22222222,4,10,1.111111111,16.11111111,7.444444444,22.11111111,8.555555556,3,1.888888889,4.555555556,1.333333333,3
"145",7.888888889,71.66666667,8.111111111,0.222222222,4.777777778,77.33333333,6.222222222,20.44444444,4.333333333,10.44444444,2,10.66666667,0.111111111,12.44444444
"146",36,6.666666667,6.333333333,4.555555556,1.444444444,9.111111111,1.666666667,1.666666667,2,10,1.666666667,6.111111111,13.66666667,0.222222222
"147",21.44444444,9.666666667,10.88888889,15.77777778,9.333333333,17.88888889,1.333333333,30.33333333,5.222222222,7.333333333,0,0.555555556,4.666666667,14.11111111
"148",22,10.44444444,2.777777778,8.222222222,10.33333333,43.77777778,1.555555556,30.77777778,10.55555556,10,9,8.222222222,2.222222222,7
"149",11.66666667,7.333333333,7,4,4,64.22222222,1,28.66666667,13.22222222,4,7.777777778,1.444444444,0.555555556,1.111111111
"150",26.88888889,14.33333333,10,10.77777778,2.444444444,68.33333333,3.111111111,24.55555556,0.555555556,10,24.11111111,10.33333333,7.555555556,9.888888889
"151",1.555555556,18,4.111111111,19.77777778,4.555555556,31.44444444,3.888888889,7.111111111,28.22222222,3,5.111111111,16.33333333,11.55555556,4
"152",3.555555556,4.666666667,23.33333333,8.666666667,5.222222222,72.55555556,0.333333333,24.77777778,8.888888889,0.888888889,9.444444444,7.333333333,3.333333333,18.33333333
"153",26,4.222222222,10.88888889,0.333333333,23.33333333,21.66666667,0.555555556,10.66666667,14.11111111,1.666666667,2,13.11111111,4.333333333,7.444444444
"154",59.11111111,14.66666667,8.666666667,3.333333333,1.111111111,15.22222222,23.88888889,9.888888889,0.666666667,5.888888889,70,17.22222222,3.333333333,6.444444444
"155",8.666666667,1.777777778,9.222222222,3.888888889,13.22222222,6.555555556,12,21.33333333,16.33333333,4.777777778,15.44444444,9,6.666666667,5.888888889
"156",13.77777778,55.55555556,8.555555556,12.77777778,1.555555556,8,14.77777778,18.88888889,1.555555556,7.888888889,3.111111111,10,4.222222222,8.555555556
"157",8.555555556,9.555555556,19,5.555555556,11.22222222,14.77777778,15.88888889,0.333333333,3.222222222,2.555555556,5.777777778,4.444444444,8.222222222,3.444444444
"158",17.55555556,2.111111111,5.888888889,17.55555556,0.111111111,85.33333333,1.444444444,16.55555556,11.22222222,8.111111111,14.88888889,12,3.555555556,18.33333333
"159",5.555555556,0.333333333,15.33333333,7.333333333,10.66666667,8.666666667,8.888888889,21.11111111,2.666666667,4.777777778,4.444444444,13.44444444,1.222222222,6.777777778
"160",3.111111111,3.333333333,0.111111111,11.33333333,44.44444444,5.777777778,4.555555556,1.777777778,7.111111111,1.555555556,3.111111111,67.44444444,2.888888889,2.111111111
"161",3,12,2.444444444,2,7.888888889,11.66666667,9.777777778,10.22222222,13.66666667,0.333333333,5.333333333,5.888888889,5.222222222,3.666666667
"162",13.88888889,23.44444444,8.333333333,8.888888889,10.44444444,47.22222222,7.111111111,6.555555556,7.777777778,14,2.666666667,1.333333333,11,7.888888889
"163",4.555555556,16.88888889,1.444444444,10,0.444444444,64.44444444,0.888888889,33.66666667,1.666666667,2.777777778,2,6.333333333,1.555555556,23.33333333
"164",25,6.444444444,33,3,1.222222222,11.88888889,3.444444444,26.44444444,2.111111111,14.66666667,3.666666667,8.111111111,8.444444444,10
"165",10.77777778,15.22222222,2,6.777777778,4,7.444444444,0.111111111,22,34.88888889,2.666666667,7.444444444,0.888888889,6.555555556,6.777777778
"166",51.33333333,14.11111111,46.11111111,8.444444444,5.444444444,4.666666667,12.44444444,13.11111111,3.666666667,10.77777778,10.22222222,29.22222222,0.666666667,2.111111111
"167",13,65,3,7.777777778,3.333333333,18.22222222,5.111111111,1.777777778,4.333333333,11.11111111,9.777777778,12.77777778,2.222222222,7.444444444
"168",33.66666667,10.33333333,18.33333333,9,0.888888889,13.44444444,8.222222222,20.77777778,8,8.888888889,16.22222222,0.555555556,6.111111111,2.555555556
"169",4.666666667,2.555555556,22.33333333,4.555555556,1.888888889,84.22222222,0.777777778,2.888888889,4.111111111,0.555555556,3.111111111,3.888888889,9.333333333,3.666666667
"170",24.44444444,3,12,3.333333333,16.33333333,80.33333333,6.444444444,18,23.77777778,1.666666667,2.888888889,8,2.333333333,7.111111111
"171",28.33333333,19.77777778,5.555555556,4.333333333,14.11111111,5.222222222,17.22222222,8.777777778,1.444444444,2.777777778,0.777777778,5.444444444,5.222222222,1.222222222
"172",11.66666667,4,3,9.888888889,1.222222222,54.66666667,3.666666667,6.222222222,2.222222222,2.333333333,4.666666667,6.222222222,8.333333333,4
"173",7.222222222,5.666666667,6.555555556,1.777777778,7.222222222,15.88888889,0.666666667,15,6.888888889,0.111111111,14.55555556,64.11111111,7.333333333,18.11111111
"174",16.33333333,2.666666667,3.444444444,7.555555556,6,11.22222222,14.11111111,9.555555556,8,5.777777778,7.333333333,9.666666667,7.777777778,6.666666667
"175",5,1.222222222,11.88888889,0.555555556,21.66666667,22.22222222,13.22222222,4.555555556,6.222222222,0.888888889,11.44444444,3.888888889,4.888888889,1.444444444
"176",16.11111111,9.444444444,6.333333333,2.777777778,1,3.111111111,6.888888889,19.11111111,4,0.555555556,30.11111111,7.777777778,15.44444444,17.11111111
"177",21.11111111,5.111111111,15.22222222,1.111111111,4.444444444,5.111111111,5.666666667,6.333333333,19,23.66666667,6.444444444,5,3.111111111,21.11111111
"178",23.55555556,10,9.666666667,2.555555556,0.555555556,54.22222222,3.333333333,11.55555556,4.444444444,10,9.111111111,9.555555556,12.22222222,16.11111111
"179",1.666666667,14.44444444,10,2.444444444,1,14,15.88888889,5.777777778,2.555555556,2.555555556,8.444444444,0.888888889,10.44444444,13.77777778
"180",14.44444444,1.555555556,10.33333333,3.888888889,9.888888889,18.33333333,11.55555556,8,15.55555556,5.555555556,3.333333333,0.666666667,4.888888889,1.888888889
