"","ID","coeff (Intercept)","coeff distance","Std. Error (Intercept)","Std. Error distance","P-value (Intercept)","P-value distance","R-squared"
"1","c_distance_.67060","17.8568527645814","-0.028444976661395","4.61699588682132","0.0962629818371002","0.000153957854458102","0.767962188150774","0.000490297360357165"
"2","c_distance_.67276","2.54121065256712","0.24036270283915","2.36404345433625","0.046951956625415","0.283855427485439","7.90396712502738e-07","0.128337899882501"
"3","c_distance_.67417","14.5914028159374","0.0857713744948225","4.51017696791475","0.0933124994588549","0.00144923478526888","0.359243158803189","0.00472420282774201"
"4","c_distance_.67486","4.25535989697069","0.0707960865712688","2.2219770854817","0.0450177404956767","0.0570801079301369","0.117581147792072","0.0137037210277516"
"5","c_distance_.67759","6.19606099611685","0.0423791132736429","2.43644302869985","0.0472874021710758","0.0118394399779064","0.371354748712339","0.00449197759159529"
"6","c_distance_.68965","3.79405869532984","0.216437757415893","2.39366195048314","0.0475326030035559","0.114731386985141","9.75820454050114e-06","0.104330360003296"
"7","c_distance_.68995","7.40371165275902","0.149156469627684","3.67156189182854","0.0757380691158745","0.0452506471526652","0.0504621550288066","0.0213242880976128"
"8","c_distance_.69058","3.42662733525226","0.247137553115975","3.87598404041085","0.0762670369313402","0.377852903203949","0.0014244868105885","0.0557046664933149"
"9","c_distance_.69076","11.6548754353506","0.0469451556739893","2.6999552714603","0.0538444049762645","2.62415861311936e-05","0.384455455985303","0.00425235670687927"
"10","c_distance_.69160","12.1306416345875","0.0379138608556776","3.48303658635148","0.0676670517827327","0.000624469583448326","0.575979212585657","0.001760581875942"
"11","c_distance_.69175","4.96776841397053","0.0689993327880595","1.94806839979764","0.0401239300289983","0.0116119748267309","0.0872332837304363","0.0163420656458705"
"12","c_distance_.69199","8.03243439460895","0.0420652417506019","2.28748486041746","0.0443477124337508","0.000564712283738825","0.344144491865883","0.00502915113672101"
"13","c_distance_.69220","10.1893706322392","0.0627877432997162","3.67730366922236","0.0717817540136419","0.00618431208865844","0.382914002963628","0.00427995166846625"
"14","c_distance_.69358","6.70365640029812","0.0510898094580382","2.28929807450982","0.0448907160300083","0.00385439342274673","0.256611174791477","0.00722414913128026"
"15","c_distance_.69727","19.4614395973267","-0.0763944065938296","4.83994456290528","0.0959764450064247","8.54959370244963e-05","0.427109496397542","0.00354675124367741"
"16","c_distance_.69850","18.2398734467725","0.0860522668506553","4.67987877126151","0.0935832951143442","0.000137473368018433","0.359064963047179","0.00472769966963754"
"17","c_distance_.69853","16.1677623997243","0.00271380510327789","3.0956580275656","0.061838071611716","4.88634693815749e-07","0.965044731064543","1.08198373574902e-05"
"18","c_distance_.69862","10.0292356058438","-0.0353318374595955","2.09573128252337","0.0399522089942332","3.56838502112897e-06","0.377698901671582","0.0043744843759806"
