"","distance_ 66961","distance_ 67072","distance_ 67120","distance_ 67360","distance_ 67378","distance_ 67567","distance_ 67672","distance_ 67684","distance_ 67765","distance_ 68812","distance_ 68818","distance_ 68932","distance_ 68977","distance_ 69094","distance_ 69298","distance_ 69478","distance_ 69592","distance_ 69610","distance_ 69622","distance_ 69844"
"35",72.22222222,44.44444444,47.77777778,70,52.77777778,-72.77777778,38.33333333,-48.33333333,-74.44444444,72.22222222,71.11111111,-51.66666667,-27.77777778,41.66666667,-52.22222222,-35.55555556,-28.33333333,21.11111111,21.66666667,-22.77777778
"36",41.11111111,-73.88888889,-73.88888889,-40.55555556,68.88888889,66.11111111,56.11111111,52.77777778,-60,-23.33333333,-49.44444444,44.44444444,45,51.11111111,40,-34.44444444,74.44444444,38.88888889,50,47.22222222
"37",-43.33333333,61.11111111,47.22222222,-36.11111111,-25.55555556,-40,-72.77777778,-43.33333333,65.55555556,38.88888889,35.55555556,-70.55555556,30.55555556,40.55555556,-59.44444444,-37.22222222,-58.33333333,-28.33333333,-68.88888889,59.44444444
"38",-41.11111111,73.33333333,-36.66666667,52.77777778,-40,-26.66666667,69.44444444,-47.77777778,54.44444444,66.11111111,-37.77777778,-68.33333333,-23.33333333,67.77777778,-36.66666667,68.88888889,-45,58.88888889,72.22222222,-75
"39",-66.66666667,-46.66666667,51.11111111,23.88888889,-28.33333333,-53.33333333,-33.33333333,71.66666667,-31.66666667,41.11111111,-47.22222222,-71.66666667,21.11111111,-60.55555556,-52.77777778,-65.55555556,-72.22222222,-67.77777778,-51.11111111,56.11111111
"40",-63.88888889,69.44444444,-57.77777778,-57.22222222,-74.44444444,36.11111111,-46.11111111,-35.55555556,58.33333333,32.77777778,-56.66666667,61.11111111,-42.77777778,39.44444444,60.55555556,-28.88888889,-71.66666667,43.88888889,72.22222222,70
"41",60,48.33333333,60.55555556,24.44444444,35.55555556,-42.22222222,63.88888889,39.44444444,58.33333333,48.88888889,33.33333333,-23.88888889,54.44444444,-41.66666667,-64.44444444,-73.88888889,60,-65,-63.33333333,-71.11111111
"42",63.33333333,-74.44444444,-65.55555556,61.11111111,61.11111111,22.22222222,67.77777778,-37.22222222,-33.33333333,23.88888889,-40.55555556,75,-73.88888889,-43.88888889,-55,21.66666667,73.33333333,-51.11111111,36.66666667,32.22222222
"43",-42.77777778,35.55555556,-40,37.77777778,50,42.77777778,-68.33333333,-25,-61.66666667,29.44444444,-27.22222222,-24.44444444,-22.22222222,53.33333333,48.88888889,-62.77777778,34.44444444,66.11111111,-36.11111111,-47.22222222
"44",30,-75,34.44444444,70,-74.44444444,-23.33333333,-48.33333333,-73.33333333,-39.44444444,42.77777778,-27.77777778,-53.33333333,55,40.55555556,60.55555556,-30.55555556,-75,50,-42.22222222,-62.77777778
"45",21.66666667,-40,71.66666667,-53.88888889,45.55555556,-35,45.55555556,42.77777778,-48.33333333,-43.88888889,60.55555556,73.33333333,-72.77777778,-51.66666667,21.11111111,54.44444444,72.22222222,24.44444444,-62.22222222,23.88888889
"46",74.44444444,56.66666667,62.22222222,-65.55555556,43.33333333,21.66666667,61.66666667,-65.55555556,22.77777778,51.11111111,-23.88888889,68.88888889,75,-63.33333333,66.11111111,63.88888889,68.33333333,44.44444444,-60,43.33333333
"47",-45,26.66666667,-28.88888889,68.33333333,43.33333333,72.22222222,-62.22222222,-40.55555556,-73.33333333,-70,-73.33333333,40.55555556,-22.77777778,20.55555556,-32.77777778,-58.88888889,20.55555556,30.55555556,25,66.66666667
"48",31.11111111,-72.77777778,54.44444444,41.66666667,-65.55555556,55.55555556,-49.44444444,-60,-21.66666667,73.88888889,47.77777778,-42.22222222,-32.22222222,-29.44444444,-20,31.66666667,37.77777778,-24.44444444,27.77777778,-31.11111111
"49",-69.44444444,43.33333333,-20,54.44444444,51.66666667,56.66666667,-48.88888889,-28.33333333,40.55555556,54.44444444,70,-21.66666667,-36.11111111,39.44444444,51.66666667,-24.44444444,60.55555556,47.77777778,24.44444444,27.22222222
"50",45.55555556,-55.55555556,67.77777778,-66.66666667,-68.33333333,37.77777778,-35.55555556,-23.88888889,65.55555556,-21.11111111,57.77777778,58.33333333,-74.44444444,-26.66666667,-68.88888889,-73.88888889,61.66666667,40,-35,27.77777778
"51",34.44444444,44.44444444,-59.44444444,-44.44444444,-67.22222222,75,-63.33333333,-38.33333333,67.22222222,-60,-63.33333333,40,40,65,21.66666667,56.11111111,-26.66666667,-47.22222222,-31.66666667,56.11111111
"52",73.88888889,-70,65,-68.88888889,42.22222222,-38.88888889,-57.77777778,-70.55555556,-47.77777778,23.33333333,-20,-51.11111111,-37.22222222,-31.11111111,-57.77777778,-33.33333333,62.77777778,31.66666667,-62.77777778,-36.66666667
"53",70.55555556,-30,-46.11111111,-40,48.33333333,24.44444444,-47.22222222,31.11111111,-27.77777778,39.44444444,-42.77777778,39.44444444,-36.11111111,37.77777778,62.22222222,-52.77777778,-72.22222222,48.33333333,36.11111111,-60.55555556
"54",-39.44444444,-20,-50.55555556,-27.22222222,-45,41.11111111,-22.22222222,-42.22222222,-51.66666667,62.22222222,-33.88888889,52.22222222,26.66666667,67.77777778,34.44444444,68.88888889,-65,-20,-28.33333333,-70.55555556
"55",73.33333333,65.55555556,-32.77777778,-34.44444444,-51.66666667,-21.66666667,-36.11111111,-26.66666667,63.33333333,72.22222222,-67.77777778,56.11111111,-62.22222222,-61.66666667,24.44444444,-22.77777778,-38.33333333,-45,48.33333333,-71.11111111
"56",42.22222222,47.77777778,51.66666667,-37.22222222,40.55555556,34.44444444,30,-50.55555556,-63.88888889,75,-32.77777778,50.55555556,-67.77777778,40.55555556,-73.88888889,-41.11111111,37.22222222,-27.77777778,68.33333333,63.88888889
"57",23.33333333,75,70,40,41.66666667,65.55555556,66.66666667,-30,48.88888889,-39.44444444,-58.88888889,-31.11111111,26.11111111,64.44444444,-56.66666667,-47.77777778,-38.88888889,-66.66666667,60.55555556,26.66666667
"58",53.33333333,-37.77777778,-46.11111111,-25,64.44444444,-66.66666667,45.55555556,47.77777778,-35.55555556,-27.77777778,-49.44444444,-55.55555556,-56.66666667,54.44444444,20,-35.55555556,46.66666667,-39.44444444,57.22222222,-66.66666667
"59",38.33333333,-44.44444444,-40.55555556,65.55555556,-52.77777778,44.44444444,43.33333333,74.44444444,62.22222222,50,-73.33333333,-66.11111111,32.77777778,55.55555556,-51.11111111,-64.44444444,-66.11111111,55.55555556,-54.44444444,-58.88888889
"60",-23.33333333,21.66666667,-26.66666667,-68.88888889,-71.11111111,-65.55555556,41.11111111,37.22222222,-21.11111111,-22.77777778,41.11111111,41.66666667,65.55555556,20.55555556,55,-65.55555556,71.11111111,40,25,57.22222222
