"","ID","coeff (Intercept)","coeff distance","Std. Error (Intercept)","Std. Error distance","P-value (Intercept)","P-value distance","R-squared"
"1","c_distance_.21486","8.12294543078391","0.0356938738400321","2.5777474936356","0.0538540984749228","0.0019081449122336","0.508323386064202","0.00246183740133759"
"2","c_distance_.21589","10.5068003079567","-0.0314637148490639","2.57046913690271","0.0505331351935096","6.59040366196156e-05","0.534321035019894","0.00217321484477361"
"3","c_distance_.22223","6.04198057477645","0.0702494370301617","1.78757149257882","0.0347281954504296","0.000890798159198887","0.044586413787836","0.0224714304590526"
"4","c_distance_.66943","6.13830103632943","0.0956616900272756","2.90005896022062","0.0577755501502432","0.0356825263810529","0.0995349771193562","0.0151680601383193"
"5","c_distance_.67084","7.88289281837108","-0.0126157929084542","1.68925626968738","0.0340094221623804","6.0051165310659e-06","0.711115928598175","0.000772458204220896"
"6","c_distance_.67246","9.85293018577943","0.122964767949964","2.86323996717184","0.0584058044641734","0.00072170676820085","0.0366637883297545","0.0242966917586506"
"7","c_distance_.67312","11.5976580796027","-0.00901752498481323","2.68570677932482","0.0535952953441694","2.60704101004398e-05","0.866575918799921","0.000159012880686699"
"8","c_distance_.67429","8.34554863153777","0.02337136019192","1.91278604789112","0.0376205280364913","2.16872943565509e-05","0.53523676567846","0.00216350341798952"
"9","c_distance_.67501","11.2515858185961","0.00299794883931395","2.08356890859038","0.0414030988160332","2.10892299825664e-07","0.942357876365395","2.94543840951749e-05"
"10","c_distance_.67561","10.0096632279074","0.0638821512437868","2.64657330185083","0.054539093996559","0.000212139509806175","0.243039995289092","0.00764871818395825"
"11","c_distance_.68857","3.66427520326011","0.14579433501063","2.17347378390405","0.0441964978734177","0.0935657432047257","0.00117275993721915","0.0576122971842145"
"12","c_distance_.68929","11.7945884012007","0.189537653176412","4.58416210573075","0.0930158721444276","0.0109002369137562","0.0430609691429859","0.0227951515404591"
"13","c_distance_.68998","23.2548671148636","-0.0623381701945747","5.78310194794975","0.111593506795523","8.54391735674299e-05","0.577124321838807","0.00175004633051141"
"14","c_distance_.69190","3.43898198174763","0.110453380099062","2.35370224712593","0.0471111377550954","0.145752428355265","0.0201540785697551","0.0299558959837573"
"15","c_distance_.69214","3.1737016924627","0.12357417711473","2.14498282551918","0.0429842933019358","0.140749516239957","0.00453493152127","0.0443715832781101"
"16","c_distance_.69364","11.0715845957574","0.0148240416050948","3.00788431122701","0.0611967144456853","0.000307950440971807","0.808876242839541","0.000329544367235232"
"17","c_distance_.69700","11.3011918770185","0.00908102691800563","2.27545921667268","0.0436839884743471","1.58949018076927e-06","0.835560330785335","0.000242716853058611"
"18","c_distance_.69757","7.92002260837336","0.0632648048999981","2.34399502144558","0.0467271968949421","0.000894266440785651","0.177478956833517","0.0101933108917839"
