"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14"
"63",0.38,0.067857143,,0.175,0.342622951,0.3808,0.177142857,0.07804878,0.233333333,,0.252941176,,,,0.327710843
"64",0.047540984,0.353719008,,0.056451613,0.1671875,0.052631579,0.296875,0.125,0.057142857,,0.367567568,,,,0.192125984
"65",0.083636364,0.169230769,,0.301204819,0.013913043,0.188,0.092913386,0.149230769,0.2,,0.074418605,,,,0.044444444
"66",0.243636364,0.038636364,,0.007692308,0.069811321,0.063636364,0.025,0.065384615,0.19,,0.1072,,,,0.077272727
"67",0.133858268,0.08,,0.103773585,0.17,0.0512,0.1,0.093129771,0.088311688,,0.089655172,,,,0.757692308
"68",0.051948052,0.251485149,,0.032075472,0.130578512,0.04,0.238461538,0.294117647,0.3125,,0.07394958,,,,0.627586207
"69",0.024615385,0.386363636,,0.224390244,0.1,0.090322581,0.153125,0.342372881,0.014285714,,0.364516129,,,,0.366197183
"70",0.028571429,0.259813084,,0.123684211,0.101492537,0.146551724,0.00625,0.177142857,0.314285714,,0.065306122,,,,0.228235294
"71",0.048351648,0.206299213,,0.355555556,0.066666667,0.073267327,0.257731959,0.127272727,0.228571429,,0.1088,,,,0.007874016
"72",0.013333333,0.246153846,,0.1,0.193103448,0.108411215,0.098305085,0.172580645,0.393984962,,0.233663366,,,,0.268131868
"73",0.118918919,0.072340426,,0.2375,0.632653061,0.068965517,0.387234043,0.125,0.24,,0.003539823,,,,0.257731959
"74",0.135064935,0.248818898,,0.100970874,0.271559633,0.338461538,0.485714286,0.248695652,0.015384615,,0.154198473,,,,0.074626866
"75",0.195744681,0.434285714,,0.165853659,0.283185841,0.05,0.03255814,0.095652174,0.1,,0.284090909,,,,0.185365854
"76",,0.057142857,,0.189830508,0.590697674,0.047761194,0.196428571,0.342307692,0.135384615,,0.022857143,,,,0.0265625
"77",,0.065116279,,0.008,0.152631579,0.19,0.062857143,0.232352941,0.330232558,,0.071875,,,,0.077165354
"78",,0.129508197,,0.12173913,0.3125,0.172093023,0.013333333,0.330232558,0.060869565,,0.236363636,,,,0.150943396
"79",,0.136065574,,0.164705882,0.231578947,0.27027027,0.4,2.073076923,0.257142857,,0.101492537,,,,0.481538462
"80",,0.037931034,,0.302631579,0.069662921,0.251327434,0.050549451,0.274336283,0.213953488,,0.070967742,,,,0.07
"81",,0.145454545,,0.05,0.4,0.073394495,0.022413793,0.384210526,0.242105263,,0.092857143,,,,0.196923077
"82",,0.204210526,,0.057142857,0.542857143,0.045454545,0.216129032,0.2575,0.407894737,,0.003278689,,,,0.133333333
"83",,0.001612903,,0.088607595,0.052542373,0.274626866,0.228571429,0.1,0.33125,,0.112676056,,,,0.05
"84",,0.125,,0.125,0.341818182,0.038834951,0.009756098,0.0125,0.251327434,,0.07032967,,,,0.162790698
"85",,0.153846154,,0.048101266,0.145454545,0.286206897,0.076315789,0.075609756,0.136842105,,0.210344828,,,,0.26875
"86",,0.038167939,,0.085245902,0.252173913,0.126470588,0.034146341,0.239344262,0.416216216,,0.248648649,,,,0.581395349
"87",,0.07027027,,0.127272727,0.225531915,0.034042553,0.082692308,0.406382979,0.044274809,,0.273170732,,,,0.15
"88",,0.171428571,,0.048076923,0.759090909,0.036842105,0.01,0.021621622,0.113846154,,0.178181818,,,,0.192771084
"89",,0.006779661,,0.008,0.169072165,0.337142857,0.076470588,0.118367347,0.311111111,,0.090721649,,,,0.036619718
"90",,0.228571429,,0.060869565,0.171084337,0.1,0.339240506,0.203846154,0.154545455,,0.022727273,,,,0.136
