"","distance_ 21486","distance_ 21589","distance_ 22223","distance_ 66943","distance_ 67084","distance_ 67246","distance_ 67312","distance_ 67429","distance_ 67501","distance_ 67561","distance_ 68857","distance_ 68929","distance_ 68998","distance_ 69190","distance_ 69214","distance_ 69364","distance_ 69700","distance_ 69757"
"101",21.11111111,34.44444444,25.55555556,24.44444444,30.55555556,57.77777778,66.66666667,26.66666667,22.77777778,45,20,48.33333333,56.66666667,48.88888889,53.33333333,60,41.11111111,22.77777778
"102",67.22222222,68.88888889,49.44444444,46.66666667,39.44444444,31.66666667,22.22222222,58.88888889,40.55555556,26.66666667,45.55555556,55.55555556,62.77777778,47.22222222,23.33333333,41.11111111,62.22222222,47.22222222
"103",60.55555556,53.88888889,48.88888889,66.11111111,47.77777778,31.11111111,26.66666667,58.33333333,65,55,58.88888889,60,49.44444444,67.22222222,38.33333333,23.33333333,71.66666667,38.33333333
"104",72.22222222,45,30.55555556,60.55555556,25,23.88888889,48.88888889,54.44444444,27.77777778,29.44444444,66.11111111,43.88888889,48.33333333,34.44444444,23.88888889,28.88888889,41.66666667,37.22222222
"105",32.77777778,70.55555556,63.88888889,34.44444444,42.22222222,63.33333333,47.77777778,63.88888889,72.77777778,42.77777778,51.66666667,58.88888889,22.22222222,75,36.11111111,72.77777778,37.77777778,27.77777778
"106",66.66666667,46.11111111,23.33333333,40.55555556,46.11111111,31.66666667,73.88888889,36.66666667,56.11111111,62.77777778,59.44444444,73.88888889,62.77777778,26.66666667,28.88888889,50.55555556,60,46.11111111
"107",25,29.44444444,65.55555556,49.44444444,61.66666667,65,58.33333333,30,73.88888889,68.88888889,58.88888889,67.77777778,23.33333333,22.22222222,27.77777778,50.55555556,20.55555556,32.22222222
"108",48.88888889,56.66666667,51.66666667,65.55555556,65,34.44444444,63.88888889,38.33333333,41.66666667,55.55555556,20.55555556,44.44444444,32.77777778,53.33333333,62.77777778,57.77777778,45.55555556,67.22222222
"109",72.22222222,42.77777778,46.66666667,25,50,21.11111111,30,58.33333333,47.77777778,53.88888889,28.88888889,33.33333333,52.22222222,28.33333333,71.66666667,58.88888889,46.66666667,35.55555556
"110",25,53.33333333,25,67.22222222,75,71.11111111,67.22222222,51.66666667,41.11111111,33.33333333,41.66666667,63.33333333,51.66666667,57.77777778,58.33333333,55,40,48.88888889
"111",48.88888889,44.44444444,70,40.55555556,36.66666667,54.44444444,43.88888889,47.22222222,71.11111111,54.44444444,61.66666667,43.33333333,31.11111111,35.55555556,64.44444444,20,72.77777778,44.44444444
"112",27.77777778,61.66666667,33.33333333,29.44444444,33.33333333,34.44444444,61.66666667,57.77777778,36.11111111,72.22222222,41.11111111,63.88888889,61.66666667,55.55555556,63.88888889,41.66666667,63.33333333,57.22222222
"113",73.88888889,51.66666667,51.66666667,41.11111111,72.22222222,27.77777778,55,47.77777778,32.77777778,22.22222222,25,48.33333333,48.33333333,73.88888889,53.33333333,63.33333333,46.66666667,33.33333333
"114",30,59.44444444,72.22222222,26.11111111,58.33333333,29.44444444,58.33333333,32.22222222,71.66666667,72.22222222,25,38.88888889,65.55555556,41.66666667,23.88888889,53.33333333,25,55
"115",27.22222222,51.66666667,63.88888889,44.44444444,41.11111111,42.77777778,54.44444444,61.66666667,43.33333333,63.33333333,57.77777778,36.66666667,50,45.55555556,20,57.22222222,73.33333333,75
"116",26.66666667,48.33333333,65,41.66666667,62.77777778,68.88888889,51.66666667,31.66666667,43.88888889,65.55555556,35,23.88888889,22.77777778,26.66666667,53.88888889,20.55555556,51.11111111,23.33333333
"117",72.77777778,47.77777778,36.66666667,24.44444444,51.66666667,33.88888889,20,32.22222222,67.77777778,32.22222222,30,23.88888889,55.55555556,58.33333333,67.22222222,25,55,58.33333333
"118",58.33333333,66.66666667,56.66666667,63.33333333,61.11111111,66.11111111,73.33333333,33.33333333,57.77777778,45.55555556,48.88888889,33.88888889,48.88888889,62.77777778,25.55555556,50,59.44444444,64.44444444
"119",27.77777778,68.33333333,21.66666667,23.33333333,57.22222222,41.66666667,20,34.44444444,24.44444444,47.22222222,35.55555556,67.22222222,23.88888889,27.22222222,52.77777778,61.66666667,39.44444444,51.66666667
"120",56.11111111,38.33333333,45,22.22222222,25,70,40.55555556,37.77777778,48.33333333,37.22222222,51.11111111,58.88888889,59.44444444,71.11111111,69.44444444,45,62.22222222,53.33333333
"121",38.33333333,67.22222222,39.44444444,46.11111111,36.66666667,68.33333333,40.55555556,63.33333333,61.11111111,62.77777778,68.33333333,33.33333333,73.33333333,63.33333333,65.55555556,20.55555556,34.44444444,40.55555556
"122",56.11111111,56.66666667,70.55555556,47.22222222,38.88888889,62.22222222,33.33333333,68.88888889,46.66666667,60.55555556,37.22222222,60,46.11111111,57.77777778,28.88888889,35.55555556,56.11111111,22.22222222
"123",50.55555556,60,62.77777778,47.22222222,54.44444444,36.66666667,48.33333333,73.33333333,67.77777778,28.33333333,74.44444444,38.88888889,46.11111111,53.33333333,67.77777778,51.11111111,41.11111111,20
"124",63.33333333,33.33333333,32.77777778,35,33.33333333,61.11111111,60,48.33333333,45.55555556,55,35,55,51.11111111,40,46.11111111,40,61.11111111,68.88888889
"125",68.33333333,44.44444444,52.22222222,73.88888889,60,38.33333333,28.33333333,53.88888889,66.66666667,43.33333333,58.33333333,67.77777778,31.66666667,25,46.66666667,40,48.88888889,20.55555556
"126",61.11111111,39.44444444,26.11111111,68.88888889,47.77777778,40.55555556,64.44444444,66.66666667,21.66666667,54.44444444,31.11111111,34.44444444,52.77777778,46.66666667,49.44444444,28.33333333,35.55555556,72.22222222
"127",38.88888889,65.55555556,36.66666667,56.66666667,46.66666667,28.33333333,35,48.33333333,35.55555556,48.88888889,73.88888889,73.88888889,50.55555556,40,66.66666667,31.66666667,75,30.55555556
"128",58.33333333,61.11111111,70.55555556,33.33333333,37.22222222,25,72.22222222,28.88888889,63.88888889,59.44444444,64.44444444,65.55555556,58.88888889,28.88888889,67.22222222,59.44444444,33.88888889,24.44444444
"129",49.44444444,66.66666667,22.22222222,51.11111111,56.11111111,59.44444444,46.66666667,33.33333333,63.88888889,20.55555556,26.11111111,36.11111111,37.77777778,48.33333333,52.22222222,35.55555556,75,70.55555556
"130",31.66666667,72.77777778,59.44444444,60.55555556,37.22222222,40.55555556,71.66666667,52.77777778,73.88888889,64.44444444,72.77777778,35,38.33333333,62.22222222,21.11111111,75,68.88888889,40.55555556
"131",33.33333333,56.11111111,49.44444444,34.44444444,73.88888889,67.77777778,38.33333333,31.11111111,34.44444444,41.66666667,68.88888889,29.44444444,67.22222222,37.77777778,52.22222222,42.22222222,46.11111111,56.66666667
"132",67.22222222,42.22222222,67.77777778,55.55555556,73.33333333,32.22222222,47.77777778,20,70.55555556,53.33333333,51.66666667,33.33333333,60.55555556,58.33333333,45,52.77777778,28.88888889,54.44444444
"133",44.44444444,56.11111111,36.11111111,46.11111111,29.44444444,58.88888889,44.44444444,73.33333333,62.77777778,24.44444444,32.77777778,45.55555556,71.66666667,29.44444444,39.44444444,20,58.88888889,53.88888889
