accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,,,,,,,,,,average,logA,,,trial
20.11111111,9.111111111,7.222222222,8.888888889,12.22222222,5.666666667,1.111111111,3.333333333,,,,,,,,,,8.458333333,0.927284796,,,65
26.44444444,18.44444444,10,0.666666667,7.111111111,1.777777778,4.333333333,3.222222222,,,,,,,,,,8.999999999,0.954242509,,,66
23.22222222,4.444444444,0.777777778,4,5.555555556,6.888888889,5.444444444,3.777777778,,,,,,,,,,6.763888889,0.830196465,,,67
11.22222222,10,2.111111111,12.11111111,9.555555556,4.888888889,4.111111111,2.666666667,,,,,,,,,,7.083333333,0.85023768,,,68
0.333333333,13.88888889,10.33333333,5.555555556,3.666666667,3.333333333,6.666666667,4.888888889,,,,,,,,,,6.083333333,0.784141614,,,69
0.111111111,31,5.888888889,18.55555556,0.555555556,12.77777778,3,4.333333333,,,,,,,,,,9.527777779,0.978991619,,,70
13.55555556,9.888888889,1.444444444,1.555555556,6.777777778,10.11111111,2.222222222,1.111111111,,,,,,,,,,5.833333334,0.765916794,,,71
80.66666667,1.666666667,3.555555556,8.555555556,3,2.444444444,9.333333333,12.44444444,,,,,,,,,,15.20833333,1.182081623,,,72
32.77777778,1.444444444,1.222222222,1.111111111,3.333333333,6.888888889,4.888888889,0.444444444,,,,,,,,,,6.513888889,0.813840346,,,73
10.77777778,4.222222222,7.666666667,12.33333333,10.22222222,7.777777778,3.222222222,2.333333333,,,,,,,,,,7.319444444,0.864478119,,,74
10.66666667,9.888888889,4.111111111,0.666666667,2.666666667,5,0.111111111,5.444444444,,,,,,,,,,4.819444445,0.682996978,,,75
51.66666667,5.777777778,7.222222222,2.222222222,5.888888889,9.555555556,0.444444444,8.444444444,,,,,,,,,,11.40277778,1.057010661,,,76
10.11111111,12.44444444,5.666666667,10.88888889,6.666666667,5.111111111,0.222222222,3.111111111,,,,,,,,,,6.777777777,0.831087326,,,77
11.33333333,8.555555556,10.55555556,11.66666667,11.88888889,5,3.555555556,8.777777778,,,,,,,,,,8.916666668,0.950202532,,,78
13.22222222,5.888888889,6.555555556,2.666666667,7.555555556,5,13.55555556,14.77777778,,,,,,,,,,8.652777779,0.93715555,,,79
1.666666667,9.888888889,7.555555556,8.444444444,9.777777778,3,3.333333333,0.111111111,,,,,,,,,,5.472222222,0.738163725,,,80
3.111111111,8.222222222,0,3.666666667,4.222222222,6.333333333,6.444444444,5.555555556,,,,,,,,,,4.694444444,0.671584204,,,81
9.888888889,7.444444444,13.66666667,1.222222222,6.111111111,1.555555556,13.11111111,4.666666667,,,,,,,,,,7.208333334,0.857834861,,,82
5.666666667,1.777777778,18.11111111,19.77777778,9,13.66666667,1.444444444,6.222222222,,,,,,,,,,9.458333334,0.975814616,,,83
7.333333333,3.888888889,10.88888889,8.111111111,4.444444444,1.777777778,4.444444444,10.66666667,,,,,,,,,,6.444444445,0.809185484,,,84
12.22222222,15.66666667,16.33333333,6.333333333,11.33333333,0.666666667,4.555555556,15.33333333,,,,,,,,,,10.30555555,1.013071409,,,85
13.55555556,3.555555556,4.777777778,4.333333333,4.444444444,14.22222222,12.22222222,12,,,,,,,,,,8.638888889,0.936457888,,,86
19.11111111,22.22222222,3.222222222,3.666666667,1.111111111,26.11111111,6.222222222,6.777777778,,,,,,,,,,11.05555556,1.043580571,,,87
3.777777778,9.666666667,7.444444444,6.333333333,7.666666667,2,45.44444444,1.888888889,,,,,,,,,,10.52777778,1.022336709,,,88
6,3.222222222,6.333333333,3.666666667,8.333333333,1,4,14.88888889,,,,,,,,,,5.930555556,0.773095379,,,89
10.88888889,6.444444444,1.666666667,3.111111111,13.55555556,37,8.666666667,28.11111111,,,,,,,,,,13.68055556,1.136103734,,,90
2,17,0.777777778,15.55555556,9.111111111,41.22222222,4.666666667,4.888888889,,,,,,,,,,11.90277778,1.075648326,,,91
13.33333333,14.66666667,15.66666667,4.222222222,10.88888889,3.333333333,5.333333333,7,,,,,,,,,,9.305555556,0.968742306,,,92
1.222222222,15.88888889,12,8,8.666666667,2.222222222,8.222222222,6.111111111,,,,,,,,,,7.791666667,0.891630365,,,93
6.777777778,3.444444444,11.11111111,10.11111111,15.11111111,2,4.888888889,18.77777778,,,,,,,,,,9.027777778,0.95558086,,,94
11.22222222,42,13,18.88888889,5.666666667,0.777777778,12,0.777777778,,,,,,,,,,13.04166667,1.115333096,,,95
8.666666667,0.444444444,7.555555556,12.66666667,15.11111111,10,0.444444444,11,,,,,,,,,,8.236111111,0.915722197,,,96
14.88888889,0.444444444,8.444444444,1.555555556,11.55555556,3.444444444,8.111111111,13.33333333,,,,,,,,,,7.722222222,0.887742295,,,97
5.444444444,5.444444444,5.555555556,1.333333333,4.111111111,7.777777778,16.77777778,0.666666667,,,,,,,,,,5.888888889,0.77003336,,,98
5.888888889,10.55555556,3.888888889,2.666666667,8,8.666666667,14.33333333,9.111111111,,,,,,,,,,7.888888889,0.897015839,,,99
10,13.88888889,3.888888889,10.11111111,6.222222222,30.44444444,13.11111111,6.111111111,,,,,,,,,,11.72222222,1.06900995,,,100
15.44444444,1,5.333333333,5.111111111,3.666666667,2.111111111,10.66666667,18.33333333,,,,,,,,,,7.708333333,0.886960487,,,101
24,6.888888889,0.333333333,17.33333333,1.222222222,4.777777778,3.444444444,2.666666667,,,,,,,,,,7.583333333,0.879860146,,,102
11.22222222,2.444444444,10,14.33333333,1.555555556,1.888888889,28.11111111,9.333333333,,,,,,,,,,9.86111111,0.993925852,,,103
8,9.333333333,16.66666667,6.333333333,13.22222222,4,23.77777778,1.555555556,,,,,,,,,,10.36111111,1.015406331,,,104
2.222222222,17,6.555555556,9.555555556,1.666666667,5,11.11111111,9.222222222,,,,,,,,,,7.791666667,0.891630365,,,105
7.222222222,2.333333333,11.77777778,6.111111111,0.666666667,7.333333333,60.22222222,18.88888889,,,,,,,,,,14.31944444,1.155926169,,,106
1.777777778,7.444444444,5.888888889,3.444444444,7,2.444444444,11.55555556,4.222222222,,,,,,,,,,5.472222223,0.738163725,,,107
18.22222222,21.77777778,11.55555556,18.66666667,14,2.444444444,4,6.444444444,,,,,,,,,,12.13888889,1.084178936,,,108
10.77777778,39.22222222,0.888888889,0.555555556,7.555555556,12,6.777777778,1.777777778,,,,,,,,,,9.944444445,0.997580526,,,109
1.222222222,21.44444444,2.555555556,10.22222222,8.444444444,6.555555556,9.888888889,8.333333333,,,,,,,,,,8.583333333,0.933655979,,,110
14.44444444,21.11111111,9.444444444,4,1.777777778,7.555555556,0.444444444,3.444444444,,,,,,,,,,7.777777777,0.890855531,,,111
12.66666667,4.333333333,3.555555556,3,13.77777778,2,16.22222222,9.222222222,,,,,,,,,,8.097222223,0.908336058,,,112
18.88888889,3.222222222,11.66666667,1.555555556,7.888888889,4.444444444,2.444444444,7.555555556,,,,,,,,,,7.208333334,0.857834861,,,113
15.33333333,18.11111111,7.777777778,0.888888889,9.111111111,0,9.666666667,1,,,,,,,,,,7.736111111,0.888522699,,,114
6.555555556,6.111111111,4,9.888888889,9.666666667,12,15.66666667,1.555555556,,,,,,,,,,8.180555556,0.912782798,,,115
19.77777778,16.88888889,1.666666667,0.222222222,4.666666667,12.22222222,10.33333333,14.33333333,,,,,,,,,,10.01388889,1.000602768,,,116
9.777777778,9.888888889,2.111111111,22.66666667,2.333333333,0.555555556,5.555555556,7.666666667,,,,,,,,,,7.569444445,0.879064006,,,117
3.222222222,5.888888889,4.555555556,2.666666667,7.888888889,5.222222222,21.66666667,3.444444444,,,,,,,,,,6.819444445,0.833748996,,,118
2.777777778,9.777777778,18.77777778,17.33333333,3.777777778,1.555555556,6,3.777777778,,,,,,,,,,7.972222222,0.901579396,,,119
11.44444444,21.33333333,8.888888889,9.777777778,1.444444444,41.44444444,10,8.333333333,,,,,,,,,,14.08333333,1.148705459,,,120
11.77777778,6,4.444444444,3.555555556,3.666666667,26.44444444,5.555555556,6.666666667,,,,,,,,,,8.513888889,0.930127978,,,121
0.666666667,15.44444444,5.555555556,8.666666667,5.777777778,13.33333333,11.77777778,6.333333333,,,,,,,,,,8.444444444,0.926571083,,,122
3.333333333,16.77777778,4.666666667,9.888888889,12.77777778,3.444444444,1.777777778,2.444444444,,,,,,,,,,6.888888889,0.83814918,,,123
6.333333333,8.555555556,1.222222222,5.777777778,8.222222222,1.555555556,3.777777778,8,,,,,,,,,,5.430555556,0.734844261,,,124
12.44444444,25.11111111,10.88888889,1.666666667,3.333333333,1.555555556,6.666666667,0.333333333,,,,,,,,,,7.75,0.889301702,,,125
14.77777778,0.555555556,9,1.555555556,37.44444444,1.777777778,0.555555556,4.666666667,,,,,,,,,,8.791666667,0.944071214,,,126
2.111111111,7.444444444,0.111111111,8.222222222,7.888888889,3.666666667,37,8,,,,,,,,,,9.305555556,0.968742306,,,127
3.444444444,7.222222222,15.33333333,3.333333333,3.222222222,6.222222222,7,9.444444444,,,,,,,,,,6.902777777,0.839023892,,,128
5.222222222,0.222222222,9.555555556,2.666666667,1.777777778,5.555555556,2.666666667,12.88888889,,,,,,,,,,5.069444445,0.704960368,,,129
7.777777778,22.33333333,1.666666667,10.77777778,10.55555556,4.111111111,5.666666667,17.66666667,,,,,,,,,,10.06944445,1.00300551,,,130
16.88888889,4.333333333,0.555555556,8.333333333,18,0.222222222,19.77777778,12.88888889,,,,,,,,,,10.125,1.005395032,,,131
9.444444444,1.222222222,7.555555556,0.222222222,0.777777778,9.888888889,10,18.55555556,,,,,,,,,,7.208333334,0.857834861,,,132
22.77777778,7,1.333333333,17.11111111,1.777777778,2.111111111,4.666666667,0.333333333,,,,,,,,,,7.138888889,0.853630623,,,133
18.66666667,12.33333333,3.444444444,6.222222222,3.555555556,2.444444444,0.888888889,11.33333333,,,,,,,,,,7.361111111,0.866943373,,,134
24.77777778,4.111111111,7.777777778,5.222222222,4.666666667,7.666666667,6,2,,,,,,,,,,7.777777778,0.890855531,,,135
5.444444444,19,1.555555556,2.333333333,9.222222222,5.222222222,1.888888889,16.66666667,,,,,,,,,,7.666666667,0.884606581,,,136
10.11111111,2.222222222,11.55555556,2.222222222,2.222222222,9.777777778,0.666666667,2.666666667,,,,,,,,,,5.180555556,0.714376335,,,137
6.888888889,17.66666667,7.555555556,1,6.666666667,5.222222222,7.444444444,11.22222222,,,,,,,,,,7.958333334,0.900822126,,,138
22.44444444,5.222222222,7.888888889,6.333333333,2.222222222,4.555555556,9.666666667,8.333333333,,,,,,,,,,8.333333333,0.920818754,,,139
10.66666667,1.666666667,10.44444444,1.777777778,2.888888889,6.444444444,9.555555556,14.77777778,,,,,,,,,,7.277777778,0.861998791,,,140
15.77777778,5.444444444,2,10.66666667,3.777777778,5.888888889,9,11.55555556,,,,,,,,,,8.01388889,0.903843317,,,141
4.666666667,17.44444444,0.666666667,0.888888889,21.55555556,3.444444444,7.666666667,3.555555556,,,,,,,,,,7.486111111,0.874256269,,,142
6.222222222,13.11111111,1.666666667,2.666666667,3.222222222,5.888888889,60,0.222222222,,,,,,,,,,11.625,1.065392962,,,143
7.444444444,3,2.444444444,5.222222222,16.44444444,2.777777778,18.22222222,1.222222222,,,,,,,,,,7.097222221,0.851088404,,,144
9.888888889,6,6.888888889,2.444444444,17.55555556,8.888888889,11.55555556,0,,,,,,,,,,7.902777779,0.89777977,,,145
2,7.777777778,1.888888889,15.77777778,11.33333333,12.77777778,8.777777778,5.111111111,,,,,,,,,,8.180555556,0.912782798,,,146
41.66666667,5.333333333,12.11111111,11.22222222,4.777777778,11.11111111,6.444444444,16.11111111,,,,,,,,,,13.59722222,1.133450195,,,147
19.44444444,19.88888889,6.666666667,4.777777778,3.888888889,4.222222222,12.66666667,19.11111111,,,,,,,,,,11.33333333,1.054357662,,,148
4,59.44444444,2.333333333,6.555555556,0.444444444,5.333333333,15.44444444,4.222222222,,,,,,,,,,12.22222222,1.087150176,,,149
14.44444444,4.444444444,0.222222222,2.111111111,0.888888889,17,1.333333333,51.66666667,,,,,,,,,,11.51388889,1.061222034,,,150
