"dataTT","ï..consentMouse1.x","consentMouse1.y","consentMouse1.leftButton","consentMouse1.midButton","consentMouse1.rightButton","consentMouse1.clicked_name","consent_Mouse.x","consent_Mouse.y","consent_Mouse.leftButton","consent_Mouse.midButton","consent_Mouse.rightButton","consent_Mouse.clicked_name","startMouse.x","startMouse.y","startMouse.leftButton","startMouse.midButton","startMouse.rightButton","startMouse_2.x","startMouse_2.y","startMouse_2.leftButton","startMouse_2.midButton","startMouse_2.rightButton","start_distance","fixedOri","minimalDistance","maxOri","this_ori","accuracy","presented_accuracy","presented_this_ori","submitMouse.x","submitMouse.y","submitMouse.leftButton","submitMouse.midButton","submitMouse.rightButton","submitMouse.time","submitMouse.clicked_name","pauseMouse.x","pauseMouse.y","pauseMouse.leftButton","pauseMouse.midButton","pauseMouse.rightButton","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","startOri","participant","condition","nTrials","date","expName","psychopyVersion","OS","frameRate","pauseMouse.clicked_name","EndButtonMouse.x","EndButtonMouse.y","EndButtonMouse.leftButton","EndButtonMouse.midButton","EndButtonMouse.rightButton","EndButtonMouse.clicked_name"
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.88888889,-45,20,75,-39.11111111,5.888888889,5.888888889,-129.1111111,0.396666667,-0.307777778,1,0,0,0.133,"submitButton",-0.182222222,-0.391111111,0,0,0,0,10,10,29,1,45,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.77777778,57,20,75,49.22222222,7.777777778,7.777777778,-40.77777778,0.233333333,-0.273333333,1,0,0,0.299,"submitButton",-0.232222222,-0.377777778,0,0,0,0,11,11,41,1,57,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.77777778,-24,20,75,-8.222222222,15.77777778,15.77777778,-98.22222222,0.373333333,-0.291111111,1,0,0,0.016,"submitButton",-0.294444444,-0.407777778,0,0,0,0,12,12,8,1,24,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.33333333,-23,20,75,-11.66666667,11.33333333,11.33333333,-101.6666667,0.387777778,-0.304444444,1,0,0,0.049,"submitButton",-0.251111111,-0.404444444,0,0,0,0,13,13,7,1,23,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-66.11111111,54,20,75,36.88888889,17.11111111,17.11111111,-53.11111111,0.215555556,-0.312222222,1,0,0,0.083,"submitButton",0.503333333,-0.386666667,1,0,0,0,14,14,38,1,54,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"pause_continueButton",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-57.77777778,71,20,75,34.22222222,36.77777778,36.77777778,-55.77777778,0.213333333,-0.301111111,1,0,0,0.017,"submitButton",0.237777778,-0.3,0,0,0,0,15,15,55,1,71,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.66666667,-17,20,75,-8.333333333,8.666666667,8.666666667,-98.33333333,0.434444444,-0.324444444,1,0,0,0.284,"submitButton",-0.311111111,-0.401111111,0,0,0,0,16,16,1,1,17,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.22222222,-20,20,75,-25.22222222,5.222222222,5.222222222,-115.2222222,0.183333333,-0.3,1,0,0,0.134,"submitButton",-0.293333333,-0.413333333,0,0,0,0,17,17,4,1,20,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36.66666667,52,20,75,42.33333333,9.666666667,9.666666667,-47.66666667,0.191111111,-0.307777778,1,0,0,0.113,"submitButton",-0.244444444,-0.422222222,0,0,0,0,18,18,36,1,52,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.22222222,-69,20,75,-28.77777778,40.22222222,40.22222222,-118.7777778,0.406666667,-0.303333333,1,0,0,0.133,"submitButton",-0.275555556,-0.407777778,0,0,0,0,19,19,53,1,69,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
