trial,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,,,,,,,,,,,,average,logA,trial
53,12.55555556,41.66666667,1,0.666666667,16.44444444,13.44444444,,,,,,,,,,,,14.2962963,1.155223541,53
54,4.777777778,15.55555556,12.11111111,8.333333333,0.777777778,6.555555556,,,,,,,,,,,,8.018518519,0.904094137,54
55,39.77777778,7.888888889,54,8.333333333,9.333333333,16.44444444,,,,,,,,,,,,22.62962963,1.354677446,55
56,1.666666667,9.111111111,36.44444444,5.777777778,9.666666667,4.333333333,,,,,,,,,,,,11.16666667,1.047923552,56
57,29.55555556,33,9.111111111,0.333333333,15.77777778,12.55555556,,,,,,,,,,,,16.72222222,1.223293991,57
58,0.333333333,12.88888889,6.888888889,5,12.33333333,4.333333333,,,,,,,,,,,,6.962962963,0.842794085,58
59,3.777777778,3,14,0.111111111,29.88888889,23,,,,,,,,,,,,12.2962963,1.08977432,59
60,7,36.11111111,1.888888889,13,81.88888889,10.22222222,,,,,,,,,,,,25.01851852,1.398261589,60
61,25,10,51.77777778,6.666666667,10.44444444,57.44444444,,,,,,,,,,,,26.88888889,1.429572857,61
62,0,84,10,3.555555556,7.222222222,7.333333333,,,,,,,,,,,,18.68518519,1.271497406,62
63,18.22222222,12,4.888888889,2,16.33333333,12.44444444,,,,,,,,,,,,10.98148148,1.040660933,63
64,3.222222222,9.555555556,12.22222222,2.444444444,18.33333333,7.888888889,,,,,,,,,,,,8.944444444,0.951553371,64
65,11.22222222,15.22222222,8.333333333,3.888888889,16.88888889,8.888888889,,,,,,,,,,,,10.74074074,1.031034234,65
66,21.33333333,10.11111111,11.55555556,0.666666667,11.88888889,7,,,,,,,,,,,,10.42592593,1.018114635,66
67,12.22222222,0.222222222,32.77777778,27.77777778,2.333333333,7.444444444,,,,,,,,,,,,13.7962963,1.139762513,67
68,15.88888889,0.777777778,25.66666667,17.22222222,14.11111111,3.111111111,,,,,,,,,,,,12.7962963,1.107084288,68
69,19.88888889,6.333333333,5.888888889,4.111111111,20.77777778,6.777777778,,,,,,,,,,,,10.62962963,1.026518133,69
70,20.33333333,10.33333333,9,25.88888889,22.33333333,24.22222222,,,,,,,,,,,,18.68518518,1.271497406,70
71,3.444444444,11.55555556,18.11111111,7.333333333,9.333333333,2.666666667,,,,,,,,,,,,8.740740741,0.941548239,71
72,10.33333333,17.44444444,64,7.222222222,0.888888889,3.333333333,,,,,,,,,,,,17.2037037,1.235621954,72
73,12.22222222,13.44444444,41.22222222,6.888888889,17.33333333,4.888888889,,,,,,,,,,,,16,1.204119983,73
74,13.77777778,1.777777778,16,14,2.888888889,2.888888889,,,,,,,,,,,,8.555555556,0.932248216,74
75,19.77777778,7.666666667,16.44444444,3.222222222,8.888888889,0.888888889,,,,,,,,,,,,9.481481481,0.976876201,75
76,1.222222222,6.888888889,29.33333333,9.333333333,9,32.11111111,,,,,,,,,,,,14.64814815,1.165782724,76
77,13.77777778,18.44444444,23.33333333,2.666666667,10.44444444,12.33333333,,,,,,,,,,,,13.5,1.130333768,77
78,10.44444444,10,6.555555556,12.66666667,2.444444444,8.888888889,,,,,,,,,,,,8.5,0.929418926,78
79,16,2.555555556,12.55555556,3.111111111,17.88888889,5.444444444,,,,,,,,,,,,9.592592594,0.981936,79
80,0,8.111111111,14.11111111,0.111111111,12,12.77777778,,,,,,,,,,,,7.851851852,0.894972097,80
81,18.66666667,5,3.444444444,20.66666667,14,0.111111111,,,,,,,,,,,,10.31481482,1.013461435,81
82,28.66666667,10.33333333,24,5.888888889,3.222222222,9.111111111,,,,,,,,,,,,13.53703704,1.131523617,82
83,12,5.111111111,18.55555556,7.777777778,8.111111111,0.777777778,,,,,,,,,,,,8.722222223,0.940627147,83
84,5.888888889,15.44444444,13.22222222,3,25.33333333,12.22222222,,,,,,,,,,,,12.51851852,1.097552936,84
85,32,12.77777778,9,33,8.222222222,10.33333333,,,,,,,,,,,,17.55555556,1.244414578,85
86,10.33333333,22,4.222222222,18.11111111,0.333333333,5.666666667,,,,,,,,,,,,10.11111111,1.004798883,86
87,9,14.22222222,11.11111111,10.88888889,19,17.11111111,,,,,,,,,,,,13.55555556,1.132117321,87
88,10.66666667,0.555555556,8.666666667,2,19.77777778,2.888888889,,,,,,,,,,,,7.425925927,0.870750613,88
89,12.33333333,17.11111111,1.222222222,8.888888889,21.77777778,9.666666667,,,,,,,,,,,,11.83333333,1.073107098,89
90,2.222222222,14.11111111,8.888888889,5.333333333,13.44444444,0.666666667,,,,,,,,,,,,7.444444444,0.871832293,90
91,2.777777778,13,10.33333333,2.444444444,7.555555556,12.77777778,,,,,,,,,,,,8.148148148,0.911058917,91
92,10.11111111,1.111111111,53.33333333,2.777777778,3.888888889,5.888888889,,,,,,,,,,,,12.85185185,1.108965711,92
93,15.33333333,1.777777778,90,1.111111111,1.777777778,3.777777778,,,,,,,,,,,,18.96296296,1.277906197,93
94,0.333333333,2.333333333,12.77777778,4.666666667,10.33333333,10.88888889,,,,,,,,,,,,6.888888889,0.83814918,94
95,6.777777778,13.33333333,6.777777778,1.666666667,14.22222222,9,,,,,,,,,,,,8.629629629,0.935992157,95
96,4.888888889,11,39.33333333,10.55555556,0.888888889,0.111111111,,,,,,,,,,,,11.12962963,1.046480712,96
97,17.11111111,16.66666667,9.555555556,6.888888889,2,11,,,,,,,,,,,,10.53703704,1.022718507,97
98,21.11111111,30,9.111111111,7.777777778,11.22222222,2.222222222,,,,,,,,,,,,13.57407407,1.132710215,98
99,25.55555556,7.666666667,17,6.333333333,8.555555556,3.888888889,,,,,,,,,,,,11.5,1.06069784,99
100,3.555555556,14.33333333,22.22222222,9,13.55555556,13.77777778,,,,,,,,,,,,12.74074074,1.105194678,100
101,1.555555556,19.66666667,7,20,6.333333333,2.333333333,,,,,,,,,,,,9.481481482,0.976876201,101
102,26.11111111,7.777777778,4.777777778,11.33333333,4.444444444,10.22222222,,,,,,,,,,,,10.77777778,1.032529225,102
103,24.88888889,25.33333333,12.55555556,17.44444444,27.55555556,3.888888889,,,,,,,,,,,,18.61111111,1.269772302,103
104,15.44444444,4.111111111,13.66666667,5.333333333,8.555555556,12.77777778,,,,,,,,,,,,9.981481482,0.999195005,104
105,5.333333333,14.44444444,9.222222222,1.444444444,12.77777778,8.444444444,,,,,,,,,,,,8.611111111,0.935059193,105
106,5.777777778,73.66666667,5.111111111,1.888888889,9.333333333,3.888888889,,,,,,,,,,,,16.61111111,1.220398683,106
107,15.88888889,9.666666667,7,3.888888889,9.666666667,12,,,,,,,,,,,,9.685185186,0.986107929,107
108,17.11111111,4.666666667,6.111111111,5.111111111,2.222222222,1.666666667,,,,,,,,,,,,6.148148148,0.788744324,108
109,8.555555556,1,12.66666667,0.777777778,9.222222222,9.333333333,,,,,,,,,,,,6.925925927,0.840477842,109
110,6,4,4.333333333,6,16.55555556,15.55555556,,,,,,,,,,,,8.740740742,0.941548239,110
111,8.333333333,0.444444444,5.888888889,16.66666667,3.333333333,1.888888889,,,,,,,,,,,,6.092592593,0.784802138,111
112,9.555555556,21.88888889,15.33333333,7.444444444,16,20.11111111,,,,,,,,,,,,15.05555556,1.177696786,112
113,13,88.11111111,12.44444444,32.44444444,22.77777778,6.333333333,,,,,,,,,,,,29.18518518,1.465162453,113
114,7.333333333,4,16,4.555555556,29.88888889,0.555555556,,,,,,,,,,,,10.38888889,1.016569101,114
115,9.444444444,10.77777778,0.444444444,8.111111111,7.888888889,8.222222222,,,,,,,,,,,,7.481481482,0.873987605,115
116,30.44444444,3.444444444,19.88888889,2.666666667,13,38.66666667,,,,,,,,,,,,18.01851852,1.25571908,116
117,20,38.22222222,6.666666667,14.11111111,3.888888889,1.888888889,,,,,,,,,,,,14.12962963,1.150130778,117
118,6.666666667,16.66666667,4.666666667,8.111111111,12.55555556,1.111111111,,,,,,,,,,,,8.296296298,0.918884254,118
119,8.666666667,1,37.33333333,1.666666667,4.333333333,16.55555556,,,,,,,,,,,,11.59259259,1.064180573,119
120,12,3.111111111,7.777777778,7.222222222,6.222222222,4.222222222,,,,,,,,,,,,6.759259259,0.829899105,120
121,26.55555556,36.22222222,69.44444444,1.333333333,10,11,,,,,,,,,,,,25.75925926,1.41093337,121
122,27.44444444,32.33333333,3.444444444,6.111111111,2.888888889,12.11111111,,,,,,,,,,,,14.05555555,1.147848016,122
123,8.111111111,8.888888889,20.55555556,1.888888889,6.777777778,24.77777778,,,,,,,,,,,,11.83333333,1.073107098,123
124,8,11.22222222,15.88888889,21.11111111,5,4.888888889,,,,,,,,,,,,11.01851852,1.042123206,124
125,27.22222222,7.111111111,4.666666667,16.77777778,11,6,,,,,,,,,,,,12.12962963,1.08384754,125
126,26.55555556,9.111111111,3.666666667,0,11.88888889,5.777777778,,,,,,,,,,,,9.500000001,0.977723605,126
127,14.77777778,8.333333333,2.888888889,0.333333333,7.111111111,7.333333333,,,,,,,,,,,,6.796296297,0.832272304,127
128,1.555555556,10.55555556,32.11111111,12.33333333,4.444444444,6.444444444,,,,,,,,,,,,11.24074074,1.050794931,128
129,84.22222222,9.555555556,4.333333333,11.44444444,6.222222222,2.666666667,,,,,,,,,,,,19.74074074,1.295363445,129
130,29,14.88888889,3.111111111,5.333333333,5.111111111,21.66666667,,,,,,,,,,,,13.18518519,1.120086234,130
131,14.44444444,3,20.33333333,13.11111111,26.77777778,6.222222222,,,,,,,,,,,,13.98148148,1.145553192,131
132,7.888888889,18.55555556,19.55555556,8.333333333,5.888888889,7.111111111,,,,,,,,,,,,11.22222222,1.050078864,132
133,21,9.777777778,3.555555556,15,8,1.222222222,,,,,,,,,,,,9.759259259,0.989416855,133
134,13.66666667,64,1.222222222,25.22222222,1.888888889,0.888888889,,,,,,,,,,,,17.81481482,1.250781312,134
135,6.111111111,2.444444444,9,1.444444444,1.444444444,2.777777778,,,,,,,,,,,,3.87037037,0.587752526,135
136,29.55555556,11.11111111,12.33333333,0.333333333,10.77777778,3,,,,,,,,,,,,11.18518519,1.048643179,136
137,15,44.11111111,29,2.222222222,7.666666667,3.111111111,,,,,,,,,,,,16.85185185,1.226647632,137
138,0.666666667,81.11111111,11.77777778,3.333333333,0.111111111,5.222222222,,,,,,,,,,,,17.03703704,1.231394068,138
139,10.22222222,3.111111111,1.111111111,75.22222222,2.111111111,11.77777778,,,,,,,,,,,,17.25925926,1.237022153,139
140,9.888888889,11.44444444,23,2.555555556,2.111111111,4.333333333,,,,,,,,,,,,8.888888888,0.948847478,140
141,16.22222222,11,14,4.222222222,6.111111111,10.33333333,,,,,,,,,,,,10.31481481,1.013461435,141
142,15.11111111,9.444444444,16.77777778,1.222222222,1.333333333,12.55555556,,,,,,,,,,,,9.407407408,0.973469952,142
143,26.77777778,7.333333333,40.55555556,1.555555556,0.222222222,18.88888889,,,,,,,,,,,,15.88888889,1.201093528,143
144,18.33333333,8.555555556,7.444444444,7,12.77777778,4.777777778,,,,,,,,,,,,9.814814815,0.99188211,144
145,8.111111111,1,10.66666667,8.444444444,13.22222222,0,,,,,,,,,,,,6.907407408,0.839315072,145
146,25.66666667,10.66666667,2.444444444,14.77777778,15.33333333,18.66666667,,,,,,,,,,,,14.59259259,1.164132458,146
147,5,14.11111111,11.44444444,4.555555556,9.444444444,4.888888889,,,,,,,,,,,,8.24074074,0.915966251,147
