"","ID","coeff (Intercept)","coeff trial","Std. Error (Intercept)","Std. Error trial","P-value (Intercept)","P-value trial","R-squared","BayesFactor","length"
"1","X66961","-1.95702593493937","-0.00127838526098523","0.289995666393379","0.0109791197294608","2.98013804616103e-08","0.907847650758318","0.000315197744825301","0.296459367585081","45"
"2","X67378","-1.73239170197971","0.0023112130581941","0.207402247527436","0.00264627506078345","7.68069565167607e-14","0.384028252877619","0.00570262285303594","0.260979331424248","135"
"3","X67765","-1.24332194098313","-0.0201119683369512","0.283479026134529","0.006481884491052","3.8172659517346e-05","0.00272615742034649","0.116515250993517","13.1289986851236","75"
"4","X68818","-0.443664674583529","-0.0143761941598063","0.282354982256287","0.00645618268629774","0.120437315170273","0.0290501311843869","0.0636024226919388","1.95784562127466","75"
"5","X69298","-1.94050286300412","-0.00063107304229261","0.172162693633239","0.00164976386041331","1.3875950585303e-22","0.702529641231337","0.000821369969889457","0.17294816599331","180"
"6","X69844","-2.06160801534571","0.00234911369823396","0.159309451943427","0.00152659656335542","1.99541049755916e-27","0.125630984110175","0.0131280528239085","0.484300906925251","180"
"7","X67684","-1.25503121257501","-0.0281484184324246","0.393306421902968","0.0221544462026738","0.00348374602678152","0.21434334026439","0.0545110593124156","0.630951015267218","30"
"8","X68812","-1.44002482611884","-0.00796775101499413","0.397134541650776","0.022370079277262","0.00113411997259274","0.724376405843143","0.00451040103013505","0.361407810826647","30"
"9","X69094","-1.43284807689449","-0.00590454796346971","0.172450453085437","0.00165252134018265","2.39203122897309e-14","0.000454106937772246","0.0669231779198128","53.334227794021","180"
"10","X69592","-1.45630277231762","-0.0295729740037638","0.343602855214848","0.0130086664180391","0.000116917839337012","0.0280593222030647","0.107291576305085","2.24001156352075","45"
"11","X69622","-1.64015275635449","-0.00693969165262699","0.204886336008769","0.00235405659524157","3.21695853502113e-13","0.0037180957213624","0.0554630544585216","8.87584862557948","150"
"12","X67120","-1.21976214409361","-0.0496805402452748","0.444251010494664","0.0168191652475889","0.00878050551497114","0.00507242887223691","0.168679976023002","8.34770216841594","45"
"13","X67360","-0.837336738740116","-0.0064893734589608","0.207600752255815","0.00264880781111967","9.21704790884176e-05","0.0155887410460288","0.0431800575748165","2.74738148181066","135"
"14","X67567","-0.802215871275475","-0.00829607585056607","0.180888793734959","0.00207833507198278","1.78606223759452e-05","0.000102924332287609","0.0971955276709217","206.754012680058","150"
"15","X67672","-1.84951488373884","-0.00300878674604702","0.248560938738262","0.00407112413923626","3.11668830622654e-11","0.461554190463959","0.00527496941142662","0.263308430871406","105"
"16","X68977","-1.58367873493339","-0.00634039783078291","0.248050721939341","0.00567179924898516","1.41010215973671e-08","0.267283168581167","0.0168304937112663","0.409069874518551","75"
"17","X69478","-1.89344179501423","-0.0028485392756954","0.1640117037908","0.00171388794650376","6.53781829732041e-23","0.0984279903255319","0.0166645528609764","0.600231209866363","165"
"18","X68932","-1.98540044057913","0.00103950526632338","0.183277114976846","0.00175626876153405","2.51460158879376e-21","0.554680087642645","0.00196425346879085","0.190168343208918","180"
"19","X67072","-1.63762646064342","-0.00380813932967939","0.171065209013106","0.00178759559846823","1.66793123442332e-17","0.0346461425743903","0.0270877646103329","1.34966393446072","165"
"20","X69610","-1.62072275365283","-0.0035902440670066","0.194193297619805","0.00186087402320816","1.90843163204639e-14","0.0552799788566044","0.0204835733241162","0.903443202464424","180"
