"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14","lp.15","lp.16","lp.17","lp.18","lp.19"
"33",0.395,0.04,0.341463415,0.686315789,0.026315789,0.286486487,,,0.298360656,0.16,0.265306122,0.01,1,0.144554455,0.443243243,0.435443038,0.073786408,0.022033898,0.310869565,0.107692308
"34",0.207594937,0.22,0.206299213,0.18372093,0.009174312,0.14084507,,,0.078571429,0.0125,0.350515464,0.005882353,0.254098361,0.261538462,0.181818182,0.323529412,0.216216216,0.376470588,0.321875,0.134246575
"35",0.044615385,0.317894737,0.113432836,0.1984375,0.234042553,0.209756098,,,0.128,0.270588235,0.030769231,0.120930233,0.057142857,0.258015267,0.217391304,0.208,0.015625,0.103225806,0.235,0.942105263
"36",0.094594595,0.1,0.033333333,0.393258427,0.2,0.122352941,,,0.139130435,0.034328358,0.28,0.039097744,0.210958904,0.228571429,0.211881188,0.111111111,0.219354839,0.215,0.269172932,0.228571429
"37",0.153846154,0.056521739,0.052542373,0.015625,0.142056075,0.007476636,,,0.18630137,0.142857143,0.132258065,0.004705882,0.169230769,0.675,0.030534351,0.541818182,0.005970149,0.190551181,0.096363636,0.223529412
"38",0.27027027,0.25,0.028571429,1.608823529,0.290909091,0.12,,,0.203278689,0.177777778,0.155384615,0.090909091,0.166315789,0.425,0.0064,0.371428571,0.143548387,0.004878049,0.104545455,0.103773585
"39",0.215,0.294117647,0.273684211,0.143529412,0.374736842,0.144554455,,,0.455045872,0.169230769,0.42826087,0.002173913,1,0.08125,0.05,0.278947368,0.083050847,0.102325581,0.25,0.209836066
"40",0.126956522,0.235820896,0.108571429,0.235294118,0.32293578,0.242857143,,,0.645070422,0.074418605,0.010769231,0.107692308,0.178640777,0.196923077,0.306024096,0.075324675,0.35,0.018181818,0.0368,0.116455696
"41",0.033333333,0.353125,0.011428571,1.87,0.022413793,0.0265625,,,0.184,0.2,0.089473684,0.058715596,0.590909091,0.265789474,0.095652174,0.008163265,0.133834586,0.120930233,0.379310345,0.092307692
"42",0.042105263,0.329090909,0.38,0.208219178,0.254545455,0.472413793,,,0.293670886,0.05,0.263636364,0.115254237,0.574545455,0.37,0.247540984,0.082706767,0.523076923,0.066666667,0.019402985,0.017391304
"43",0.135064935,0.16,0.108108108,0.359183674,0.202272727,0.068235294,,,0.04375,0.016129032,0.335384615,0.35,0.602941176,0.322077922,0.229268293,0.1,0.067256637,0.677272728,0.2375,0.08907563
"44",0.3,0.06119403,0.064788732,0.46,0.304587156,0.538053097,,,0.210958904,0.013333333,0.089473684,0.187096774,1,1.3,1.420689655,0.127272727,0.08,0.08125,0.01,0.04
"45",0.384615385,0.295121951,0.068965517,1.462385321,0.668421053,0.037209302,,,0.109677419,0.564615385,0.076785714,0.046511628,0.020618557,0.514285714,0.009756098,0.010687023,0.193877551,0.009090909,0.1,0.636363637
"46",,0.515384615,0.56097561,3.520930232,1.208403361,0.469230769,,,0.352631579,,0.366666667,,0.1,0.015384615,1.405405405,1,0.15826087,1,0.117647059,0.415
"47",,0.261538461,0.113636364,1.1,0.359322034,0.14,,,0.367567568,,0.04,,0.019512195,0.847692308,0.108928571,0.229268293,0.167924528,0.257534246,0.0625,0.178181818
"48",,0.06779661,0.215384615,0.393023256,0.45,0.228571429,,,0.494339623,,0.188,,0.52,0.224,0.11011236,0.348275862,0.042105263,0.136842105,0.024427481,0.431818182
"49",,0.006451613,0.010958904,0.228571429,0.283870968,0.155102041,,,0.214084507,,0.222727273,,0.52244898,0.329411765,0.165909091,0.113846154,0.35,0.338461538,0.215384615,0.26744186
"50",,0.112195122,0.022033898,0.134615385,0.175806452,0.532,,,0.25,,0.314285714,,0.205,1.779411765,0.040625,0.155223881,0.133834586,0.074285714,0.586,0.175
"51",,0.99338843,0.874380165,0.084210526,0.446153846,0.01980198,,,0.123076923,,0.136842105,,0.3475,0.266666667,0.147368421,0.275,0.176237624,0.125,0.4825,0.068235294
