"","X21486","X21589","X22223","X67429","X67501","X67561","X68857","X68929","X69190","X69364","X69700","X69757","X66943","X67084","X67246","X68998","X69214","X67312"
"coeff (Intercept)","0.270736482046465","0.322341255693939","0.197610436489899","0.241828368423232","0.250396387354546","0.32072516030505","0.271293561317172","0.458730023178787","0.214554208369697","0.391542964644445","0.370973936334343","0.24622555330707","0.279765652342424","0.165104725042424","0.372696231736363","0.510121852911111","0.195732918327273","0.283354763902021"
"coeff block","-0.00443560161398602","-0.0177185213195804","0.00186754888275059","-0.00396856006083915","0.00282051048904428","-0.00109994423752914","-0.00525725196247085","0.00435793175967369","-0.00327984544918415","-0.017588554","-0.0162981629993007","0.00145579134335665","-0.00611777988857808","0.00200505657039626","-0.000965708915850808","-0.00553989377692307","0.000438408618881118","-0.00224400554219115"
"Std. Error (Intercept)","0.00970118872675446","0.00777032549625083","0.00786147221158732","0.00638569931960791","0.0115492743627759","0.00908065756383983","0.00994461684318068","0.0402587517543819","0.00986769387617404","0.0158669245521727","0.0088650766592818","0.0103213554769048","0.00966790174534017","0.00638186363746168","0.0154426570987441","0.0371063176947206","0.00869248713785949","0.0106710667323425"
"Std. Error block","0.00131813198390478","0.00105577933286796","0.00106816373276955","0.000867645682385376","0.00156923737464073","0.00123381840173607","0.00135120735178812","0.00547008720417781","0.00134075557871534","0.00215589051275162","0.00120452672486833","0.00140239605212902","0.00131360917375381","0.000867124515808842","0.00209824391748936","0.00504175576168864","0.00118107642669547","0.0014499124549027"
"P-value (Intercept)","6.50548289543008e-67","1.98664925839929e-93","1.85716098873752e-60","4.25878342675589e-87","7.92489353681034e-52","2.4532727585644e-82","1.73423590190831e-65","6.12830891074701e-23","5.46261182934101e-52","2.3974943615959e-59","4.86214236732897e-94","2.45952963428657e-57","3.27165635036144e-69","3.3001735256792e-62","5.0685602193617e-58","8.92327455806466e-30","5.61626305516017e-54","8.2655886885549e-64"
"P-value block","0.000937333180590886","1.63072910860136e-38","0.082123438119773","8.94199969915812e-06","0.0739709489786633","0.373866603230579","0.000141032936638482","0.426695817658852","0.0154066327345624","5.93896210778546e-14","3.81768860622002e-29","0.300643530412918","6.25069405020589e-06","0.0219053788816903","0.645901198758643","0.273338226904961","0.710934383121568","0.123474615413778"
"R-squared","0.0598111772935753","0.612748220179667","0.0168831483996506","0.105172113739303","0.0178257049317481","0.0044451257553607","0.0783800355724145","0.00355309248697251","0.0325257229595365","0.272159311775457","0.5070364836929","0.00601749368115472","0.108617421551415","0.0291619862758613","0.00118862268557045","0.00673726158346311","0.000773474706163899","0.0132781941041521"
"BayesFactor","28.1054985575445","9.44927754161942e+34","0.665314036857099","1853.18519416111","0.72069406907352","0.233795651468721","151.566176926328","0.217045108514373","2.54047127503233","96992451788.9092","5.82561041096732e+25","0.266587910852475","2573.31744106557","1.90010154404835","0.178301671187904","0.283122537785853","0.172262131285928","0.490474366777137"
