"","X21486","X21589","X22223","X67429","X67501","X67561","X68857","X68929","X69190","X69364","X69700","X69757","X66943","X67084","X67246","X68998","X69214","X67312"
"coeff (Intercept)","0.274403728460025","0.310052529579516","0.199844703853569","0.239521544860459","0.251336364550093","0.328000767861576","0.268049147523029","0.460734594742085","0.216755881999628","0.38867418205208","0.364558106919615","0.255771270128367","0.274925743360335","0.168121046696089","0.374934225451955","0.51251983982545","0.197636072340596","0.286307837636437"
"coeff trial","-0.000359101181264854","-0.00113681394986574","0.000109445308002305","-0.000259544937377696","0.000192191613074477","-0.000159394973485805","-0.000341742806209039","0.000290850661597581","-0.000259896895575995","-0.00123156705422801","-0.00109969315006327","-9.17934690369578e-07","-0.00038591889827258","0.00011068006689404","-9.40895212002425e-05","-0.00042439001618054","1.04585857392721e-05","-0.00019380231777524"
"Std. Error (Intercept)","0.0495435361508438","0.0406964110957534","0.0285722305107273","0.0291774836072183","0.037957679626367","0.0486852135235999","0.0289786344737842","0.0836182007076654","0.031527709393723","0.0500150548193303","0.0314398366592647","0.0386631335985185","0.038939039777782","0.0312549875017126","0.0487923709947007","0.0994403652944496","0.0327959022045502","0.0418886341287683"
"Std. Error trial","0.000474755208191989","0.000389976869305525","0.000273795863164257","0.000279595753163197","0.00036373273879026","0.000466530257587891","0.000277690264191743","0.00080127862017639","0.000302116994464445","0.000479273576500261","0.000301274946407658","0.000370492812322334","0.000373136707081458","0.000299503613412562","0.000467557103296822","0.000952895876957903","0.000314269561453178","0.000401401449346137"
"P-value (Intercept)","1.08057983551961e-07","1.46086802600356e-12","5.19315680538816e-11","4.37282279423762e-14","4.05510353980692e-10","2.15757444887238e-10","6.99165067777031e-17","1.2420728589503e-07","1.00890014857817e-10","5.97132661052441e-13","1.61263489565181e-23","4.19181778292217e-10","3.58587252331145e-11","2.33321878005407e-07","9.95097151228357e-13","6.73042751684731e-07","9.42048676244806e-09","1.25963241682534e-10"
"P-value trial","0.450413950145488","0.00401306580808383","0.689832254774212","0.354516085556739","0.597888992169288","0.733009394647043","0.220073139378577","0.717048122502074","0.390807060269778","0.0109991175176533","0.000344299386598832","0.998025934085839","0.302419577189476","0.712160790408182","0.840743481020486","0.656594480448031","0.973489364727151","0.62982093613747"
"R-squared","0.00320391152560139","0.0455646066058712","0.00089687278860014","0.00481777585549898","0.00156604205093826","0.000655367489546827","0.00843680191356034","0.000739659178800158","0.00414028307953239","0.0357692733555027","0.0696383991490333","3.44860913815548e-08","0.00597357158338393","0.00076662260900228","0.000227454431488374","0.00111310397827233","6.22183627646431e-06","0.00130789137784835"
"BayesFactor","0.210825007019241","7.92741995674595","0.174035283856898","0.241176817755661","0.183978950898505","0.170582197580661","0.326424072629599","0.171779435560499","0.22792847212419","3.36566955903117","68.2181251819761","0.161558689582974","0.265611269181719","0.172164210625373","0.164633819292048","0.177187236915977","0.161641576499104","0.180076252474746"
