"","X67258","X67507","X69202","X69352","X69484","X69571","X69661","X69679","X69712","X67045","X70516","X67051","X67174","X67609","X67630"
"coeff (Intercept)","0.192369339175757","0.195001522428283","0.282784510672727","0.210904300917172","0.314706210132323","0.194364341243434","0.174471973640404","0.267208429942424","0.254027060129293","0.434731726980808","0.182025703482829","0.251918822424242","0.27633421288788","1.00679696564949","0.309239599155556"
"coeff block","0.00175467569347319","-0.00315713868298368","0.0025393998965035","0.000223743432400931","-0.0124777926494172","-0.0064287529955711","0.00262770727412586","-0.00403404915011655","-0.0110084031951049","-0.00586948718251748","-7.73921188812051e-06","0.000405852388578088","-0.000573240880186503","-0.00767516467599068","-0.0128459199435898"
"Std. Error (Intercept)","0.0140119739209422","0.00776328093891084","0.0116690752746049","0.0104538684919381","0.011207018223578","0.00662931823402689","0.007317057479138","0.0151547206068126","0.00701243650295826","0.00919655912202586","0.00584792497153057","0.0128103993967911","0.0168594510217874","0.0559687579729878","0.00969986817057556"
"Std. Error block","0.0019038523528459","0.00105482216600895","0.00158551511317676","0.00142040102536672","0.00152273392269568","0.000900746974610958","0.000994192336937269","0.00205912105223661","0.000952802496683625","0.00124956632244274","0.00079457653711977","0.00174059052422477","0.00229074830403066","0.00760465671388936","0.00131795255565274"
"P-value (Intercept)","1.01113617007032e-29","2.05314607410324e-60","2.88879338277111e-58","7.29406665477233e-48","2.64301890077051e-67","4.75634164053153e-70","2.62415292585089e-57","6.61866253172722e-41","4.68059425819706e-84","1.09497744423857e-102","6.35615593615836e-74","1.70415084488741e-46","2.11567408219437e-37","6.70597929075699e-42","1.707077860846e-75"
"P-value block","0.357961343761687","0.00315461970009433","0.111011844569072","0.875012556623416","4.78117187346134e-14","2.32683406872115e-11","0.00894890157473423","0.0516616044883162","2.12831868458007e-23","5.25484810611813e-06","0.992239598416172","0.815897808655891","0.802688983132759","0.314214347317636","2.94853921347286e-18"
"R-squared","0.00474940966448263","0.0479163710435725","0.0142065088737576","0.00013937924253423","0.273905442774746","0.222499297041786","0.0377637283788817","0.0211073484121498","0.428549784451096","0.110284131543694","5.32968776607035e-07","0.000305344675073394","0.000351679294398746","0.00569007445085168","0.34798914289283"
"BayesFactor","0.239805155367665","9.75367668647329","0.530460616590582","0.163435887805797","119459538434.389","320212177.782114","4.00352994233517","0.952764300480898","1.39227522273135e+20","3017.82490457172","0.161565365751682","0.165700655612774","0.166338614791036","0.259394335669164","1386003952923640"
