"","X67060","X67267","X67417","X68965","X68995","X69160","X69175","X69850","X69862","X69199","X69220","X69358","X69058","X69076","X69727","X69853","X67486","X67759"
"coeff (Intercept)","0.624829199384849","0.275123535256566","0.518229914466666","0.364183875470707","0.348668047826262","0.406477890966666","0.164475610240404","0.387109565354545","0.249447244630303","0.331702549287879","0.233556668589899","0.254705418267677","0.294598931188889","0.37498465330909","0.565205130441414","0.347962176458586","0.215854242014141","0.217645990609091"
"coeff block","-0.0314023859207459","0.00425072121608391","-0.00906617917435897","-0.00907928724335664","-0.00297334888694638","-0.0126835347666666","0.00404534721515151","0.0214219499428904","-0.00927870663799534","-0.0159107351135198","0.0092607443109557","-0.00699216948391608","0.0049662227948718","-0.0061714971244755","-0.0262946501790209","0.00566357267645686","-0.00578109233123543","-0.00468169612703963"
"Std. Error (Intercept)","0.0323109489799889","0.006389676197397","0.0248285458372583","0.0084535021934119","0.0104025744601168","0.0109159870565493","0.00491549740469283","0.0235327804257917","0.00689431954264539","0.00933816922920394","0.012824749848443","0.0102335930120484","0.0187782559837201","0.0137022463811422","0.0342252346137646","0.0191437766796104","0.0134572173345416","0.0095597355507447"
"Std. Error block","0.00439019345777511","0.000868186033671959","0.00337353506912808","0.00114860476700295","0.00141343153886033","0.00148319057389806","0.000667884578727726","0.00319747521908297","0.000936753562102998","0.001268807347102","0.00174254036664496","0.00139047148131901","0.00255146255899856","0.00186176866722698","0.00465029365696516","0.00260112704173389","0.00182847577576728","0.00129891228199246"
"P-value (Intercept)","1.30990903928817e-45","4.77459715245338e-96","1.02723542144774e-49","4.37244619024736e-96","8.16326617922335e-79","6.13460510360359e-86","1.05979984570168e-78","1.43405814151367e-37","5.65511348147495e-84","1.00972314987165e-82","1.61401997980637e-42","7.32980913745867e-60","2.15372014480226e-35","1.10127177560887e-65","9.40156806283103e-38","2.01980478074857e-42","2.11528416719596e-36","1.30623259252066e-54"
"P-value block","2.12895908534476e-11","2.18299611438473e-06","0.00788295360160352","2.71030720832341e-13","0.0368151110977187","5.43214589104064e-15","8.04406221668666e-09","2.64944610140367e-10","1.06476266406329e-18","2.93387608359082e-26","3.17116761107807e-07","1.19876140544163e-06","0.0531783116650756","0.00111105540627874","6.12687915979274e-08","0.0307702170128283","0.00184410106581744","0.000406089744966344"
"R-squared","0.223261087971509","0.118688608058696","0.0389928305566406","0.259823121412912","0.0242581194962393","0.291199538906648","0.170884870249632","0.201382765887408","0.355335150044214","0.469052066700128","0.136944559748652","0.124391245000509","0.0208404672900498","0.0581426417837029","0.152269179665152","0.0259431164471828","0.0531730993585022","0.0680195269841105"
"BayesFactor","348507002.003273","6775.2850079948","4.45645294621927","22591327086.8782","1.24703563574006","968159226166.028","1260781.24864778","31713019.794517","3721509210931257","8.68899223247751e+22","40476.5888383949","11787.9321700833","0.931336105459292","24.2041509852576","187614.443285992","1.44075790531015","15.5388035450092","58.900949786517"
