"","X66961","X67378","X67765","X68818","X69298","X69844","X67684","X68812","X69094","X69592","X69622","X67120","X67360","X67567","X67672","X68977","X69478","X68932","X67072","X69610"
"coeff (Intercept)","0.213095621517172","0.396901145888889","0.290306628118182","0.67398177080505","0.233624205839393","0.206478219905051","0.275580793096969","0.383309017942424","0.307452162525253","0.206714222342424","0.323577003352525","0.26431071490202","0.598285966742424","0.695213397890909","0.268854319488888","0.27285293839697","0.248964053911111","0.316715938745455","0.268379559664646","0.311536140178787"
"coeff block","0.00482527663752914","-0.00453441375384616","-0.00140829394382286","0.00553932078298369","-0.00364564410093239","0.00695970671118879","0.00817422347995339","-0.00279277546550115","-0.0127551449876457","0.00240857982680652","-0.0175060278892774","-0.0132347200447553","-0.0227731548424242","-0.0442694548370629","-0.00314465749743589","-0.0028300117944056","-0.0101835614615385","-0.00385229956083917","-0.00642727040652679","-0.00656708573006992"
"Std. Error (Intercept)","0.010363283626495","0.04073693849742","0.0133800877058401","0.036791702565809","0.0049666193691482","0.0121477446631487","0.00650129044578782","0.0161990887292361","0.00926284272128651","0.0120923085810673","0.00679251834828759","0.0165100805047174","0.0204721218639947","0.0251677228434153","0.00824670626260741","0.0128255583663147","0.00818303209314962","0.0207433893425611","0.00697587696697129","0.0136244296521571"
"Std. Error block","0.00140809296583284","0.00553505998823874","0.00181799592289958","0.00499900798348132","0.000674830685882907","0.0016505534758483","0.000883351423688307","0.00220102273706215","0.00125857249010474","0.00164302119553586","0.000922921503572618","0.00224327819848439","0.00278161361121728","0.00341962014927786","0.00112050673301841","0.00174265022259111","0.00111185511704898","0.0028184716035482","0.000947835033926382","0.00185119545581473"
"P-value (Intercept)","6.77037308437455e-49","3.02227336510588e-18","7.19422962183045e-52","8.13743890526808e-43","2.46652455142328e-102","4.02537743949377e-39","6.05752956254388e-95","7.4210637790314e-57","3.65395468004292e-78","2.13725328562632e-39","3.0648076647909e-103","2.59409636622942e-36","7.65784110164216e-70","2.86595619147929e-66","5.69675456446986e-77","9.05947921392341e-51","1.94710371772242e-72","3.48034019011842e-34","3.48101943338115e-88","7.33616083983015e-55"
"P-value block","0.000758462680453996","0.413758264054893","0.439579665740881","0.269320563275165","2.08723328448149e-07","3.94112789858776e-05","6.82753227677507e-17","0.2061500523526","2.41397182099772e-19","0.144427387610788","1.3343394448794e-44","1.79634891274926e-08","4.99663778320005e-14","1.93192718685331e-27","0.0055669372050089","0.106151722271601","1.23979778746774e-16","0.173410428313202","1.69613487491541e-10","0.000497296847303416"
"R-squared","0.0618893390945622","0.00375615302838864","0.0033598446124531","0.00685077770613189","0.140864220663599","0.0908144962317639","0.324811310401854","0.00896380698221077","0.365894481957614","0.0119289964475948","0.669014060292624","0.163560294859596","0.273550823267212","0.484941395219208","0.0423734604155092","0.0145998588352702","0.320321710491802","0.0103862434147565","0.205293196993479","0.0660317675742873"
"BayesFactor","33.8705615964855","0.220747728702047","0.213580011596408","0.285823789419129","59744.3415959694","479.246636322185","66139923325377.3","0.341174285064472","15712467103857362","0.437746010449431","9.50426553994887e+40","592473.305419385","114505470080.073","1.24573083610612e+24","5.98962237980689","0.548388070428583","37151631289619.7","0.38445901017737","48419597.7958181","49.2033199437286"
