"","X68803","X68851","X69100","X69241","X69247","X69637","X69859","X67243","X69169","X69745","X70552","X69139","X69016","X67042","X67708","X68926","X69670","X69739"
"coeff (Intercept)","-1.41273066261674","-1.76025021659823","-1.90338229227181","-2.05105331430734","-0.425028477167322","-2.09300450519862","-0.616706277180075","-1.65499105661307","-2.35491134837794","-1.54515239385827","-1.91471165354522","-2.52238562658568","-1.64402779578864","-1.77392694046143","-1.96178170929277","-1.45302243318903","-1.94559176476392","-1.9754196103907"
"coeff trials","-0.0029078544085609","-0.00207047771802238","0.00252916760047706","0.000983105352798323","-0.0100341810270081","-0.00464770506547697","-0.00827704983787654","-0.000211818720872301","0.00175078075285659","-0.000721319939932005","-0.00221469056693246","0.00119202601006664","0.000248895013712881","-0.00162987073148689","0.000849786384739404","-0.00531073956352764","0.00175287202647259","0.000497994707499009"
"Std. Error (Intercept)","0.176147379425632","0.163400891360183","0.141596702235835","0.158585284873839","0.155476073126206","0.154064129224921","0.209118395382362","0.156039893666613","0.162843649439902","0.161714551575247","0.160450468882634","0.19685917861064","0.183444241499676","0.178703947992868","0.168340627195406","0.152917992541341","0.175115689146624","0.178487610509648"
"Std. Error trials","0.00168794745568974","0.00156580313444459","0.00135686261159475","0.0015196571699532","0.00148986288021848","0.00147633280600721","0.00200389505977637","0.00149526573917528","0.00156046331568255","0.00154964363801216","0.0015375304565857","0.0018864200577295","0.00175787026585338","0.00171244599448398","0.00161313857912752","0.00146534985238491","0.00167806119461001","0.00171037292189237"
"P-value (Intercept)","1.36128606220011e-13","3.73645972864662e-21","6.91046180902689e-29","2.09780805930519e-27","0.00689487360376012","2.64867762187403e-29","0.0036153991064729","1.11399471585471e-20","7.52247870504787e-32","1.00824600926798e-17","1.69591242807341e-24","4.70000678260765e-27","4.26863256944202e-16","9.27171841651933e-19","1.09455580987849e-23","1.412271565883e-17","4.028807963018e-22","5.34543681059384e-22"
"P-value trials","0.0866766362784207","0.187761397011129","0.0639710090235199","0.518513355254811","2.18380182647662e-10","0.00192701716219919","5.56077066795785e-05","0.887509102342342","0.263389740439182","0.642160534300821","0.151505037990507","0.528263936973472","0.887564811601655","0.342499500361646","0.59899481169468","0.00037807472201944","0.297632848369392","0.771266821332147"
"R-squared","0.0163993366290955","0.00972750627684824","0.0191455580273114","0.00234568104944084","0.203079565211639","0.0527420305627695","0.087464341894934","0.000112725703928537","0.00702224403266971","0.00121574889604884","0.0115219420876947","0.00223821353212786","0.000112613340048553","0.00506346636957263","0.00155660931788798","0.06872066045704","0.00609271276698858","0.00047603735997155"
"BayesFactor","0.638586273725745","0.36375996095323","0.806208906322541","0.196295252521016","38094685.9868798","14.9547964921586","350.806144698398","0.163075115300578","0.289953768231709","0.178703710702413","0.422996965984562","0.194548969940214","0.163073596098516","0.246172357320673","0.183834846002232","62.7665037776331","0.268268947007986","0.168063207824872"
