"","X66961","X67378","X67765","X68818","X69298","X69844","X67684","X68812","X69094","X69592","X69622","X67120","X67360","X67567","X67672","X68977","X69478","X68932","X67072","X69610"
"coeff (Intercept)","0.217065321722098","0.403335776680695","0.296974069582309","0.672826290933457","0.235286774107449","0.212047388236995","0.277981905738734","0.379132999528864","0.299619980947176","0.211713307030913","0.322412578345686","0.262546626444444","0.592876756362383","0.676207506734079","0.268929261943079","0.272590766834823","0.242717578062135","0.322769229890315","0.269799510055556","0.308000112832588"
"coeff trial","0.000302702739657603","-0.00039677701869399","-0.000174821570154429","0.000410619502331348","-0.000280212761592436","0.000438330666196489","0.000560567292573845","-0.000154442233283949","-0.000829571943001327","0.000117753416417174","-0.00124447244501065","-0.000931067313075505","-0.0015758706750908","-0.00296956425728264","-0.00022668747168534","-0.000200363592281655","-0.000662394183989218","-0.000343571693815648","-0.000477317215837937","-0.000432597015461383"
"Std. Error (Intercept)","0.0450177679540715","0.0714907639589208","0.0551972677762975","0.111479615482458","0.0256792164055478","0.0387859275322024","0.0422683006323587","0.0695356340198505","0.0282646216495039","0.043506809667181","0.0404582423353423","0.038465347091084","0.0716714975966481","0.0675916028752224","0.0404340222027416","0.0362310940225346","0.0250005608181871","0.066932575078205","0.0291209972020965","0.0525935965107636"
"Std. Error trial","0.000431386644108363","0.000685066411565452","0.000528932579115445","0.00106826303024468","0.00024607330598495","0.00037166949578258","0.000405039636362236","0.000666331210298437","0.000270848174720962","0.000416907756007239","0.000387694596617328","0.00036859750605617","0.000686798307236873","0.000647702364186411","0.000387462505107746","0.000347187583327134","0.000239570030286438","0.000641387173481721","0.000279054467314284","0.000503982674652257"
"P-value (Intercept)","3.04035911967015e-06","6.52012993979783e-08","2.31970336113987e-07","8.98666316276075e-09","1.21303942341504e-16","1.52836101263535e-07","5.17136156068968e-10","1.6411748142605e-07","1.15620898660677e-20","2.49507733083535e-06","1.84742064847377e-13","1.32704048466517e-10","2.98672957070569e-14","5.61348724736566e-19","3.45301275813055e-10","2.54003703882037e-12","3.77211432658844e-18","3.03316805214046e-06","6.36389277210694e-17","2.23822080426618e-08"
"P-value trial","0.483784549772479","0.563199708465451","0.741397543507964","0.701155250754198","0.25634313605078","0.239830342012026","0.168097034605369","0.816975151120745","0.00253277029283227","0.777930642203593","0.00157520969797857","0.012410146829386","0.0229282409110872","8.53757955009246e-06","0.559250611565538","0.564597892757703","0.00629345624940289","0.592855503135982","0.0889193213253295","0.391849760872326"
"R-squared","0.00275854222267023","0.0018810051664705","0.000613342334959093","0.000829358708410371","0.00723226720538685","0.00775335219438292","0.0106461384730848","0.00030171769298024","0.0500645565952049","0.000447973666018575","0.0547182672904564","0.0346052742138211","0.0287278837299184","0.105617912659861","0.001919293230835","0.00186757225044637","0.041179889571608","0.00160943956939249","0.016170962604791","0.00412213207103331"
"BayesFactor","0.203153442995646","0.188857156189743","0.169988463618895","0.173062863687088","0.295095151528991","0.308255027465973","0.39295112218268","0.165650822478591","11.7937433733771","0.167672440798773","17.8291133038912","3.04210274701173","1.83036937682307","1933.4422349577","0.189459060616741","0.188646445821596","5.3950832617103","0.184643419742063","0.626351363430325","0.227583882774134"
