"","X68803","X68851","X69100","X69241","X69247","X69637","X69859","X67243","X69169","X69745","X70552","X69139","X69016","X67042","X67708","X68926","X69670","X69739"
"coeff (Intercept)","-1.08448622410102","-1.3351745834206","-1.54235100224616","-1.55871672385771","-0.287842399665059","-1.63684043065481","-0.0566984066907646","-1.23151672571823","-1.82685386994233","-0.865854191019091","-1.47251044850153","-1.9303014691105","-1.11806527743823","-1.13519130186242","-1.30989176906067","-1.00408948667049","-1.69731534479136","-1.63124509240889"
"coeff block","-0.0179249605919223","-0.0390903460512913","0.0277712639130997","-0.000790215969372094","-0.108351773378525","-0.0756148496298959","-0.112472627595846","-0.0140570626355414","0.00976255928038328","-0.0466294065047068","-0.0360125831877057","0.0294115155554899","-0.00237222624524427","-0.0354170618010173","-0.0183977401766353","-0.0848072234871819","0.0614776073494298","0.041000466824056"
"Std. Error (Intercept)","0.160905870641623","0.146646328147598","0.133489503709965","0.193854422354483","0.325860584621106","0.152118493448882","0.307510734788775","0.187513074568875","0.193596262702012","0.197155290548161","0.184955471892715","0.151750536507009","0.12063170371647","0.166067405911727","0.119656474097088","0.154665745839885","0.309487589726689","0.279806815458487"
"Std. Error block","0.0218628026383861","0.0199253123403789","0.0181376519220184","0.0263396292479218","0.0442757347559292","0.0206688331921013","0.0417824811305112","0.0254780097523416","0.0263045522584455","0.0267881289177345","0.0251304999796196","0.0206188376887209","0.0163906209249474","0.022564117180058","0.016258113312822","0.0210149366380017","0.0420510828240353","0.0380182597368936"
"P-value (Intercept)","5.10570363232365e-05","3.72879479525793e-06","4.16765876771752e-07","1.12632523647351e-05","0.397796507433168","8.08874593806605e-07","0.857401849728789","6.33064022002575e-05","2.69800288286624e-06","0.00135238921972075","1.22837582244324e-05","1.68554478825405e-07","3.17472786317391e-06","4.53712329367149e-05","6.89444935488826e-07","6.96576626117583e-05","0.000267630857152809","0.000166072827674777"
"P-value block","0.431390240257758","0.0781965701000816","0.156735197375208","0.97665654841123","0.0344220528329532","0.00440071831418405","0.0226273025665844","0.593245556438485","0.718278330864058","0.112362162374531","0.182364951884515","0.184207074642064","0.887798910343658","0.147576291861376","0.28420754134916","0.00237810923197448","0.174450764834315","0.306162608357326"
"R-squared","0.062986924288411","0.277917351983057","0.189915172768843","8.99980710943284e-05","0.374562562309146","0.572355102935679","0.420159269837291","0.0295416707009318","0.0135870232103894","0.232537163033935","0.170369223923221","0.169071402166279","0.00209031932735046","0.197670231772633","0.113516577511675","0.619566687601565","0.176098227261706","0.104186347531767"
"BayesFactor","37.3858427913084","193190406486.668","9286589.95757608","0.162768121663779","52218334962972256","1.53545369007041e+31","38906524449437679616","1.96330098565739","0.503425202255457","984276722.983644","1195215.96907406","1045060.96158334","0.192171552478644","21264469.1282907","4114.61747396345","4.51018051109166e+35","2167840.62393131","1687.49462321581"
