"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14","lp.15","lp.16","lp.17"
"30",0.305882353,0.515789474,0.081632653,0.2,0.246153846,0.001503759,0.373684211,0.1,0.016,0.430379747,0.321311475,0.129032258,0.003053435,0.041935484,0.451162791,0.288372093,0.292307692,0.067857143
"31",0.148275862,0.045714286,,0.056097561,0.026229508,0.5,0.252830189,0.287804878,,0.276923077,0.754545455,,0.352808989,0.125,0.416216216,0.968695652,,0.248387097
"32",0.430769231,0.211538461,,0.327272727,0.187234043,0.1,0.34084507,0.005970149,,0.195294118,0.06,,0.091891892,0.01,0.138028169,0.157142857,,0.533333333
"33",0.064,0.093846154,,0.058461538,0.015841584,0.128125,0.134453782,0.410909091,,0.296,0.48,,0.625806452,0.06119403,0.373684211,0.124324324,,0.152941176
"34",0.35,0.036363636,,0.125714286,0.1,0.416216216,0.06746988,0.010989011,,0.18019802,0.294117647,,0.162790698,0.189285714,0.051612903,1.225,,0.028571429
"35",0.325,0.355555556,,0.2125,0.073076923,0.114285714,0.082352941,1.151219512,,0.333333333,0.195081967,,0.175510204,0.066037736,0.023728814,0.010769231,,0.023853211
"36",1.925,0.026168224,,0.146666667,0.32,0.510869565,0.1025,2.984615384,,0.176923077,0.114516129,,0.432432432,0.23902439,0.509090909,0.0296875,,0.215841584
"37",0.1664,0.493617021,,0.433333333,0.666666667,0.143925234,0.10989011,0.431147541,,0.28,0.189830508,,0.173913043,0.046,0.445454546,0.038461538,,0.1
"38",0.545794392,0.036363636,,0.084090909,0.170873786,0.171698113,0.128421053,0.18,,0.3,0.2,,0.187610619,0.1,0.3,0.015384615,,0.491304348
"39",0.153398058,0.265625,,0.407894737,0.208,0.341463415,0.125714286,0.3,,0.033333333,0.215841584,,0.0875,0.226168224,0.5125,0.04516129,,0.147368421
"40",0.17,0.274626866,,0.181818182,0.616949152,0.436521739,0.545454545,0.17826087,,0.19368421,0.195121951,,0.265,0.057142857,0.501204819,0.706122449,,0.284090909
"41",0.414285714,0.236956522,,0.226666667,0.28,0.380645161,0.580487805,0.843902439,,0.127835052,0.44,,0.072164948,0.526315789,0.217647059,0.033663366,,0.1
"42",0.317241379,0.021621622,,0.091089109,0.113043478,0.40625,0.314285714,0.480645161,,0.06119403,0.030909091,,0.85,0.115254237,0.06119403,0.055769231,,0.066666667
"43",0.376,0.570212766,,0.111688312,0.2512,0.348275862,0.106766917,0.232876712,,0.047540984,0.371428572,,0.178761062,0.052631579,0.582608696,0.612307692,,0.0828125
"44",0.207317073,0.123893805,,0.315217391,0.46,0.195121951,0.830769231,0.2125,,0.055769231,0.113559322,,0.01,0.170873786,0.38125,0.220472441,,0.55
"45",0.166942149,0.1,,0.332758621,0.008163265,0.225531915,0.14,0.032075472,,0.14939759,0.017391304,,0.366666667,0.1,0.353846154,1.949090909,,1
"46",0.71,0.272413793,,0.119148936,0.263636364,0.18,0.064788732,0.085714286,,0.060869565,0.050549451,,0.214545455,0.012030075,0.4,2.745945945,,0.459459459
"47",0.178947368,0.132727273,,0.066666667,0.028571429,0.355555556,0.14375,0.2,,0.28,0.050549451,,0.003305785,0.712,0.826923077,1,,0.110638298
"48",0.258823529,0.712195122,,0.2368,0.152941176,0.5,0.169230769,0.014893617,,1.076923077,0.247272727,,0.114285714,0.04,0.256603774,0.092913386,,0.114925373
"49",0.025581395,0.003076923,,0.0784,0.258823529,0.46,0.244117647,0.475,,0.035714286,0.2875,,0.378125,0.247761194,0.555932203,0.155223881,,0.117241379
"50",0.290909091,0.350515464,,0.694915254,0.226446281,0.529230769,0.017391304,0.055445545,,0.339534884,0.1,,0.4,0.129032258,0.357142857,0.016923077,,0.167032967
"51",0.02,0.117647059,,0.071875,0.268571429,0.068965517,0.128421053,0.062809917,,0.010204082,0.425210084,,0.183076923,0.066666667,0.225316456,0.091089109,,0.727272727
"52",0.045217391,0.01,,0.331428571,0.298947368,0.228571429,0.047058824,0.312941177,,0.195294118,0.206779661,,0.660377358,0.00173913,0.382089552,0.069491525,,0.023853211
"53",0.003571429,0.621052632,,0.112328767,0.148648649,0.228571429,0.298701299,0.545652174,,0.013913043,0.1,,0.152941176,0.213043478,0.448979592,0.070491803,,0.104950495
"54",0.060176991,0.065306122,,0.216129032,0.008474576,0.28907563,0.013333333,0.6,,0.171698113,0.079699248,,0.72,0.012030075,0.154782609,0.325,,0.414285714
"55",0.129787234,0.079389313,,0.1,0.076635514,0.136842105,0.118446602,0.26875,,2.052830189,0.164285714,,0.084745763,0.040983607,0.128,0.070967742,,0.012030075
"56",0.053658537,0.005882353,,0.234042553,0.38,0.004651163,0.186086957,0.172093023,,0.384615385,0.282191781,,0.127472527,0.142857143,0.071428571,0.720588235,,0.140540541
"57",0.075675676,0.254545455,,0.167164179,0.606896552,0.147368421,0.024427481,0.31,,0.288372093,0.327868852,,0.207462687,0.097560976,0.663291139,0.042105263,,0.040625
"58",0.011428571,0.184210526,,0.211428571,0.178181818,0.309090909,0.081632653,0.157446809,,0.070967742,0.713636364,,0.224615385,0.256603774,0.325,0.15,,0.303773585
"59",0.666666667,0.36,,0.497674419,0.24137931,0.451612903,0.357142857,0.153846154,,1,0.891566265,,1,0.05,0.025,0.120300752,,0.095652174
"60",0.4,0.566666667,,0.353846154,0.211570248,0.129032258,0.327868852,0.121259843,,0.180487805,0.607920792,,0.863157895,0.130337079,0.093233083,0.116071429,,0.203278689
"61",0.184210526,0.128571429,,0.435820895,1.915789474,0.044444444,,0.287128713,,1.316831683,0.7,,0.10989011,0.123076923,1.421276596,1.103846154,,1
"62",0.126470588,0.117741935,,0.005970149,0.205882353,0.178181818,,0.1088,,1.939130435,0.873239437,,0.002531646,0.126956522,0.5,0.037837838,,0.25
"63",0.113846154,0.1,,0.252830189,0.2,0.353846154,,0.474285714,,0.222222222,0.267826087,,0.053608247,0.074193548,0.627586207,0.085294118,,0.117241379
"64",0.436144578,0.003883495,,0.426086956,0.08,0.56,,0.18490566,,0.12,0.55483871,,0.468852459,0.3,0.912195122,0.169230769,,0.15625
"65",0.029411765,0.06,,0.292307692,0.521518987,0.545652174,,0.1792,,0.16,0.266666667,,0.234645669,0.11875,0.757142857,0.007874016,,0.289908257
"66",0.13877551,0.632,,0.085714286,0.285714286,0.058823529,,0.136842105,,0.3,0.08,,0.018181818,0.052542373,0.317741935,0.169230769,,0.005882353
"67",0.082926829,0.01,,0.413953488,0.013445378,0.166666667,,0.12,,0.306024096,0.333333333,,0.0875,0.2,0.038461538,0.264864865,,0.022222222
"68",0.1,0.283478261,,0.08,0.537614679,0.353125,,0.044444444,,0.079069767,0.106557377,,0.037209302,0.512,0.218867925,0.517857143,,0.055
"69",0.207317073,0.1,,0.276923077,0.048076923,0.05,,0.114285714,,0.312727273,0.08,,0.248387097,0.177142857,0.28,0.1,,0.057731959
"70",0.151162791,0.136842105,,0.2,0.752631579,0.315492958,,0.043478261,,0.114285714,0.206451613,,0.138461538,0.1,0.147368421,0.376923077,,0.127692308
"71",0.194736842,0.570909091,,0.007874016,0.106666667,0.17,,0.072727273,,0.238961039,0.0546875,,0.080851064,0.577777778,0.251485149,0.084745763,,0.366666667
"72",0.430769231,0.38125,,0.151923077,0.445901639,0.228571429,,0.01,,0.054545455,0.0125,,0.054237288,0.274193548,0.345454546,0.168421053,,0.01
"73",0.083018868,0.017391304,,0.063636364,0.1,0.169230769,,0.133333333,,0.067256637,0.742857143,,0.024615385,0.184615385,0.165853659,0.238461538,,0.179310345
"74",0.073529412,0.233707865,,0.546456693,0.188990826,0.187096774,,0.204210526,,0.23853211,0.386363636,,0.465625,0.158415842,1.114893617,0.075,,0.042201835
"75",0.2,0.167567568,,0.27107438,0.2,0.31,,0.273684211,,0.214084507,0.407272727,,0.257731959,0.333333333,0.191836735,0.136,,0.265625
"76",0.032786885,0.115517241,,0.141860465,0.155963303,,,,,0.091803279,0.194392523,,,0.161290323,0.138028169,0.001503759,,0.497029703
"77",2.848648648,0.2375,,0.163414634,0.084745763,,,,,0.023157895,0.048780488,,,0.069662921,0.047058824,0.266666667,,0.4
"78",0.181818182,0.30754717,,0.117647059,0.231578947,,,,,0.176377953,0.083870968,,,0.1140625,0.141538462,0.040625,,0.340594059
"79",0.057142857,0.1952,,0.530434783,0.676923077,,,,,0.008474576,0.220689655,,,0.008163265,0.325581395,0.254545455,,0.410810811
"80",0.52,0.037931034,,0.419354839,0.831578947,,,,,0.127710843,0.731914894,,,0.421428571,0.4,0.4515625,,0.1
"81",0.086567164,0.190825688,,0.225316456,0.556923077,,,,,0.318604651,0.359322034,,,0.435294118,0.067857143,0.176,,0.196428571
"82",0.064,0.022727273,,0.492957746,0.241322314,,,,,0.08,0.661538462,,,0.181818182,0.096875,0.216901408,,0.247727273
"83",0.053658537,0.58,,0.259677419,0.145454545,,,,,0.173913043,0.117647059,,,0.139130435,1,0.223076923,,0.136842105
"84",0.009174312,0.017391304,,0.1675,0.275,,,,,0.002173913,0.234042553,,,0.009090909,0.258823529,0.172093023,,0.028571429
"85",0.004651163,0.388679245,,0.424,0.532467532,,,,,0.157142857,0.261052632,,,0.332,0.032786885,0.433333333,,0.141071429
"86",0.122580645,0.062,,0.55,0.231578947,,,,,0.060465116,0.828571429,,,0.228571429,0.345454546,0.192125984,,0.204210526
