"","ID","coeff (Intercept)","coeff trial","Std. Error (Intercept)","Std. Error trial","P-value (Intercept)","P-value trial","R-squared","BayesFactor","length"
"1","X21486","-1.70678958131049","-0.00429627390136634","0.196243067494481","0.00250389348019767","1.121365143456e-14","0.0885202971155976","0.0216566793911294","0.700532790830628","135"
"2","X21589","-1.70643358799606","-0.00574568718923759","0.226830051847741","0.00325368129635361","1.15778696812696e-11","0.0799983354210638","0.0257468293903181","0.787904055023971","120"
"3","X22223","-1.30642104124809","-0.0501023265299791","0.353825613105264","0.0199305428900486","0.000952753982162671","0.0179698088139946","0.18413550293365","3.2941187699332","30"
"4","X67429","-1.7152336160706","-0.00272868289740196","0.174742629993015","0.00222956631048589","1.93302056747052e-17","0.22316773973604","0.0111365338632263","0.364426689875868","135"
"5","X67501","-1.73163323692862","-0.00064788096242547","0.207901782510876","0.00340517689411182","3.7069151920922e-13","0.849477118135199","0.000351334863290946","0.209677182109192","105"
"6","X67561","-1.36983538413993","-0.00471995390688227","0.250186202260822","0.00572062803524671","5.88385622073868e-07","0.412016411393862","0.00923919328585982","0.320398317977509","75"
"7","X68857","-1.19813783361171","-0.0165645601627128","0.232829387918197","0.00663828385414003","3.30353694063801e-06","0.0154523225682437","0.0969468086715972","3.34751622351311","60"
"8","X68929","-0.410819204578867","-0.0273582543004403","0.274086177956289","0.00626711249270159","0.138219928427392","4.11311097875102e-05","0.207008226853864","486.266772035737","75"
"9","X69190","-1.75734266253633","-0.0297656573769843","0.400728251045019","0.0225725083173411","0.000148410213879344","0.197964573623547","0.0584718191289248","0.660569552821783","30"
"10","X69364","-1.50235348111559","-0.00496855890914516","0.198575568926812","0.00228154857367356","3.78695444081313e-12","0.0310113094794613","0.0310485795657367","1.52308057977139","150"
"11","X69700","-1.35574668670932","-0.00480933888474567","0.169832060984131","0.00162743037204102","1.70098130726251e-13","0.00354803347075388","0.0467675626832382","8.81357771858747","180"
"12","X69757","-1.13107743027913","-0.0570979614817441","0.357047404031137","0.0201120222399106","0.00369310767576592","0.00833204563644839","0.223514237038109","5.83789025817044","30"
"13","X66943","-1.83640827849418","-0.00286637838659597","0.306479365635253","0.00700779833353826","7.20986412045532e-08","0.683717445046545","0.0022865821179012","0.256758550307536","75"
"14","X67084","-2.40885722593787","0.000806561449129496","0.231966183165932","0.00332735466665654","2.44739346401672e-18","0.808888560696839","0.000497712462334182","0.199621170942253","120"
"15","X67246","-1.32378546261455","-0.00092626482793822","0.156280701827276","0.00163310059551945","1.36662899600975e-14","0.571370994079402","0.0019697023068987","0.195183437309698","165"
"16","X68998","-1.43129193983506","-0.00131978942939759","0.211420370058294","0.002025953930649","1.80301056404307e-10","0.515602028707132","0.00237846067532903","0.196831065162458","180"
"17","X69214","-1.79079154030354","-0.0188352549336441","0.330649006287669","0.0186250343595329","8.90517213602577e-06","0.320538843678824","0.0352379801808102","0.506598924455703","30"
"18","X67312","-1.72378561018639","-0.00174356813980258","0.18167905912612","0.00189850810869917","2.82223949760891e-17","0.35977244293669","0.00514782630926738","0.248395639342316","165"
