"","x"
"1",-0.0140821077066762
"2",-0.00501001353777674
"3",-0.0143335706026869
"4",-0.00454724953867859
"5",-0.00772445161603868
"6",-0.00287333217195994
"7",-0.00569065929198673
"8",-0.00407196797186197
"9",-0.00579794790211148
"10",-0.0424411461782693
"11",-0.00796373865988468
"12",-0.019295550527036
"13",-0.0271485330528482
"14",-0.0372610228949135
"15",-0.00544264618764639
