"","x"
"1",-0.00978993507142717
"2",-0.00867878151687363
"3",-0.0111840448487882
"4",-0.00782265990561392
"5",-0.00444895524498451
"6",-0.00410810822931847
"7",-0.00245629927324506
"8",0.0496726066746864
"9",-0.00241604498648152
"10",-0.0025440619078333
"11",-0.0176223350189523
"12",-0.0299856300710231
"13",-7.42835471157358e-06
"14",-0.00249076035074226
"15",-0.00306418292134916
"16",0.0882927935221876
"17",-0.0554334294630035
"18",-0.00494321077935515
