"","x"
"1",-0.00429627390136634
"2",-0.00574568718923759
"3",-0.0501023265299791
"4",-0.00272868289740196
"5",-0.00064788096242547
"6",-0.00471995390688227
"7",-0.0165645601627128
"8",-0.0273582543004403
"9",-0.0297656573769843
"10",-0.00496855890914516
"11",-0.00480933888474567
"12",-0.0570979614817441
"13",-0.00286637838659597
"14",0.000806561449129496
"15",-0.00092626482793822
"16",-0.00131978942939759
"17",-0.0188352549336441
"18",-0.00174356813980258
