"","ID","coeff (Intercept)","coeff trial","Std. Error (Intercept)","Std. Error trial","P-value (Intercept)","P-value trial","R-squared","BayesFactor","length"
"1","X68803","-1.20332207900912","-0.00762844954746917","0.214877646035126","0.00351943300583137","1.79014183737954e-07","0.0324987835886719","0.0436233382078977","1.63962821807021","105"
"2","X68851","-1.16850211345781","-0.0199736021246167","0.279923808302681","0.0064005927226951","8.15534295299667e-05","0.00258513625488709","0.117697455440093","13.7222301182445","75"
"3","X69100","-1.24719889831841","-0.0226443243244744","0.221640860013365","0.00839123414943198","1.27145788855454e-06","0.00991162789592101","0.144827867994556","4.93404819033159","45"
"4","X69241","-1.38425562899928","-0.0296508155181007","0.338639615267185","0.0128207601423725","0.00018697601316297","0.0255893212104988","0.11062701923279","2.39851178193259","45"
"5","X69247","0.549914322884977","-0.0390902523129036","0.19899288465818","0.00567355893139769","0.00765125366720841","4.48587311393598e-09","0.450084338833449","1930907.29866716","60"
"6","X69637","-2.08526678353222","-0.00480426208253389","0.1539935921678","0.00160920077869475","1.78723958552623e-28","0.00326780898104803","0.0518470114362405","9.67969792842504","165"
"7","X69859","-0.296921331901534","-0.0139902666501627","0.220568626887827","0.00253423942730102","0.180308209122553","1.47665582514413e-07","0.170756439247574","82671.1173669435","150"
"8","X67243","-0.838528451728441","-0.0382560004170748","0.333771946226952","0.0126364721429663","0.0158277752291494","0.00415712768575494","0.175697505958685","9.78067343483621","45"
"9","X69169","-2.29295680904079","0.000688129652632098","0.173014640535231","0.00180796674949636","1.13458975336846e-27","0.703988450292762","0.000887945400172393","0.179848753446103","165"
"10","X69745","-0.885319753639175","-0.0200581258523523","0.30704902098413","0.00875438696400554","0.00551227836454977","0.0256024812999821","0.0829986811555348","2.2688363513267","60"
"11","X70552","-1.46120051239782","-0.012355382548004","0.210612461735445","0.00344957450413408","3.61782463736536e-10","0.000522814698865136","0.110755498999486","51.4424782124472","105"
"12","X69139","-2.50397190347796","0.000843002673130553","0.213131714612687","0.00244879247788231","6.25948985025532e-23","0.731145129529086","0.000800100615819334","0.185542459873261","150"
"13","X69016","-1.6303212659923","8.47709494247148e-06","0.194936251693622","0.00203704299383702","2.58536440239826e-14","0.996684724985816","1.06244401232469e-07","0.168182498756485","165"
"14","X67042","-1.59279286007443","-0.00548785961038227","0.219847905564593","0.00315352843483976","4.83002692803125e-11","0.0844259591387905","0.0250221838014312","0.756951782384571","120"
"15","X67708","-1.71540328180884","-0.00588118942833617","0.334084512728027","0.00952520575942026","3.4434058550332e-06","0.539364878707777","0.00652992809552957","0.308005545896337","60"
"16","X68926","-1.39821439593881","-0.00625680526254256","0.175235863843072","0.00201338531909215","3.7305895246089e-13","0.00226194468861426","0.0612544516405568","13.5977910425807","150"
"17","X69670","-1.70678411855337","-0.0037989280159591","0.202755574584246","0.00332088830306456","2.36677805391533e-13","0.255296252091952","0.0125456564767638","0.369651323958231","105"
"18","X69739","-1.83033753221061","-0.0113771705270326","0.306103240243828","0.0115889460211935","3.91651436016871e-07","0.331726447921168","0.0219222723550427","0.434929772803642","45"
