accuracy,accuracy,accuracy,,,,,,,,,,,,average,logA,,,trial
15.55555556,7.444444444,3.666666667,,,,,,,,,,,,8.88888889,0.948847478,,,74
20.55555556,0.333333333,13,,,,,,,,,,,,11.2962963,1.052936075,,,75
21.77777778,30.44444444,1.666666667,,,,,,,,,,,,17.96296296,1.254377974,,,76
9.888888889,20.66666667,3.666666667,,,,,,,,,,,,11.40740741,1.057186952,,,77
17.77777778,10.88888889,7,,,,,,,,,,,,11.88888889,1.075141268,,,78
3.333333333,11.77777778,1.555555556,,,,,,,,,,,,5.555555556,0.744727495,,,79
25.88888889,24.11111111,4.222222222,,,,,,,,,,,,18.07407407,1.257056058,,,80
11.88888889,2.666666667,2,,,,,,,,,,,,5.518518519,0.741822504,,,81
2.444444444,4.888888889,5.111111111,,,,,,,,,,,,4.148148148,0.617854258,,,82
2.333333333,27.55555556,11,,,,,,,,,,,,13.62962963,1.134484055,,,83
18.66666667,22.66666667,22.33333333,,,,,,,,,,,,21.22222222,1.326790858,,,84
9.777777778,10,12.33333333,,,,,,,,,,,,10.7037037,1.029534079,,,85
7.333333333,22,3.888888889,,,,,,,,,,,,11.07407407,1.044307424,,,86
27.55555556,9.666666667,5.111111111,,,,,,,,,,,,14.11111111,1.149561212,,,87
11.11111111,6.666666667,5.555555556,,,,,,,,,,,,7.777777778,0.890855531,,,88
7.888888889,12.44444444,4.555555556,,,,,,,,,,,,8.296296295,0.918884254,,,89
2.333333333,15.22222222,4.111111111,,,,,,,,,,,,7.222222221,0.858670847,,,90
48.55555556,26.11111111,0.333333333,,,,,,,,,,,,25,1.397940009,,,91
10.44444444,7.333333333,0.222222222,,,,,,,,,,,,5.999999998,0.77815125,,,92
11.55555556,5.888888889,9.777777778,,,,,,,,,,,,9.074074076,0.95780232,,,93
7.555555556,6.333333333,20.66666667,,,,,,,,,,,,11.51851852,1.061396625,,,94
12.22222222,9.222222222,13.22222222,,,,,,,,,,,,11.55555555,1.06279083,,,95
8.333333333,10.33333333,9,,,,,,,,,,,,9.222222221,0.964835583,,,96
