consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,block_accuracy,continueMouse.x,continueMouse.y,continueMouse.leftButton,continueMouse.midButton,continueMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,continueMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
,,,,,,,,,,,,,,,,,41.66666667,16,20,75,210.6666667,14.66666667,14.66666667,-0.277296336,-0.393703088,1,0,0,2.4691,submitButton,12.61111111,0.093587558,-0.303581769,0,0,0,0,13,13,0,1,16,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,55,69,20,75,239,10,10,-0.276140934,-0.421432725,1,0,0,2.0308,submitButton,11.74074074,0.363951517,-0.391392356,1,0,0,0,14,14,53,1,69,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,continueButton,,,,,,
,,,,,,,,,,,,,,,,,33.33333333,21,20,75,47.33333333,26.33333333,26.33333333,0.385904146,-0.297804831,1,0,0,0.4662,submitButton,26.33333333,0.08781055,-0.326689799,0,0,0,0,15,15,5,1,21,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,30,-33,20,75,-41,8,8,-0.269208525,-0.411034111,1,0,0,0.9686,submitButton,17.16666667,0.175621067,-0.402946301,0,0,0,0,16,16,17,1,33,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,42.22222222,-26,20,75,-32.77777778,6.777777778,6.777777778,-0.296938162,-0.420277324,1,0,0,0.964,submitButton,13.7037037,0.003466238,-0.297804831,0,0,0,0,17,17,10,1,26,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,72.22222222,57,20,75,242.2222222,5.222222222,5.222222222,0.191796688,-0.298960162,1,0,0,1.3016,submitButton,11.58333333,0.221837128,-0.193818623,0,0,0,0,18,18,41,1,57,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,57.22222222,-70,20,75,-62.77777778,7.222222222,7.222222222,-0.20566137,-0.414500316,1,0,0,1.0696,submitButton,10.71111111,0.188330483,-0.220392858,0,0,0,0,19,19,54,1,70,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,34.44444444,19,20,75,206.4444444,7.444444444,7.444444444,-0.211438448,-0.396013892,1,0,0,2.549,submitButton,10.16666667,-0.212593779,-0.396013892,0,0,0,0,20,20,3,1,19,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-49.44444444,48,20,75,50.55555556,2.555555556,2.555555556,-0.218370857,-0.416811119,1,0,0,1.1023,submitButton,9.079365079,0.112073982,-0.213460449,0,0,0,0,21,21,32,1,48,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-47.77777778,-43,20,75,-223.7777778,0.777777778,0.777777778,-0.222992463,-0.371750459,1,0,0,2.1982,submitButton,8.041666667,0.099364565,-0.258521109,0,0,0,0,22,22,27,1,43,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
