consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,presented_this_ori,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,pauseMouse.x,pauseMouse.y,pauseMouse.leftButton,pauseMouse.midButton,pauseMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,pauseMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
,,,,,,,,,,,,,,,,,,,,,,-26.11111111,-18,20,75,-25.11111111,7.111111111,7.111111111,-115.1111111,0.175555556,-0.314444444,1,0,0,0.067,submitButton,0.321111111,-0.398888889,1,0,0,0,14,14,2,1,18,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,pause_continueButton,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-66.66666667,20,20,75,15.33333333,4.666666667,4.666666667,-74.66666667,-0.123333333,-0.4,1,0,0,1.7,submitButton,-0.123333333,-0.4,0,0,0,0,15,15,4,1,20,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-36.11111111,26,20,75,-39.11111111,65.11111111,65.11111111,-129.1111111,0.353333333,-0.292222222,1,0,0,2.083,submitButton,-0.393333333,-0.394444444,0,0,0,0,16,16,10,1,26,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-60,-49,20,75,-211,18,18,-301,-0.238888889,-0.413333333,1,0,0,2.233,submitButton,-0.238888889,-0.413333333,0,0,0,0,17,17,33,1,49,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,51.11111111,59,20,75,205.1111111,33.88888889,33.88888889,115.1111111,-0.327777778,-0.405555556,1,0,0,1.917,submitButton,0.105555556,-0.31,0,0,0,0,18,18,43,1,59,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,31.66666667,-69,20,75,-51.33333333,17.66666667,17.66666667,-141.3333333,0.365555556,-0.283333333,1,0,0,0.333,submitButton,-0.107777778,-0.364444444,0,0,0,0,19,19,53,1,69,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-27.77777778,63,20,75,46.22222222,16.77777778,16.77777778,-43.77777778,0.19,-0.308888889,1,0,0,0.299,submitButton,-0.166666667,-0.38,0,0,0,0,20,20,47,1,63,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,24.44444444,-34,20,75,-16.55555556,17.44444444,17.44444444,-106.5555556,0.387777778,-0.293333333,1,0,0,0.016,submitButton,-0.202222222,-0.407777778,0,0,0,0,21,21,18,1,34,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-50.55555556,70,20,75,39.44444444,30.55555556,30.55555556,-50.55555556,0.2,-0.314444444,1,0,0,0.116,submitButton,-0.236666667,-0.403333333,0,0,0,0,22,22,54,1,70,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-68.88888889,56,20,75,39.11111111,16.88888889,16.88888889,-50.88888889,0.224444444,-0.328888889,1,0,0,0.116,submitButton,-0.162222222,-0.406666667,0,0,0,0,23,23,40,1,56,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,70.55555556,25,20,75,195.5555556,9.444444444,9.444444444,105.5555556,0.187777778,-0.29,1,0,0,0.017,submitButton,-0.275555556,-0.416666667,0,0,0,0,24,24,9,1,25,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-57.77777778,-48,20,75,-217.7777778,10.22222222,10.22222222,-307.7777778,0.45,-0.275555556,1,0,0,1.933,submitButton,-0.274444444,-0.42,0,0,0,0,25,25,32,1,48,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-61.11111111,-27,20,75,-30.11111111,3.111111111,3.111111111,-120.1111111,0.218888889,-0.307777778,1,0,0,0.717,submitButton,-0.148888889,-0.396666667,0,0,0,0,26,26,11,1,27,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-36.11111111,-66,20,75,-228.1111111,17.88888889,17.88888889,-318.1111111,0.381111111,-0.285555556,1,0,0,2.016,submitButton,-0.152222222,-0.4,0,0,0,0,27,27,50,1,66,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-73.88888889,-24,20,75,-29.88888889,5.888888889,5.888888889,-119.8888889,-0.165555556,-0.377777778,1,0,0,1.317,submitButton,-0.165555556,-0.377777778,0,0,0,0,28,28,8,1,24,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-55.55555556,65,20,75,49.44444444,15.55555556,15.55555556,-40.55555556,-0.2,-0.43,1,0,0,0.784,submitButton,0.395555556,-0.401111111,1,0,0,0,29,29,49,1,65,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,pause_continueButton,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-22.77777778,23,20,75,14.22222222,8.777777778,8.777777778,-75.77777778,0.204444444,-0.315555556,1,0,0,0.05,submitButton,-0.217777778,-0.405555556,0,0,0,0,30,30,7,1,23,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,22.22222222,-42,20,75,-26.77777778,15.22222222,15.22222222,-116.7777778,-0.153333333,-0.396666667,1,0,0,0.833,submitButton,-0.153333333,-0.396666667,0,0,0,0,31,31,26,1,42,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,52.77777778,-54,20,75,-27.22222222,26.77777778,26.77777778,-117.2222222,0.408888889,-0.305555556,1,0,0,0.133,submitButton,-0.351111111,-0.405555556,0,0,0,0,32,32,38,1,54,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-33.33333333,-53,20,75,-214.3333333,18.66666667,18.66666667,-304.3333333,-0.164444444,-0.367777778,1,0,0,2.383,submitButton,-0.171111111,-0.404444444,0,0,0,0,33,33,37,1,53,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-34.44444444,45,20,75,24.55555556,20.44444444,20.44444444,-65.44444444,0.196666667,-0.311111111,1,0,0,0.049,submitButton,-0.14,-0.397777778,0,0,0,0,34,34,29,1,45,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,32.77777778,-38,20,75,-16.22222222,21.77777778,21.77777778,-106.2222222,-0.132222222,-0.42,1,0,0,0.6,submitButton,-0.132222222,-0.42,0,0,0,0,35,35,22,1,38,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-35.55555556,64,20,75,41.44444444,22.55555556,22.55555556,-48.55555556,0.205555556,-0.303333333,1,0,0,0.134,submitButton,-0.104444444,-0.381111111,0,0,0,0,36,36,48,1,64,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,57.77777778,-75,20,75,-32.22222222,42.77777778,42.77777778,-122.2222222,0.395555556,-0.288888889,1,0,0,0.05,submitButton,-0.296666667,-0.387777778,0,0,0,0,37,37,59,1,75,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-44.44444444,41,20,75,30.55555556,10.44444444,10.44444444,-59.44444444,0.194444444,-0.337777778,1,0,0,0.316,submitButton,-0.194444444,-0.4,0,0,0,0,38,38,25,1,41,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,54.44444444,61,20,75,213.4444444,27.55555556,27.55555556,123.4444444,-0.185555556,-0.373333333,1,0,0,1.933,submitButton,-0.175555556,-0.392222222,0,0,0,0,39,39,45,1,61,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-53.33333333,68,20,75,35.66666667,32.33333333,32.33333333,-54.33333333,-0.18,-0.384444444,1,0,0,0.584,submitButton,-0.135555556,-0.367777778,0,0,0,0,40,40,52,1,68,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-40,57,20,75,41,16,16,-49,-0.176666667,-0.402222222,1,0,0,1.183,submitButton,-0.176666667,-0.402222222,0,0,0,0,41,41,41,1,57,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-55,60,20,75,36,24,24,-54,-0.252222222,-0.391111111,1,0,0,0.666,submitButton,-0.252222222,-0.39,0,0,0,0,42,42,44,1,60,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,35.55555556,-36,20,75,-23.44444444,12.55555556,12.55555556,-113.4444444,-0.138888889,-0.408888889,1,0,0,0.683,submitButton,-0.138888889,-0.407777778,0,0,0,0,43,43,20,1,36,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-68.88888889,40,20,75,30.11111111,9.888888889,9.888888889,-59.88888889,0.202222222,-0.332222222,1,0,0,0.816,submitButton,0.364444444,-0.385555556,1,0,0,0,44,44,24,1,40,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,pause_continueButton,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-55.55555556,72,20,75,44.44444444,27.55555556,27.55555556,-45.55555556,-0.154444444,-0.428888889,1,0,0,0.567,submitButton,-0.244444444,-0.403333333,0,0,0,0,45,45,56,1,72,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-55.55555556,-43,20,75,-209.5555556,13.44444444,13.44444444,-299.5555556,-0.154444444,-0.378888889,1,0,0,2.134,submitButton,-0.154444444,-0.378888889,0,0,0,0,46,46,27,1,43,69853,1,180,2022-02-23_21h59.19,orientation adjustment 1,2021.2.3,MacIntel,66.66666667,,,,,,,
