consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,presented_this_ori,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,pauseMouse.x,pauseMouse.y,pauseMouse.leftButton,pauseMouse.midButton,pauseMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,pauseMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.394736806,-0.411241969,1,0,0,consent_button1,0.430517045,-0.400854158,1,0,0,consent_button,0.185826377,-0.256578929,1,0,0,0.300092303,-0.335064686,1,0,0,70.55555556,41,20,75,215.5555556,5.444444444,5.444444444,125.5555556,0.220452415,-0.287742363,1,0,0,3.0477,submitButton,-0.045013805,-0.196560464,0,0,0,0,0,0,25,1,41,67486,1,180,2022-02-24_18h35.14.805,orientation adjustment 1,2021.2.3,Win32,59.96282305,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-55.55555556,-53,20,75,-219.5555556,13.44444444,13.44444444,-309.5555556,0.395891008,-0.281971357,1,0,0,0.1166,submitButton,-0.151200392,-0.271583546,0,0,0,0,1,1,37,1,53,67486,1,180,2022-02-24_18h35.14.805,orientation adjustment 1,2021.2.3,Win32,59.96282305,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-55,17,20,75,17,0,0,-73,0.208910403,-0.294667571,1,0,0,0.651,submitButton,-0.192751638,-0.389312075,0,0,0,0,2,2,1,1,17,67486,1,180,2022-02-24_18h35.14.805,orientation adjustment 1,2021.2.3,Win32,59.96282305,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,40.55555556,25,20,75,103.5555556,78.55555556,78.55555556,13.55555556,0.174284365,-0.29351344,1,0,0,1.217,submitButton,-0.342797802,-0.315443194,0,0,0,0,3,3,9,1,25,67486,1,180,2022-02-24_18h35.14.805,orientation adjustment 1,2021.2.3,Win32,59.96282305,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,45,-57,20,75,-46,11,11,-136,0.406278819,-0.276200421,1,0,0,0.5164,submitButton,-0.161588204,-0.336218817,0,0,0,0,4,4,41,1,57,67486,1,180,2022-02-24_18h35.14.805,orientation adjustment 1,2021.2.3,Win32,59.96282305,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,25.55555556,58,20,75,54.55555556,3.444444444,3.444444444,-35.44444444,0.375115385,-0.295821772,1,0,0,0.4825,submitButton,-0.171976015,-0.385849471,0,0,0,0,5,5,42,1,58,67486,1,180,2022-02-24_18h35.14.805,orientation adjustment 1,2021.2.3,Win32,59.96282305,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,41.11111111,46,20,75,58.11111111,12.11111111,12.11111111,-31.88888889,0.40743302,-0.299284376,1,0,0,0.8166,submitButton,-0.252770103,-0.369690724,0,0,0,0,6,6,30,1,46,67486,1,180,2022-02-24_18h35.14.805,orientation adjustment 1,2021.2.3,Win32,59.96282305,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,71.11111111,42,20,75,202.1111111,19.88888889,19.88888889,112.1111111,0.168513358,-0.291204967,1,0,0,1.1836,submitButton,-0.162742334,-0.383541139,0,0,0,0,7,7,26,1,42,67486,1,180,2022-02-24_18h35.14.805,orientation adjustment 1,2021.2.3,Win32,59.96282305,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-60.55555556,-59,20,75,-233.5555556,5.444444444,5.444444444,-323.5555556,0.140812528,-0.281971357,1,0,0,1.8831,submitButton,0.123499509,-0.301592779,0,0,0,0,8,8,43,1,59,67486,1,180,2022-02-24_18h35.14.805,orientation adjustment 1,2021.2.3,Win32,59.96282305,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,43.88888889,48,20,75,52.88888889,4.888888889,4.888888889,-37.11111111,0.348568756,-0.294667571,1,0,0,0.0993,submitButton,-0.175438619,-0.352377705,0,0,0,0,9,9,32,1,48,67486,1,180,2022-02-24_18h35.14.805,orientation adjustment 1,2021.2.3,Win32,59.96282305,,,,,,,
