consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,presented_this_ori,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,pauseMouse.x,pauseMouse.y,pauseMouse.leftButton,pauseMouse.midButton,pauseMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,pauseMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.299074074,-0.402777778,1,0,0,consent_button1,0.383333333,-0.401851852,1,0,0,consent_button,-0.028703704,-0.225925926,1,0,0,-0.013888889,-0.366666667,1,0,0,-71.66666667,38,20,75,-33.66666667,71.66666667,71.66666667,-123.6666667,-0.494444444,-0.400925926,1,0,0,8.752,submitButton,-0.491666667,-0.394444444,0,0,0,0,0,0,22,1,38,68875,1,180,2022-02-10_12h16.01.004,orientation adjustment 1,2021.2.3,Win32,60.04563468,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-52.22222222,71,20,75,18.77777778,52.22222222,52.22222222,-71.22222222,-0.483333333,-0.387037037,1,0,0,2.5019,submitButton,-0.483333333,-0.387037037,0,0,0,0,1,1,55,1,71,68875,1,180,2022-02-10_12h16.01.004,orientation adjustment 1,2021.2.3,Win32,60.04563468,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,37.77777778,-51,20,75,-13.22222222,37.77777778,37.77777778,-103.2222222,-0.480555556,-0.390740741,1,0,0,1.4742,submitButton,-0.480555556,-0.390740741,0,0,0,0,2,2,35,1,51,68875,1,180,2022-02-10_12h16.01.004,orientation adjustment 1,2021.2.3,Win32,60.04563468,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,50,-61,20,75,-11,50,50,-101,-0.475,-0.386111111,1,0,0,0.7665,submitButton,-0.475,-0.386111111,0,0,0,0,3,3,45,1,61,68875,1,180,2022-02-10_12h16.01.004,orientation adjustment 1,2021.2.3,Win32,60.04563468,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-52.22222222,-25,20,75,-77.22222222,52.22222222,52.22222222,-167.2222222,-0.475,-0.386111111,1,0,0,0.4668,submitButton,-0.475,-0.386111111,0,0,0,0,4,4,9,1,25,68875,1,180,2022-02-10_12h16.01.004,orientation adjustment 1,2021.2.3,Win32,60.04563468,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-73.33333333,74,20,75,0.666666667,73.33333333,73.33333333,-89.33333333,-0.475,-0.386111111,1,0,0,0.2495,submitButton,-0.473148148,-0.383333333,0,0,0,0,5,5,58,1,74,68875,1,180,2022-02-10_12h16.01.004,orientation adjustment 1,2021.2.3,Win32,60.04563468,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,22.77777778,-68,20,75,-45.22222222,22.77777778,22.77777778,-135.2222222,-0.473148148,-0.383333333,1,0,0,0.8003,submitButton,-0.473148148,-0.383333333,0,0,0,0,6,6,52,1,68,68875,1,180,2022-02-10_12h16.01.004,orientation adjustment 1,2021.2.3,Win32,60.04563468,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-20.55555556,-52,20,75,-72.55555556,20.55555556,20.55555556,-162.5555556,-0.473148148,-0.383333333,1,0,0,0.2159,submitButton,-0.473148148,-0.383333333,0,0,0,0,7,7,36,1,52,68875,1,180,2022-02-10_12h16.01.004,orientation adjustment 1,2021.2.3,Win32,60.04563468,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-60,-59,20,75,-119,60,60,-209,-0.473148148,-0.383333333,1,0,0,0.4002,submitButton,-0.473148148,-0.383333333,0,0,0,0,8,8,43,1,59,68875,1,180,2022-02-10_12h16.01.004,orientation adjustment 1,2021.2.3,Win32,60.04563468,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-35,32,20,75,-3,35,35,-93,-0.473148148,-0.383333333,1,0,0,0.6671,submitButton,-0.473148148,-0.383333333,0,0,0,0,9,9,16,1,32,68875,1,180,2022-02-10_12h16.01.004,orientation adjustment 1,2021.2.3,Win32,60.04563468,,,,,,,
