accuracy,accuracy,accuracy,accuracy,accuracy,,,,,,,,,,average,logA,trial
2.333333333,2.666666667,4.444444444,15.77777778,8.777777778,,,,,,,,,,6.8,0.832508913,55
8.888888889,12.33333333,1,3.666666667,7,,,,,,,,,,6.577777777,0.818079197,56
8.111111111,7.555555556,17.22222222,1.222222222,3.444444444,,,,,,,,,,7.511111111,0.875704186,57
14.44444444,5.777777778,8.666666667,6.777777778,14.77777778,,,,,,,,,,10.08888889,1.003843339,58
1.777777778,0.666666667,3.888888889,0.888888889,2.555555556,,,,,,,,,,1.955555556,0.291270158,59
10.55555556,7.444444444,6.111111111,2.444444444,2.666666667,,,,,,,,,,5.844444445,0.766743235,60
3.555555556,14.77777778,13.66666667,3.111111111,5.222222222,,,,,,,,,,8.066666668,0.906694111,61
7.222222222,5.444444444,17.55555556,0.444444444,4.555555556,,,,,,,,,,7.044444445,0.847846748,62
19,4.222222222,11.66666667,23.22222222,7,,,,,,,,,,13.02222222,1.114685102,63
3.222222222,23.77777778,3.888888889,11.88888889,3.333333333,,,,,,,,,,9.222222223,0.964835583,64
2.555555556,6.111111111,13.88888889,0.888888889,13.66666667,,,,,,,,,,7.422222223,0.870533953,65
14.88888889,1.888888889,0.333333333,4.111111111,12.66666667,,,,,,,,,,6.777777779,0.831087326,66
9.444444444,2,6.111111111,5.666666667,3.777777778,,,,,,,,,,5.4,0.73239376,67
2.222222222,14.11111111,1.888888889,8.777777778,8.333333333,,,,,,,,,,7.066666666,0.849214606,68
1.777777778,18.88888889,15.33333333,6.555555556,0.333333333,,,,,,,,,,8.577777777,0.933374791,69
1,15.44444444,5.222222222,7.555555556,11,,,,,,,,,,8.044444444,0.905496057,70
2.444444444,14.55555556,16,4,14.22222222,,,,,,,,,,10.24444444,1.010488412,71
1,5.333333333,5.888888889,12.44444444,29.11111111,,,,,,,,,,10.75555555,1.031632848,72
2.444444444,1.888888889,6.333333333,17.22222222,12,,,,,,,,,,7.977777777,0.901881935,73
5.777777778,17.55555556,5.777777778,16.44444444,0.333333333,,,,,,,,,,9.177777778,0.962737538,74
10.22222222,16.88888889,3.777777778,17.77777778,2.333333333,,,,,,,,,,10.2,1.008600172,75
39.44444444,2,6.222222222,14.11111111,4.888888889,,,,,,,,,,13.33333333,1.124938737,76
1.888888889,4.666666667,0.222222222,9.666666667,7.888888889,,,,,,,,,,4.866666667,0.687231601,77
0,8.777777778,4.666666667,8.333333333,2.333333333,,,,,,,,,,4.822222222,0.68324722,78
6,9.222222222,4.666666667,9.777777778,9,,,,,,,,,,7.733333333,0.88836673,79
11,2.444444444,12.77777778,3.444444444,5.111111111,,,,,,,,,,6.955555556,0.842331824,80
12.55555556,8,1.666666667,8,5.111111111,,,,,,,,,,7.066666668,0.849214606,81
9.555555556,10.77777778,2.666666667,16.88888889,17.22222222,,,,,,,,,,11.42222222,1.057750605,82
30.77777778,0.111111111,3.888888889,3.444444444,17.66666667,,,,,,,,,,11.17777778,1.048355471,83
0.222222222,5.555555556,3.333333333,20.88888889,15.77777778,,,,,,,,,,9.155555556,0.961684702,84
8.555555556,6.666666667,2.111111111,8,2.888888889,,,,,,,,,,5.644444445,0.751621203,85
3.666666667,2.777777778,5.777777778,9.666666667,8.555555556,,,,,,,,,,6.088888889,0.784538049,86
5.888888889,2.888888889,9.333333333,11.77777778,3.222222222,,,,,,,,,,6.622222223,0.82100375,87
5.888888889,6,2.777777778,18.55555556,4.111111111,,,,,,,,,,7.466666668,0.873126764,88
8.555555556,0.222222222,0.222222222,9.111111111,14,,,,,,,,,,6.422222222,0.807685329,89
8.888888889,5.333333333,3.888888889,7.888888889,11.33333333,,,,,,,,,,7.466666666,0.873126764,90
14.44444444,21.11111111,15.77777778,3.333333333,7.444444444,,,,,,,,,,12.42222222,1.094199294,91
1.666666667,4.222222222,4.444444444,2.222222222,3.444444444,,,,,,,,,,3.2,0.505149978,92
4.555555556,0.333333333,8.777777778,4.333333333,1.777777778,,,,,,,,,,3.955555556,0.597207489,93
2.444444444,4.222222222,13.66666667,0.444444444,14.11111111,,,,,,,,,,6.977777778,0.843717134,94
2.444444444,7.111111111,2.111111111,9.444444444,1.222222222,,,,,,,,,,4.466666666,0.649983544,95
3.777777778,15.55555556,18.33333333,3.444444444,5.777777778,,,,,,,,,,9.377777778,0.972099937,96
2.666666667,10.77777778,7.222222222,20.33333333,0.111111111,,,,,,,,,,8.222222222,0.91498921,97
2.777777778,5.666666667,9.222222222,25,4.666666667,,,,,,,,,,9.466666667,0.976197085,98
9.777777778,11.33333333,10.55555556,0.333333333,7.888888889,,,,,,,,,,7.977777778,0.901881935,99
1.111111111,1.777777778,13.66666667,2.888888889,10.22222222,,,,,,,,,,5.933333334,0.773298748,100
12.33333333,0.777777778,8.111111111,4.111111111,14.11111111,,,,,,,,,,7.888888888,0.897015839,101
1.666666667,11.22222222,9.222222222,7.666666667,12.55555556,,,,,,,,,,8.466666667,0.927712462,102
2,12.44444444,6.222222222,4.666666667,3.777777778,,,,,,,,,,5.822222221,0.765088777,103
11.11111111,8.777777778,8.777777778,1.888888889,0.444444444,,,,,,,,,,6.2,0.792391689,104
7.666666667,8.666666667,13.55555556,14,2.222222222,,,,,,,,,,9.222222223,0.964835583,105
27.11111111,10.22222222,9.777777778,0.666666667,24.55555556,,,,,,,,,,14.46666667,1.160368475,106
1,8.555555556,19,1.666666667,3.666666667,,,,,,,,,,6.777777778,0.831087326,107
7.777777778,9.222222222,21.88888889,3.111111111,5,,,,,,,,,,9.4,0.973127854,108
13,19.88888889,8.666666667,10.88888889,2.888888889,,,,,,,,,,11.06666667,1.044016829,109
4.777777778,7.222222222,7.444444444,5.666666667,4.666666667,,,,,,,,,,5.955555556,0.77492228,110
8.111111111,0,34.44444444,14,12.11111111,,,,,,,,,,13.73333333,1.137775961,111
10.44444444,19.11111111,4.111111111,17.77777778,21.33333333,,,,,,,,,,14.55555555,1.163028786,112
7.666666667,12.11111111,2.666666667,0.777777778,0.333333333,,,,,,,,,,4.711111111,0.673123347,113
0,0.222222222,4.333333333,6.555555556,5.222222222,,,,,,,,,,3.266666667,0.514104821,114
6.666666667,14.11111111,11,7.666666667,19.77777778,,,,,,,,,,11.84444444,1.073514695,115
5.666666667,12.66666667,3.666666667,3,4.444444444,,,,,,,,,,5.88888889,0.77003336,116
2.777777778,1.666666667,8.888888889,1.222222222,14,,,,,,,,,,5.711111111,0.75672061,117
0.888888889,18.88888889,12.44444444,6.444444444,2.111111111,,,,,,,,,,8.155555555,0.91145355,118
3.111111111,13.22222222,9,4,14.66666667,,,,,,,,,,8.8,0.944482672,119
6.333333333,4.777777778,17.33333333,6.111111111,1.444444444,,,,,,,,,,7.199999999,0.857332496,120
4.777777778,14.77777778,34.66666667,20.33333333,10.11111111,,,,,,,,,,16.93333333,1.228742458,121
3.555555556,8.333333333,1.555555556,10.77777778,3,,,,,,,,,,5.444444445,0.735953571,122
13.44444444,13.33333333,3.444444444,24.22222222,0.222222222,,,,,,,,,,10.93333333,1.038752589,123
0.333333333,10.88888889,11.33333333,3.555555556,0.666666667,,,,,,,,,,5.355555555,0.728804529,124
19,0.333333333,0.666666667,3,22.55555556,,,,,,,,,,9.111111112,0.959571343,125
2.111111111,5.222222222,4.222222222,0.222222222,5.444444444,,,,,,,,,,3.444444444,0.537119184,126
1.222222222,2.333333333,1.444444444,11.66666667,2.666666667,,,,,,,,,,3.866666667,0.587336735,127
12.33333333,10,69.55555556,12.66666667,1.555555556,,,,,,,,,,21.22222222,1.326790858,128
17.11111111,3.666666667,11.88888889,2.222222222,1.888888889,,,,,,,,,,7.355555556,0.86661548,129
0.111111111,0.222222222,0,11.88888889,12.66666667,,,,,,,,,,4.977777779,0.697035505,130
3.777777778,0.888888889,6.888888889,4,2.111111111,,,,,,,,,,3.533333333,0.548184611,131
4.111111111,9.444444444,6.333333333,1.777777778,13.11111111,,,,,,,,,,6.955555555,0.842331824,132
12.66666667,0.777777778,8.777777778,0.666666667,1.333333333,,,,,,,,,,4.844444445,0.68524398,133
12.88888889,7.333333333,3.666666667,3.777777778,2.444444444,,,,,,,,,,6.022222222,0.779756777,134
7.666666667,5.666666667,5.333333333,1,4.111111111,,,,,,,,,,4.755555556,0.67720126,135
45.66666667,2.777777778,10.55555556,11.66666667,2.888888889,,,,,,,,,,14.71111111,1.167645476,136
