consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse_2.x,startMouse_2.y,startMouse_2.leftButton,startMouse_2.midButton,startMouse_2.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,block_accuracy,continueMouse.x,continueMouse.y,continueMouse.leftButton,continueMouse.midButton,continueMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,continueMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
0.434259299,-0.400925953,1,0,0,consent_button1,0.434259299,-0.400925953,1,0,0,consent_button,0.434259299,-0.400925953,1,0,0,0.434259299,-0.400925953,1,0,0,-44.44444444,71,20,75,44.55555556,26.44444444,26.44444444,0.034259287,-0.041666683,1,0,0,0.2829,submitButton,26.44444444,-0.25925924,-0.402777805,0,0,0,0,0,0,70,1,71,68968,blockT,180,2022-02-10_13h48.41.105,orientation adjustment block,2021.2.3,Win32,60.19744763,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-72.77777778,-57,20,75,-53.77777778,3.222222222,3.222222222,-0.31666665,-0.45185188,1,0,0,1.6322,submitButton,14.83333333,-0.328703687,-0.412037064,0,0,0,0,1,1,56,1,57,68968,blockT,180,2022-02-10_13h48.41.105,orientation adjustment block,2021.2.3,Win32,60.19744763,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-28.88888889,53,20,75,38.11111111,14.88888889,14.88888889,0.049074159,-0.264814838,1,0,0,0.4164,submitButton,14.85185185,-0.2685185,-0.400000027,0,0,0,0,2,2,127,1,53,68968,blockT,180,2022-02-10_13h48.41.105,orientation adjustment block,2021.2.3,Win32,60.19744763,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-49.44444444,-23,20,75,-58.44444444,35.44444444,35.44444444,0.176851884,-0.286111135,1,0,0,0.5496,submitButton,35.44444444,-0.155555534,-0.390740824,0,0,0,0,3,3,22,1,23,68968,blockT,180,2022-02-10_13h48.41.105,orientation adjustment block,2021.2.3,Win32,60.19744763,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,46.11111111,-74,20,75,-30.88888889,43.11111111,43.11111111,0.429629669,-0.318518599,1,0,0,0.4169,submitButton,39.27777778,-0.251851833,-0.424074158,0,0,0,0,4,4,73,1,74,68968,blockT,180,2022-02-10_13h48.41.105,orientation adjustment block,2021.2.3,Win32,60.19744763,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-72.77777778,17,20,75,18.22222222,1.222222222,1.222222222,0.150925957,-0.293518599,1,0,0,0.112,submitButton,26.59259259,-0.227777758,-0.405555583,0,0,0,0,5,5,91,1,17,68968,blockT,180,2022-02-10_13h48.41.105,orientation adjustment block,2021.2.3,Win32,60.19744763,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,35,58,20,75,66,8,8,-0.337962947,-0.429629714,1,0,0,0.7281,submitButton,8,-0.338888872,-0.410185269,0,0,0,0,6,6,57,1,58,68968,blockT,180,2022-02-10_13h48.41.105,orientation adjustment block,2021.2.3,Win32,60.19744763,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-40.55555556,24,20,75,20.44444444,3.555555556,3.555555556,-0.193518498,-0.406481508,1,0,0,0.7161,submitButton,5.777777778,-0.059259178,-0.400925953,0,0,0,0,7,7,98,1,24,68968,blockT,180,2022-02-10_13h48.41.105,orientation adjustment block,2021.2.3,Win32,60.19744763,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-27.77777778,67,20,75,63.22222222,3.777777778,3.777777778,-0.373148133,-0.381481508,1,0,0,0.6655,submitButton,5.111111111,-0.373148133,-0.381481508,0,0,0,0,8,8,141,1,67,68968,blockT,180,2022-02-10_13h48.41.105,orientation adjustment block,2021.2.3,Win32,60.19744763,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-40,-30,20,75,-39,9,9,-0.17314807,-0.387963046,1,0,0,1.0107,submitButton,9,0.185185217,-0.26203706,0,0,0,0,9,9,29,1,30,68968,blockT,180,2022-02-10_13h48.41.105,orientation adjustment block,2021.2.3,Win32,60.19744763,,,,,,,
