"","distance_ 67045","distance_ 67051","distance_ 67174","distance_ 67258","distance_ 67507","distance_ 67609","distance_ 67630","distance_ 69202","distance_ 69484","distance_ 69571","distance_ 69661","distance_ 69679","distance_ 69712","distance_ 70516"
"148",65,64.44444444,37.22222222,37.77777778,31.66666667,52.22222222,50.55555556,42.77777778,50.55555556,75,45,57.22222222,32.77777778,45
"149",61.66666667,33.33333333,30,70,60,57.77777778,30,66.66666667,62.77777778,25,52.22222222,30.55555556,29.44444444,28.88888889
"150",66.11111111,71.66666667,45,52.77777778,24.44444444,31.66666667,58.88888889,35.55555556,39.44444444,45,36.11111111,56.66666667,44.44444444,48.88888889
"151",30.55555556,40,36.11111111,27.22222222,40.55555556,59.44444444,51.11111111,71.11111111,47.22222222,55,36.11111111,48.33333333,24.44444444,55
"152",25.55555556,53.33333333,58.33333333,58.33333333,42.22222222,40.55555556,21.66666667,47.22222222,56.11111111,28.88888889,64.44444444,38.33333333,63.33333333,38.33333333
"153",45,67.22222222,23.88888889,68.33333333,73.33333333,21.66666667,55.55555556,63.33333333,43.88888889,71.66666667,35,43.88888889,68.33333333,60.55555556
"154",26.11111111,26.66666667,48.33333333,43.33333333,21.11111111,67.77777778,53.88888889,41.11111111,28.33333333,58.88888889,50,72.22222222,63.33333333,50.55555556
"155",61.66666667,32.77777778,42.22222222,26.11111111,52.22222222,49.44444444,30,68.33333333,21.66666667,47.22222222,69.44444444,60,53.33333333,46.11111111
"156",37.22222222,55.55555556,34.44444444,47.22222222,30.55555556,35,67.77777778,56.11111111,45.55555556,31.11111111,56.11111111,20,62.77777778,40.55555556
"157",35.55555556,20.55555556,65,49.44444444,62.77777778,57.77777778,33.88888889,33.33333333,22.22222222,70.55555556,67.22222222,25.55555556,22.22222222,29.44444444
"158",50.55555556,36.11111111,53.88888889,34.44444444,66.11111111,23.33333333,35.55555556,20.55555556,67.22222222,36.11111111,48.88888889,35,34.44444444,51.66666667
"159",64.44444444,73.33333333,71.66666667,73.33333333,38.33333333,33.33333333,41.11111111,36.11111111,61.66666667,52.77777778,34.44444444,59.44444444,47.77777778,67.77777778
"160",56.11111111,21.66666667,23.88888889,21.66666667,25.55555556,32.22222222,45.55555556,37.22222222,43.88888889,64.44444444,61.11111111,39.44444444,51.11111111,21.11111111
"161",25,55,50.55555556,70,48.88888889,21.66666667,37.22222222,62.77777778,68.33333333,28.33333333,66.66666667,36.11111111,27.22222222,73.33333333
"162",71.11111111,54.44444444,41.66666667,36.11111111,50.55555556,32.22222222,31.11111111,35.55555556,32.22222222,30,43.33333333,71.66666667,45,43.88888889
